## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-adult\10_20_01-[3923480f-fcaf-49be-a549-4d7afb8e3465]\10_20_01-eye_data.idf
## Date:	20.10.2016 13:02:04
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15809                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	10_20_01                                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
3388701868	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
3388735303	SMP	1	1530.79	683.12	1251.52	686.07	21.68	21.68	4.50	20.62	20.62	4.33	1525.97	685.07	1532.98	685.08	1246.78	689.23	1253.61	689.22	386.80	559.47	390.91	394.86	0	1	1	2	-1	-1	-40.78	16.32	691.57	20.74	15.62	700.94	0.00	0.06	-1.00	-0.09	0.12	-0.99	0	 -1	
3388768440	SMP	1	1530.78	682.80	1251.28	686.29	21.24	21.24	4.46	20.49	20.49	4.32	1525.96	685.21	1532.88	685.24	1246.68	689.39	1253.52	689.45	384.09	505.35	398.04	396.47	0	1	1	2	-1	-1	-40.90	16.34	693.76	20.76	15.58	700.93	0.00	0.09	-1.00	-0.08	0.12	-0.99	0	 -1	
3388801815	SMP	1	1530.59	682.87	1251.16	686.18	21.19	21.19	4.45	20.33	20.33	4.30	1525.85	685.13	1532.76	685.22	1246.61	689.42	1253.47	689.43	385.54	512.59	402.43	391.90	0	1	1	2	-1	-1	-40.93	16.38	694.72	20.76	15.57	700.43	0.00	0.08	-1.00	-0.08	0.13	-0.99	0	 -1	
3388835155	SMP	1	1530.51	682.68	1251.10	686.22	21.26	21.26	4.45	20.48	20.48	4.30	1525.70	685.00	1532.62	685.07	1246.48	689.25	1253.31	689.28	384.72	508.52	401.87	397.88	0	1	1	2	-1	-1	-40.91	16.41	694.99	20.79	15.61	700.64	0.00	0.08	-1.00	-0.08	0.12	-0.99	0	 -1	
3388868513	SMP	1	1530.49	682.28	1250.82	686.03	21.24	21.24	4.44	20.36	20.36	4.30	1525.48	684.88	1532.51	684.58	1246.35	689.04	1253.15	689.07	381.22	503.18	405.09	401.20	0	1	1	2	-1	-1	-40.82	16.46	694.02	20.84	15.66	701.06	-0.01	0.09	-1.00	-0.08	0.12	-0.99	0	 -1	
3388901787	SMP	1	1530.49	682.10	1250.86	685.84	21.53	21.53	4.45	20.34	20.34	4.29	1525.56	684.63	1532.53	684.50	1246.34	688.93	1253.17	688.87	380.06	500.58	406.16	401.97	0	1	1	2	-1	-1	-40.83	16.49	693.97	20.84	15.70	701.03	-0.01	0.09	-1.00	-0.08	0.12	-0.99	0	 -1	
3388935087	SMP	1	1530.49	681.95	1251.14	685.53	21.43	21.43	4.45	20.38	20.38	4.29	1525.54	684.26	1532.56	684.40	1246.25	688.70	1253.08	688.68	379.19	502.54	398.10	399.62	0	1	1	2	-1	-1	-40.79	16.53	693.41	20.86	15.74	701.09	-0.01	0.08	-1.00	-0.10	0.12	-0.99	0	 -1	
3388968467	SMP	1	1527.44	681.44	1248.11	685.21	21.68	21.68	4.47	20.33	20.33	4.29	1523.88	684.01	1530.66	684.07	1244.59	688.43	1251.45	688.42	490.49	494.25	503.53	397.70	0	1	1	2	-1	-1	-40.51	16.64	695.25	21.22	15.80	700.88	0.05	0.09	-0.99	-0.03	0.12	-0.99	0	 -1	
3389001739	SMP	1	1527.47	681.10	1247.79	685.10	21.82	21.82	4.49	20.24	20.24	4.28	1523.92	683.91	1530.71	683.66	1244.53	688.22	1251.42	688.26	491.74	485.11	521.42	398.62	0	1	1	2	-1	-1	-40.58	16.72	696.32	21.22	15.83	700.48	0.05	0.10	-0.99	-0.02	0.12	-0.99	0	 -1	
