## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-adult\10_20_06-[a779fbe0-f0e9-4542-845c-8c7e769d2c95]\10_20_06-eye_data.idf
## Date:	20.10.2016 15:38:17
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15783                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	10_20_06                                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
12761473483	SMP	1	1491.88	719.54	1194.81	744.93	22.27	22.27	4.27	22.57	22.57	4.37	1487.43	723.87	1495.76	723.96	1193.47	749.30	1201.73	749.28	577.12	511.60	611.32	544.44	0	1	1	2	-1	-1	-29.66	7.13	631.69	29.46	2.06	636.89	0.03	0.17	-0.99	0.07	0.18	-0.98	0	 -1	
12761506811	SMP	1	1494.91	717.47	1198.77	742.60	21.89	21.89	4.25	22.70	22.70	4.37	1488.95	722.91	1497.30	722.91	1195.53	748.07	1203.83	748.05	479.53	421.47	494.23	455.57	0	1	1	2	-1	-1	-29.97	7.33	631.84	29.04	2.31	636.88	-0.03	0.21	-0.98	-0.01	0.22	-0.98	0	 -1	
12761540084	SMP	1	1494.94	717.41	1198.52	742.92	21.88	21.88	4.23	22.73	22.73	4.36	1489.13	722.86	1497.47	722.92	1195.22	748.20	1203.55	748.16	483.95	419.54	493.13	464.66	0	1	1	2	-1	-1	-30.02	7.34	632.01	29.09	2.29	636.70	-0.02	0.21	-0.98	-0.01	0.21	-0.98	0	 -1	
12761573448	SMP	1	1495.23	717.48	1198.50	743.03	21.64	21.64	4.21	22.69	22.69	4.36	1489.53	723.06	1497.72	723.15	1195.16	748.42	1203.48	748.40	485.56	414.11	491.81	462.41	0	1	1	2	-1	-1	-30.12	7.31	632.92	29.10	2.24	636.61	-0.02	0.22	-0.98	-0.01	0.22	-0.98	0	 -1	
12761606743	SMP	1	1495.50	717.62	1198.56	743.04	21.60	21.60	4.19	22.44	22.44	4.34	1489.74	723.08	1498.08	723.20	1195.30	748.50	1203.61	748.46	486.54	414.30	492.38	460.54	0	1	1	2	-1	-1	-30.18	7.30	632.85	29.07	2.22	636.52	-0.02	0.21	-0.98	-0.01	0.22	-0.98	0	 -1	
12761640068	SMP	1	1495.80	717.84	1198.58	743.24	21.46	21.46	4.17	22.21	22.21	4.32	1489.98	723.26	1498.40	723.34	1195.45	748.62	1203.78	748.59	486.76	415.64	494.34	461.53	0	1	1	2	-1	-1	-30.22	7.26	632.65	29.03	2.20	636.34	-0.02	0.21	-0.98	0.00	0.22	-0.98	0	 -1	
12761673412	SMP	1	1495.85	717.95	1198.71	743.24	21.50	21.50	4.15	22.05	22.05	4.30	1490.09	723.34	1498.47	723.39	1195.47	748.67	1203.80	748.65	487.48	417.26	494.46	460.90	0	1	1	2	-1	-1	-30.25	7.25	632.71	29.02	2.19	636.21	-0.02	0.21	-0.98	0.00	0.22	-0.98	0	 -1	
12761706745	SMP	1	1496.13	717.93	1198.97	743.28	21.33	21.33	4.13	22.08	22.08	4.29	1490.43	723.38	1498.73	723.43	1195.77	748.61	1204.03	748.64	488.13	417.22	494.75	461.91	0	1	1	2	-1	-1	-30.33	7.25	633.18	28.97	2.19	636.24	-0.02	0.21	-0.98	0.00	0.22	-0.98	0	 -1	
12761740056	SMP	1	1496.23	717.96	1198.87	743.27	21.12	21.12	4.11	21.86	21.86	4.27	1490.46	723.42	1498.71	723.54	1195.70	748.76	1204.01	748.74	487.62	416.59	495.46	460.84	0	1	1	2	-1	-1	-30.35	7.24	633.66	28.97	2.17	636.04	-0.02	0.21	-0.98	0.00	0.22	-0.98	0	 -1	
12761773386	SMP	1	1496.28	718.02	1199.02	743.25	20.93	20.93	4.09	21.59	21.59	4.24	1490.46	723.40	1498.71	723.49	1195.73	748.67	1204.03	748.66	486.92	417.59	495.14	461.25	0	1	1	2	-1	-1	-30.37	7.25	634.06	28.95	2.18	635.82	-0.02	0.21	-0.98	-0.01	0.22	-0.98	0	 -1	
12761806719	SMP	1	1495.93	718.00	1198.80	743.50	20.81	20.81	4.07	21.72	21.72	4.22	1490.24	723.42	1498.52	723.50	1195.56	748.81	1203.87	748.77	487.52	417.69	495.37	463.00	0	1	1	2	-1	-1	-30.35	7.25	634.40	28.98	2.16	635.67	-0.02	0.21	-0.98	-0.01	0.21	-0.98	0	 -1	
12761840044	SMP	1	1496.73	716.23	1199.95	741.55	20.62	20.62	4.04	21.50	21.50	4.20	1490.63	722.40	1498.87	722.40	1196.27	747.62	1204.59	747.59	483.94	392.96	492.25	446.57	0	1	1	2	-1	-1	-30.44	7.47	634.86	28.83	2.40	635.51	-0.04	0.24	-0.97	-0.02	0.25	-0.97	0	 -1	
