## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-adult\10-13-01-[8153ca69-9b32-4a30-9707-b82441672a4a]\10-13-01-eye_data.idf
## Date:	13.10.2016 16:00:18
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11880                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	10-13-01                                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
10041694801	SMP	1	1644.11	897.79	1391.79	901.86	16.91	16.91	3.94	18.26	18.26	4.37	1636.01	900.44	1641.58	900.56	1385.74	904.42	1390.93	904.47	26.21	468.70	96.03	499.31	0	1	1	2	-1	-1	-73.26	-34.99	782.36	-11.42	-36.93	803.29	-0.18	0.18	-0.97	-0.17	0.18	-0.97	0	 -1	
10041728155	SMP	1	1642.33	893.76	1390.70	897.76	16.84	16.84	3.95	18.28	18.28	4.37	1634.50	898.21	1639.71	898.33	1384.92	902.14	1390.27	902.02	28.04	242.20	108.72	293.38	0	1	1	2	-1	-1	-73.41	-34.70	788.48	-11.17	-36.14	799.17	-0.18	0.27	-0.95	-0.15	0.27	-0.95	0	 -1	
10041761469	SMP	1	1642.07	893.39	1390.39	897.51	16.98	16.98	3.96	18.12	18.12	4.37	1634.29	898.11	1639.67	898.27	1384.60	901.91	1389.78	901.91	31.14	221.43	110.15	286.03	0	1	1	2	-1	-1	-73.21	-34.60	786.69	-11.12	-36.24	802.36	-0.17	0.28	-0.94	-0.15	0.27	-0.95	0	 -1	
10041794795	SMP	1	1641.71	893.36	1389.97	897.74	16.80	16.80	3.96	18.39	18.39	4.38	1634.01	898.14	1639.48	898.22	1383.95	902.15	1389.31	902.09	36.29	215.49	109.79	286.42	0	1	1	2	-1	-1	-73.07	-34.56	785.83	-10.92	-36.11	798.34	-0.17	0.29	-0.94	-0.16	0.27	-0.95	0	 -1	
10041828061	SMP	1	1641.40	893.44	1389.56	898.09	16.91	16.91	3.98	18.31	18.31	4.38	1633.74	898.23	1638.92	898.32	1383.78	902.43	1388.93	902.60	35.58	208.63	115.74	283.18	0	1	1	2	-1	-1	-73.48	-34.83	791.36	-10.91	-36.42	802.89	-0.17	0.29	-0.94	-0.15	0.27	-0.95	0	 -1	
10041861404	SMP	1	1640.83	892.90	1389.01	897.32	16.79	16.79	3.98	17.97	17.97	4.37	1633.23	898.11	1638.62	898.22	1383.23	902.43	1388.47	902.39	42.25	172.30	121.61	217.29	0	1	1	2	-1	-1	-73.14	-34.69	788.84	-10.76	-36.30	800.95	-0.16	0.31	-0.94	-0.15	0.31	-0.94	0	 -1	
10041894728	SMP	1	1640.84	892.76	1389.11	897.16	17.04	17.04	4.00	18.04	18.04	4.37	1633.24	898.19	1638.34	898.04	1383.29	902.57	1388.48	902.57	40.08	142.18	122.75	174.44	0	1	1	2	-1	-1	-73.70	-34.96	795.22	-10.78	-36.39	801.98	-0.17	0.32	-0.93	-0.15	0.32	-0.93	0	 -1	
10041928109	SMP	1	1640.62	892.97	1389.01	897.15	17.11	17.11	4.02	17.97	17.97	4.36	1633.10	898.33	1638.17	898.17	1383.05	902.47	1388.28	902.54	41.28	139.06	122.23	173.93	0	1	1	2	-1	-1	-73.96	-35.13	798.38	-10.72	-36.35	801.62	-0.17	0.31	-0.93	-0.16	0.32	-0.93	0	 -1	
10041961387	SMP	1	1641.24	892.99	1389.59	897.00	17.09	17.09	4.03	18.19	18.19	4.36	1633.56	898.41	1639.07	898.28	1383.85	902.21	1388.99	902.31	47.28	139.80	127.18	176.63	0	1	1	2	-1	-1	-73.22	-34.72	788.56	-10.94	-36.38	803.61	-0.17	0.31	-0.94	-0.15	0.32	-0.94	0	 -1	
10041994721	SMP	1	1641.21	892.66	1389.35	896.66	16.76	16.76	4.02	17.75	17.75	4.35	1633.52	898.07	1639.03	897.88	1383.71	902.02	1388.79	901.94	49.98	142.50	130.59	172.83	0	1	1	2	-1	-1	-73.12	-34.59	787.64	-10.92	-36.40	805.47	-0.17	0.31	-0.94	-0.15	0.32	-0.94	0	 -1	
10042028048	SMP	1	1641.90	892.62	1390.12	896.68	16.78	16.78	4.01	17.67	17.67	4.33	1634.27	898.09	1639.62	897.92	1384.09	901.96	1389.53	901.86	50.89	135.52	130.55	179.52	0	1	1	2	-1	-1	-73.60	-34.74	790.95	-10.97	-36.08	798.86	-0.17	0.32	-0.93	-0.16	0.31	-0.94	0	 -1	
10042061556	SMP	1	1642.49	893.43	1390.61	897.11	16.77	16.77	4.01	17.71	17.71	4.32	1634.66	898.86	1640.10	898.71	1384.79	902.21	1389.97	902.29	50.56	136.90	132.51	182.74	0	1	1	2	-1	-1	-73.54	-34.86	789.16	-11.18	-36.37	803.35	-0.17	0.31	-0.93	-0.15	0.31	-0.94	0	 -1	
10042094723	SMP	1	1644.20	895.28	1392.41	898.32	16.43	16.43	3.99	17.48	17.48	4.30	1636.51	900.79	1641.83	900.48	1386.50	903.65	1391.74	903.51	52.01	134.89	130.93	179.32	0	1	1	2	-1	-1	-74.22	-35.43	791.68	-11.61	-36.67	802.53	-0.17	0.32	-0.93	-0.16	0.32	-0.94	0	 -1	
10042128052	SMP	1	1645.03	897.09	1393.10	899.84	16.17	16.17	3.97	17.82	17.82	4.30	1638.04	902.78	1643.24	902.66	1387.82	904.82	1393.00	904.90	68.72	123.30	144.81	189.39	0	1	1	2	-1	-1	-74.88	-36.09	794.71	-11.95	-37.03	803.17	-0.14	0.33	-0.93	-0.13	0.30	-0.94	0	 -1	
10042161365	SMP	1	1637.53	900.04	1387.14	901.51	17.11	17.11	3.99	17.65	17.65	4.29	1634.49	904.77	1639.88	904.68	1385.47	905.91	1390.88	905.93	505.75	190.69	532.78	274.02	0	1	1	2	-1	-1	-73.68	-36.44	791.25	-11.33	-37.14	799.79	0.07	0.28	-0.96	0.07	0.27	-0.96	0	 -1	
10042194702	SMP	1	1638.99	901.14	1387.68	901.63	17.13	17.13	4.01	17.42	17.42	4.27	1636.17	905.49	1641.65	905.49	1386.53	906.20	1391.99	906.15	521.34	244.93	569.92	267.64	0	1	1	2	-1	-1	-73.90	-36.53	788.97	-11.57	-37.09	797.37	0.08	0.27	-0.96	0.10	0.28	-0.96	0	 -1	
10042228054	SMP	1	1640.30	901.58	1388.77	901.49	17.10	17.10	4.02	17.51	17.51	4.25	1637.61	905.91	1643.18	905.97	1387.47	905.88	1393.02	905.89	534.66	251.55	568.54	286.40	0	1	1	2	-1	-1	-74.06	-36.53	786.68	-11.76	-36.83	793.27	0.09	0.27	-0.96	0.09	0.27	-0.96	0	 -1	
10042261357	SMP	1	1641.58	901.07	1389.66	900.80	17.21	17.21	4.02	17.32	17.32	4.24	1638.90	905.60	1644.50	905.52	0.00	0.00	1393.87	905.35	540.42	247.26	584.62	264.16	0	1	1	2	-1	-1	-74.16	-36.33	784.30	-12.27	-37.35	807.49	0.09	0.27	-0.96	0.11	0.28	-0.95	0	 -1	
10042294792	SMP	1	1641.74	900.36	1389.45	900.26	17.09	17.09	4.03	17.11	17.11	4.23	1639.02	904.87	1644.50	904.76	0.00	0.00	1393.73	904.78	539.11	248.64	596.47	257.15	0	1	1	2	-1	-1	-74.28	-36.20	785.43	-12.37	-37.58	815.57	0.09	0.27	-0.96	0.11	0.28	-0.95	0	 -1	
10042328017	SMP	1	1641.70	899.55	1389.26	900.24	16.91	16.91	4.02	17.28	17.28	4.23	1638.93	903.98	1644.42	904.28	0.00	0.00	1393.49	904.69	538.24	243.50	599.45	260.25	0	1	1	2	-1	-1	-74.20	-35.99	784.78	-12.36	-37.73	819.53	0.09	0.28	-0.96	0.11	0.28	-0.95	0	 -1	
10042356815	MSG	1	# Message: Validation.jpg
10042361346	SMP	1	1640.48	899.35	1388.15	900.61	17.12	17.12	4.02	17.57	17.57	4.23	1637.83	903.79	1643.50	903.78	1387.13	904.70	1392.48	904.77	543.97	249.93	592.92	295.83	0	1	1	2	-1	-1	-73.56	-35.72	780.63	-11.71	-36.75	797.80	0.10	0.27	-0.96	0.10	0.26	-0.96	0	 -1	
10042394682	SMP	1	1633.05	905.35	1382.60	906.79	17.08	17.08	4.02	17.27	17.27	4.21	1632.57	906.98	1638.07	906.96	1384.07	908.35	1389.35	908.36	776.39	613.54	829.94	625.31	0	1	1	2	-1	-1	-72.37	-36.58	782.12	-10.95	-37.74	799.40	0.20	0.13	-0.97	0.23	0.13	-0.97	0	 -1	
10042428024	SMP	1	1631.48	906.61	1380.11	908.90	16.95	16.95	4.02	17.26	17.26	4.20	1631.26	907.20	1636.62	907.38	1381.84	909.43	1387.24	909.46	791.87	736.85	848.85	750.25	0	1	1	2	-1	-1	-72.22	-36.76	784.21	-10.34	-37.80	794.84	0.21	0.08	-0.97	0.24	0.07	-0.97	0	 -1	
10042461344	SMP	1	1630.11	906.00	1378.25	909.02	16.74	16.74	4.01	17.13	17.13	4.18	1629.92	906.80	1635.47	906.62	1380.10	909.48	1385.41	909.51	801.69	734.93	858.56	755.16	0	1	1	2	-1	-1	-71.63	-36.47	781.13	-9.92	-37.89	796.57	0.22	0.08	-0.97	0.24	0.07	-0.97	0	 -1	
10042494672	SMP	1	1628.29	905.45	1376.33	909.15	16.82	16.82	4.00	17.24	17.24	4.17	1628.32	906.10	1633.78	906.37	1378.45	909.52	1383.62	909.62	813.78	730.44	874.70	759.41	0	1	1	2	-1	-1	-71.32	-36.40	782.18	-9.54	-38.15	801.59	0.23	0.09	-0.97	0.26	0.07	-0.96	0	 -1	
10042528007	SMP	1	1626.59	905.19	1374.35	909.38	17.05	17.05	4.00	17.35	17.35	4.17	1626.58	905.92	1632.12	905.85	1376.42	909.60	1381.79	909.76	818.42	732.04	879.85	766.23	0	1	1	2	-1	-1	-70.79	-36.26	780.99	-8.98	-37.87	795.15	0.23	0.08	-0.97	0.26	0.06	-0.96	0	 -1	
10042561403	SMP	1	1624.93	904.70	1372.70	909.64	16.71	16.71	3.99	17.18	17.18	4.15	1624.97	905.56	1630.46	905.54	1374.53	910.15	1379.96	910.15	821.75	727.62	872.65	762.35	0	1	1	2	-1	-1	-70.39	-36.18	781.07	-8.49	-37.91	793.44	0.23	0.09	-0.97	0.24	0.07	-0.97	0	 -1	
