## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-adult\10_20_03-[f5e7d9f4-4244-4147-a47b-3a6e4915f74d]\10_20_03-eye_data.idf
## Date:	20.10.2016 13:59:42
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15780                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	10_20_03                                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
6846113108	SMP	1	1485.11	825.94	1222.39	842.36	14.64	14.64	3.57	14.78	14.78	3.52	1484.68	828.00	1489.56	828.05	1222.41	844.91	1227.38	844.75	622.94	492.66	767.79	377.64	0	1	1	2	-1	-1	-37.20	-17.75	816.87	30.58	-22.00	813.01	0.15	0.13	-0.98	0.10	0.16	-0.98	0	 -1	
6846146400	SMP	1	1484.91	826.26	1222.08	842.77	14.66	14.66	3.57	14.62	14.62	3.52	1484.17	828.44	1489.43	828.46	1221.89	845.41	1227.20	845.29	620.84	488.71	769.56	373.18	0	1	1	2	-1	-1	-36.81	-17.72	810.14	30.47	-21.99	807.79	0.14	0.14	-0.98	0.09	0.16	-0.98	0	 -1	
6846179729	SMP	1	1484.21	826.84	1221.51	843.27	14.68	14.68	3.57	14.72	14.72	3.53	1483.56	828.97	1488.64	828.98	1221.42	845.78	1226.44	845.59	621.75	490.63	771.64	375.68	0	1	1	2	-1	-1	-36.77	-17.91	813.09	30.81	-22.21	812.71	0.14	0.13	-0.98	0.09	0.15	-0.98	0	 -1	
6846213088	SMP	1	1483.22	827.42	1220.53	843.88	14.87	14.87	3.58	14.73	14.73	3.54	1482.63	829.50	1487.69	829.49	1220.28	846.45	1225.40	846.44	623.30	492.87	769.57	370.62	0	1	1	2	-1	-1	-36.55	-18.06	813.65	31.06	-22.38	811.82	0.14	0.13	-0.98	0.08	0.16	-0.98	0	 -1	
6846246342	SMP	1	1480.95	827.26	1218.23	844.12	14.94	14.94	3.60	14.91	14.91	3.56	1480.32	829.44	1485.44	829.46	1218.02	846.52	1223.32	846.51	623.74	489.13	774.26	375.03	0	1	1	2	-1	-1	-35.93	-18.04	813.05	31.47	-22.30	808.10	0.14	0.14	-0.98	0.09	0.15	-0.98	0	 -1	
6846279680	SMP	1	1480.22	826.30	1217.75	843.89	15.16	15.16	3.61	15.40	15.40	3.59	1478.41	828.13	1483.48	828.37	1216.42	846.34	1221.50	846.09	495.77	498.83	666.17	376.94	0	1	1	2	-1	-1	-35.46	-17.74	813.72	32.05	-22.32	811.60	0.08	0.12	-0.99	0.03	0.15	-0.99	0	 -1	
6846313014	SMP	1	1477.16	824.35	1215.20	842.91	14.89	14.89	3.62	15.19	15.19	3.61	1475.48	826.32	1480.51	826.43	1213.65	845.20	1218.78	845.03	501.97	498.47	647.15	383.23	0	1	1	2	-1	-1	-34.75	-17.28	814.91	32.73	-22.02	811.00	0.08	0.13	-0.99	0.01	0.14	-0.99	0	 -1	
6846346340	SMP	1	1475.29	822.78	1213.21	841.85	14.90	14.90	3.62	15.04	15.04	3.61	1473.67	824.87	1478.69	824.67	1211.89	844.27	1217.30	844.17	506.83	498.21	665.32	380.32	0	1	1	2	-1	-1	-34.31	-16.88	815.54	32.90	-21.63	804.97	0.09	0.13	-0.99	0.03	0.15	-0.99	0	 -1	
6846379673	SMP	1	1474.49	822.36	1212.52	841.85	15.00	15.00	3.63	15.36	15.36	3.64	1472.85	824.38	1477.80	824.31	1211.22	844.00	1216.40	843.89	505.49	499.92	661.80	394.41	0	1	1	2	-1	-1	-34.16	-16.81	817.26	33.26	-21.66	808.80	0.08	0.13	-0.99	0.03	0.14	-0.99	0	 -1	
6846412998	SMP	1	1474.19	823.38	1212.23	842.78	15.20	15.20	3.65	15.08	15.08	3.64	1472.48	825.23	1477.51	825.43	1210.66	844.98	1215.92	844.84	504.81	503.35	652.83	399.23	0	1	1	2	-1	-1	-34.07	-17.06	816.99	33.31	-21.85	806.73	0.08	0.12	-0.99	0.02	0.14	-0.99	0	 -1	
