## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-adult-order2\11_02_03-[a8f81ab1-c867-4eb8-a209-611340dddbfc]\11_02_03-eye_data.idf
## Date:	02.11.2016 15:46:58
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	16030                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	11_02_03                                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
13837116144	SMP	1	1602.77	885.08	1331.26	892.37	26.93	26.93	5.03	26.90	26.90	5.11	1595.33	891.83	1603.83	892.01	1325.27	898.52	1333.60	898.50	321.93	177.40	357.10	280.36	0	1	1	2	-1	-1	-50.92	-26.34	627.17	2.83	-27.94	633.84	-0.06	0.32	-0.95	-0.08	0.29	-0.95	0	 -1	
13837149482	SMP	1	1602.74	885.14	1331.13	892.23	27.08	27.08	5.04	26.95	26.95	5.11	1595.48	891.78	1604.05	891.94	1325.58	898.43	1333.82	898.42	325.12	180.58	370.11	279.93	0	1	1	2	-1	-1	-50.91	-26.31	626.68	2.78	-27.95	634.33	-0.05	0.31	-0.95	-0.06	0.30	-0.95	0	 -1	
13837182753	SMP	1	1600.20	884.67	1329.03	892.23	27.01	27.01	5.05	26.81	26.81	5.11	1594.24	891.64	1602.69	891.76	1324.61	898.36	1332.82	898.37	414.79	165.91	432.65	281.46	0	1	1	2	-1	-1	-50.68	-26.28	626.95	2.98	-27.96	634.81	0.00	0.32	-0.95	-0.02	0.29	-0.96	0	 -1	
13837216075	SMP	1	1600.63	884.43	1329.10	892.08	26.96	26.96	5.06	27.04	27.04	5.12	1594.74	891.48	1603.22	891.66	1324.80	898.17	1333.11	898.26	420.26	153.39	449.42	283.00	0	1	1	2	-1	-1	-50.77	-26.25	626.79	2.93	-27.92	634.62	0.01	0.33	-0.94	-0.01	0.29	-0.96	0	 -1	
13837249408	SMP	1	1600.90	884.54	1329.03	891.81	27.20	27.20	5.07	27.21	27.21	5.13	1594.86	891.38	1603.39	891.60	1324.86	898.10	1333.22	898.13	418.04	160.12	457.46	279.66	0	1	1	2	-1	-1	-50.78	-26.23	626.54	2.91	-27.89	634.42	0.00	0.32	-0.95	0.00	0.30	-0.95	0	 -1	
13837282742	SMP	1	1600.97	884.50	1328.97	891.81	27.34	27.34	5.09	27.12	27.12	5.13	1594.95	891.31	1603.45	891.49	1324.88	898.01	1333.30	897.97	417.97	159.40	463.03	283.08	0	1	1	2	-1	-1	-50.80	-26.21	626.65	2.90	-27.84	633.92	0.00	0.32	-0.95	0.00	0.30	-0.96	0	 -1	
13837316077	SMP	1	1601.25	884.30	1329.23	891.85	27.20	27.20	5.10	27.16	27.16	5.14	1595.10	891.35	1603.54	891.47	1325.00	897.96	1333.37	898.01	413.85	148.09	461.79	283.98	0	1	1	2	-1	-1	-50.84	-26.22	626.88	2.88	-27.83	633.78	0.00	0.33	-0.94	-0.01	0.29	-0.96	0	 -1	
13837349400	SMP	1	1601.00	886.13	0.00	0.00	26.35	26.35	5.07	0.00	0.00	0.00	1594.97	891.53	1603.59	891.61	0.00	0.00	0.00	0.00	417.41	288.66	0.00	0.00	0	1	0	1	-1	-1	-50.80	-26.24	626.42	0.00	0.00	0.00	0.01	0.26	-0.97	0.00	0.00	0.00	0	 -1	
13837382747	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
13837416062	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
