## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order1\speed-acc-child-gaze-10-[d28d42df-d194-4b21-b19c-bcafa62e830b]\speed-acc-child-gaze-10-eye_data.idf
## Date:	14.07.2017 15:37:36
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10781                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-10                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
198829564141	SMP	1	1531.02	847.26	1271.80	848.13	24.12	24.12	4.30	25.29	25.29	4.62	1524.71	852.98	1534.06	853.11	1267.57	854.37	1276.46	854.39	956.47	430.97	837.94	312.45	0	1	1	2	-1	-1	-34.78	-17.51	590.12	13.70	-18.19	604.42	-0.01	0.25	-0.97	-0.01	0.27	-0.96	0	 -1	
198867882948	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
198867893497	SMP	1	1440.45	790.64	1173.29	773.23	26.98	26.98	4.79	27.36	27.36	4.90	1440.26	791.09	1449.92	791.19	1175.27	773.99	1184.77	773.87	1497.19	1134.19	1508.48	1157.11	0	1	1	2	-1	-1	-19.07	-5.94	592.07	30.70	-2.71	592.42	0.21	0.03	-0.98	0.21	0.03	-0.98	0	 -1	
198867926829	SMP	1	1440.29	790.72	1172.68	773.12	27.11	27.11	4.80	27.66	27.66	4.91	1439.99	791.03	1449.56	791.09	1174.57	773.84	1184.09	773.72	1494.64	1135.26	1507.97	1160.26	0	1	1	2	-1	-1	-19.01	-5.93	592.04	30.84	-2.68	592.48	0.20	0.02	-0.98	0.21	0.03	-0.98	0	 -1	
198867960128	SMP	1	1438.21	791.53	1170.79	773.81	26.76	26.76	4.79	27.60	27.60	4.91	1438.91	791.62	1448.44	791.56	1173.45	774.42	1182.89	774.35	1571.95	1141.92	1543.83	1165.56	0	1	1	2	-1	-1	-18.80	-6.02	591.99	31.07	-2.80	592.80	0.24	0.01	-0.97	0.23	0.03	-0.97	0	 -1	
198867993459	SMP	1	1437.66	792.13	1169.84	774.59	26.78	26.78	4.78	27.53	27.53	4.91	1438.28	792.12	1447.97	792.11	1172.53	774.97	1181.97	774.81	1581.13	1143.70	0.00	0.00	0	1	1	2	-1	-1	-18.67	-6.11	591.14	31.26	-2.90	593.07	0.24	0.01	-0.97	0.23	0.02	-0.97	0	 -1	
198868026794	SMP	1	1437.44	792.56	1169.11	775.19	26.87	26.87	4.78	27.66	27.66	4.91	1437.99	792.66	1447.65	792.59	1171.90	775.58	1181.45	775.54	1576.76	1141.29	0.00	0.00	0	1	1	2	-1	-1	-18.60	-6.21	590.84	31.36	-3.02	592.94	0.23	0.01	-0.97	0.24	0.02	-0.97	0	 -1	
198868060127	SMP	1	1437.35	792.96	1168.75	775.83	27.02	27.02	4.78	27.80	27.80	4.92	1437.96	793.06	1447.67	793.06	1171.51	776.19	1180.97	776.24	1585.11	1141.37	0.00	0.00	0	1	1	2	-1	-1	-18.58	-6.28	590.24	31.46	-3.14	593.22	0.24	0.01	-0.97	0.24	0.02	-0.97	0	 -1	
198868093529	SMP	1	1437.55	792.70	1168.78	776.20	26.93	26.93	4.78	27.89	27.89	4.93	1438.31	792.90	1448.02	792.82	1171.48	776.55	1181.01	776.48	1593.74	1142.33	0.00	0.00	0	1	1	2	-1	-1	-18.63	-6.24	589.78	31.45	-3.20	593.10	0.24	0.02	-0.97	0.24	0.02	-0.97	0	 -1	
198868126797	SMP	1	1438.50	792.70	1169.38	776.80	26.91	26.91	4.77	27.77	27.77	4.93	1439.17	792.82	1448.93	792.77	1172.03	777.17	1181.63	777.19	1593.82	1146.19	0.00	0.00	0	1	1	2	-1	-1	-18.78	-6.22	589.10	31.32	-3.32	592.79	0.24	0.01	-0.97	0.24	0.02	-0.97	0	 -1	
