## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order1\speed-acc-child-gaze-13-[aa033359-6a51-4cd7-a6dd-ea2a009663ea]\speed-acc-child-gaze-13-eye_data.idf
## Date:	19.07.2017 09:53:02
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10876                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-13                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4119867336	SMP	1	1493.48	810.56	1243.21	804.46	21.27	21.27	4.10	24.06	24.06	4.65	1486.36	814.83	1494.40	814.94	1241.88	809.14	1250.07	809.04	754.72	676.00	1097.77	629.48	0	1	1	2	-1	-1	-30.05	-11.33	645.20	19.88	-10.11	643.09	-0.09	0.20	-0.98	0.09	0.21	-0.97	0	 -1	
4143040188	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
4143065073	SMP	1	1510.08	797.90	1260.99	783.26	21.30	21.30	4.28	25.04	25.04	5.01	1502.37	808.45	1509.79	808.73	1258.63	794.95	0.00	0.00	847.99	-63.94	0.00	0.00	0	1	1	2	-1	-1	-34.44	-10.40	668.16	17.14	-7.49	666.12	-0.13	0.47	-0.87	0.04	0.51	-0.86	0	 -1	
4143098337	SMP	1	1510.01	797.96	1260.76	783.40	21.34	21.34	4.28	24.86	24.86	5.00	1502.14	808.46	1509.72	808.77	1258.41	795.05	0.00	0.00	844.58	-65.87	0.00	0.00	0	1	1	2	-1	-1	-34.40	-10.41	667.97	17.23	-7.53	667.73	-0.13	0.47	-0.87	0.04	0.51	-0.86	0	 -1	
4143131670	SMP	1	1508.93	800.16	1260.18	785.83	21.57	21.57	4.29	25.37	25.37	5.00	1501.36	809.45	1509.03	809.74	1257.70	795.46	1265.75	795.51	849.25	20.37	851.69	6.92	0	1	1	2	-1	-1	-34.21	-10.60	667.21	17.11	-7.53	659.97	-0.12	0.42	-0.90	0.04	0.42	-0.91	0	 -1	
4143165006	SMP	1	1507.42	802.77	1258.98	788.64	21.53	21.53	4.29	25.45	25.45	5.01	1500.16	810.82	1508.08	810.77	1257.33	796.89	1265.23	796.87	892.18	209.35	876.83	172.63	0	1	1	2	-1	-1	-33.83	-10.81	664.32	17.21	-7.83	660.22	-0.10	0.36	-0.93	0.07	0.36	-0.93	0	 -1	
4143198339	SMP	1	1507.66	802.97	1258.66	788.76	21.39	21.39	4.28	25.69	25.69	5.02	1500.32	810.90	1508.30	810.84	1257.07	796.94	1264.97	796.94	907.02	221.60	890.43	183.03	0	1	1	2	-1	-1	-33.71	-10.77	661.09	17.23	-7.82	658.73	-0.10	0.35	-0.93	0.08	0.36	-0.93	0	 -1	
4143231664	SMP	1	1507.63	803.10	1258.51	788.85	21.71	21.71	4.28	25.46	25.46	5.02	1500.34	810.95	1508.33	810.88	1256.94	797.02	1264.92	796.95	924.35	231.43	902.60	190.83	0	1	1	2	-1	-1	-33.58	-10.74	658.55	17.18	-7.80	656.17	-0.09	0.35	-0.93	0.08	0.35	-0.93	0	 -1	
4143265004	SMP	1	1507.52	803.06	1258.43	788.94	21.82	21.82	4.29	25.40	25.40	5.01	1500.32	810.96	1508.31	810.93	1256.84	797.09	1264.81	797.00	937.53	234.96	907.66	195.45	0	1	1	2	-1	-1	-33.48	-10.71	656.56	17.17	-7.80	654.85	-0.09	0.35	-0.93	0.08	0.35	-0.93	0	 -1	
4143298348	SMP	1	1507.55	803.12	1258.32	788.92	21.49	21.49	4.27	25.36	25.36	5.01	1500.30	811.02	1508.28	811.02	1256.72	797.21	1264.69	797.17	939.82	237.75	911.73	198.55	0	1	1	2	-1	-1	-33.39	-10.70	655.00	17.16	-7.81	653.74	-0.09	0.35	-0.93	0.08	0.36	-0.93	0	 -1	
