## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order2\speed-acc-child-gaze-16-[272492b0-a3ff-4295-819a-0f9cb50309d8]\speed-acc-child-gaze-16-eye_data.idf
## Date:	19.07.2017 13:42:08
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10914                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-16                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
17263548029	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
17263578244	SMP	1	1879.83	814.48	1648.89	787.94	29.02	29.02	6.02	30.73	30.73	6.31	1874.73	823.10	1882.04	823.20	1646.74	796.90	1654.15	797.13	949.43	-81.12	936.02	-96.59	0	1	1	2	-1	-1	-114.82	-13.67	677.06	-65.82	-8.05	676.31	0.09	0.40	-0.91	0.15	0.41	-0.90	0	 -1	
17263611509	SMP	1	1879.87	814.81	1648.57	788.09	28.76	28.76	6.00	30.63	30.63	6.29	1874.50	823.19	1881.79	823.30	1646.67	797.06	1653.99	797.31	945.20	-76.52	941.88	-97.05	0	1	1	2	-1	-1	-114.69	-13.68	676.57	-65.81	-8.08	676.52	0.08	0.39	-0.92	0.16	0.41	-0.90	0	 -1	
17263644840	SMP	1	1879.81	814.89	1648.44	788.27	28.62	28.62	5.98	30.58	30.58	6.28	1874.43	823.13	1881.69	823.24	1646.60	797.09	1653.83	797.30	943.13	-71.46	940.73	-95.39	0	1	1	2	-1	-1	-114.64	-13.66	676.39	-65.82	-8.09	676.85	0.07	0.38	-0.92	0.16	0.40	-0.90	0	 -1	
17263678239	SMP	1	1879.60	814.77	1648.57	787.93	28.25	28.25	5.95	30.47	30.47	6.27	1874.41	822.89	1881.72	823.12	1646.66	796.88	1653.86	797.09	947.17	-64.86	935.39	-96.09	0	1	1	2	-1	-1	-114.52	-13.61	675.67	-65.86	-8.05	677.15	0.08	0.38	-0.92	0.16	0.41	-0.90	0	 -1	
17263711573	SMP	1	1879.83	814.40	1648.76	787.80	28.60	28.60	5.93	30.57	30.57	6.26	1874.59	822.53	1881.90	822.91	1646.74	796.79	1654.04	796.82	947.39	-62.99	929.64	-95.41	0	1	1	2	-1	-1	-114.48	-13.54	675.23	-65.86	-8.01	676.83	0.08	0.38	-0.92	0.16	0.40	-0.90	0	 -1	
17263744841	SMP	1	1880.73	814.24	1649.79	787.17	28.34	28.34	5.91	30.46	30.46	6.26	1875.34	822.38	1882.64	822.66	1647.68	796.27	1654.91	796.44	942.75	-57.87	0.00	0.00	0	1	1	2	-1	-1	-114.61	-13.49	675.02	-66.10	-7.92	677.35	0.08	0.38	-0.92	0.15	0.41	-0.90	0	 -1	
17263778168	SMP	1	1882.33	814.33	1651.48	787.13	28.22	28.22	5.89	30.53	30.53	6.25	1876.28	822.20	1883.65	822.60	1648.79	795.95	1656.04	796.11	899.30	-42.10	861.00	-92.48	0	1	1	2	-1	-1	-114.71	-13.45	674.37	-66.35	-7.85	677.46	0.05	0.37	-0.93	0.13	0.40	-0.91	0	 -1	
17263811516	SMP	1	1882.64	814.01	1651.80	786.94	28.27	28.27	5.87	30.78	30.78	6.26	1876.75	822.12	1884.03	822.54	1649.11	795.94	1656.40	796.03	893.17	-47.61	844.75	-92.73	0	1	1	2	-1	-1	-114.84	-13.44	674.61	-66.42	-7.84	677.40	0.05	0.38	-0.92	0.13	0.40	-0.91	0	 -1	
17263844813	SMP	1	1883.02	814.24	1652.12	786.83	28.63	28.63	5.87	30.39	30.39	6.25	1876.98	822.27	1884.30	822.66	1649.63	795.93	1656.73	795.99	869.50	-39.89	0.00	0.00	0	1	1	2	-1	-1	-114.86	-13.47	674.46	-66.64	-7.85	678.70	0.05	0.38	-0.93	0.13	0.41	-0.90	0	 -1	
17263878141	SMP	1	1883.21	814.15	1652.17	787.03	28.67	28.67	5.88	30.57	30.57	6.25	1877.05	822.27	1884.37	822.67	1649.67	795.95	1656.85	796.04	850.86	-39.12	857.69	-91.91	0	1	1	2	-1	-1	-114.85	-13.46	674.29	-66.69	-7.86	678.99	0.04	0.38	-0.92	0.13	0.40	-0.91	0	 -1	
17263911491	SMP	1	1882.90	814.24	1652.15	786.89	28.61	28.61	5.87	30.60	30.60	6.25	1877.00	822.30	1884.38	822.65	1649.59	795.95	1656.69	796.05	870.83	-33.79	0.00	0.00	0	1	1	2	-1	-1	-114.77	-13.46	673.84	-66.76	-7.87	679.98	0.06	0.38	-0.93	0.13	0.41	-0.90	0	 -1	
17263944894	SMP	1	1883.12	814.15	1651.59	787.05	28.65	28.65	5.87	30.77	30.77	6.26	1876.92	822.17	1884.14	822.59	1648.98	796.00	1656.29	796.10	840.70	-31.05	844.96	-92.66	0	1	1	2	-1	-1	-114.79	-13.44	674.17	-66.57	-7.87	679.21	0.04	0.38	-0.93	0.13	0.40	-0.91	0	 -1	
17263978145	SMP	1	1882.23	814.01	1651.27	786.94	28.88	28.88	5.88	30.51	30.51	6.26	1876.22	822.12	1883.60	822.48	1648.67	795.97	1655.81	796.08	850.97	-29.21	0.00	0.00	0	1	1	2	-1	-1	-114.54	-13.41	673.48	-66.58	-7.88	680.19	0.05	0.38	-0.92	0.13	0.41	-0.90	0	 -1	
17264011618	SMP	1	1881.84	814.18	1650.37	787.08	28.80	28.80	5.88	30.81	30.81	6.27	1875.79	822.08	1883.10	822.50	1647.80	796.00	1655.12	796.15	845.87	-24.30	845.68	-93.09	0	1	1	2	-1	-1	-114.41	-13.41	673.31	-66.34	-7.88	679.40	0.05	0.37	-0.93	0.13	0.40	-0.91	0	 -1	
17264044817	SMP	1	1880.99	813.77	1649.93	787.02	28.89	28.89	5.89	30.72	30.72	6.27	1875.14	821.90	1882.53	822.34	1647.23	796.02	1654.46	796.14	855.09	-26.56	830.88	-94.58	0	1	1	2	-1	-1	-114.20	-13.36	672.82	-66.24	-7.89	679.80	0.06	0.38	-0.92	0.12	0.41	-0.90	0	 -1	
17264078173	SMP	1	1880.57	813.47	1649.26	786.89	28.47	28.47	5.88	30.48	30.48	6.27	1874.67	821.79	1881.93	822.15	1646.75	795.85	1653.89	795.93	848.96	-29.82	835.16	-94.87	0	1	1	2	-1	-1	-114.16	-13.34	673.24	-66.21	-7.86	680.64	0.05	0.39	-0.92	0.13	0.40	-0.90	0	 -1	
17264111482	SMP	1	1880.15	813.51	1648.85	786.55	28.44	28.44	5.87	30.52	30.52	6.26	1874.05	821.53	1881.50	822.00	1645.96	795.69	1653.28	795.68	845.27	-25.45	0.00	0.00	0	1	1	2	-1	-1	-113.91	-13.28	672.47	-66.00	-7.80	680.01	0.05	0.38	-0.93	0.12	0.41	-0.90	0	 -1	
17264144824	SMP	1	1879.48	812.97	1648.32	786.15	28.47	28.47	5.86	30.81	30.81	6.28	1873.79	821.19	1880.97	821.54	1645.68	795.21	1652.77	795.28	851.90	-30.39	0.00	0.00	0	1	1	2	-1	-1	-114.00	-13.21	673.46	-66.04	-7.72	681.30	0.06	0.38	-0.92	0.12	0.41	-0.90	0	 -1	
17264178263	SMP	1	1879.19	812.99	1647.69	785.89	28.90	28.90	5.87	30.76	30.76	6.28	1873.18	820.99	1880.59	821.40	1645.01	794.94	1652.24	795.04	848.97	-26.31	0.00	0.00	0	1	1	2	-1	-1	-113.73	-13.16	672.48	-65.87	-7.66	680.84	0.05	0.37	-0.93	0.13	0.41	-0.90	0	 -1	
17264211494	SMP	1	1878.74	812.77	1647.42	786.02	28.38	28.38	5.86	30.65	30.65	6.28	1872.75	820.88	1880.13	821.29	1644.73	794.89	1651.83	795.02	849.96	-27.73	824.59	-94.22	0	1	1	2	-1	-1	-113.60	-13.13	672.30	-65.87	-7.67	681.68	0.05	0.38	-0.92	0.12	0.40	-0.91	0	 -1	
17264244819	SMP	1	1877.98	812.93	1646.58	786.19	28.52	28.52	5.85	30.67	30.67	6.28	1872.21	820.89	1879.62	821.28	1643.98	795.00	1651.27	795.17	858.91	-23.03	828.59	-94.64	0	1	1	2	-1	-1	-113.42	-13.12	671.89	-65.66	-7.68	680.90	0.06	0.37	-0.93	0.13	0.40	-0.91	0	 -1	
17264278185	SMP	1	1877.94	812.95	1646.44	786.00	28.74	28.74	5.85	30.49	30.49	6.28	1871.87	820.85	1879.34	821.22	1643.76	794.93	1650.91	795.10	853.89	-18.31	0.00	0.00	0	1	1	2	-1	-1	-113.22	-13.10	671.13	-65.66	-7.68	681.61	0.05	0.37	-0.93	0.12	0.41	-0.91	0	 -1	
17264311437	SMP	1	1877.53	812.70	1646.01	785.99	28.57	28.57	5.85	30.75	30.75	6.29	1871.60	820.77	1878.84	821.13	1643.54	794.98	1650.57	795.07	856.21	-20.74	0.00	0.00	0	1	1	2	-1	-1	-113.32	-13.10	672.16	-65.72	-7.69	682.83	0.05	0.38	-0.93	0.13	0.41	-0.90	0	 -1	
17264344836	SMP	1	1875.63	812.55	1644.40	786.09	28.46	28.46	5.85	30.69	30.69	6.29	1870.32	820.51	1877.24	820.88	1642.50	794.93	1649.66	795.04	871.08	-20.19	880.29	-94.77	0	1	1	2	-1	-1	-113.79	-13.13	676.77	-65.49	-7.68	682.66	0.07	0.37	-0.93	0.16	0.40	-0.90	0	 -1	
17264378112	SMP	1	1875.57	812.55	1644.30	785.86	28.44	28.44	5.87	30.77	30.77	6.30	1870.24	820.54	1876.98	820.71	1642.34	794.81	1649.50	794.91	871.28	-25.71	0.00	0.00	0	1	1	2	-1	-1	-115.30	-13.30	685.96	-65.46	-7.66	682.67	0.06	0.37	-0.92	0.15	0.41	-0.90	0	 -1	
