## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order4\speed-acc-child-gaze-17-[c5b23a99-747f-4c55-ac24-2a1c9a57eb9b]\speed-acc-child-gaze-17-eye_data.idf
## Date:	19.07.2017 14:01:52
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11040                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-17                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
18411834736	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
18411865610	SMP	1	1392.99	957.06	1172.36	966.91	28.68	28.68	5.86	27.41	27.41	5.57	1382.32	956.60	1389.37	956.64	1165.41	966.87	1173.14	966.74	259.23	1126.04	274.22	1091.68	0	1	1	2	-1	-1	-9.14	-42.55	680.65	36.76	-43.75	665.50	-0.30	0.04	-0.95	-0.19	0.06	-0.98	0	 -1	
18411898928	SMP	1	1394.54	956.96	1173.95	966.75	28.82	28.82	5.86	27.42	27.42	5.56	1383.88	956.44	1391.01	956.50	1166.82	966.63	1174.43	966.57	257.62	1127.14	267.63	1090.43	0	1	1	2	-1	-1	-9.48	-42.49	680.21	36.52	-43.76	666.35	-0.30	0.04	-0.95	-0.20	0.06	-0.98	0	 -1	
18411932337	SMP	1	1395.85	957.00	1174.98	966.72	28.66	28.66	5.87	27.30	27.30	5.55	1385.22	956.54	1392.27	956.58	1168.00	966.61	1175.50	966.55	254.25	1125.80	270.19	1086.58	0	1	1	2	-1	-1	-9.80	-42.68	682.97	36.39	-43.89	668.27	-0.30	0.04	-0.95	-0.19	0.06	-0.98	0	 -1	
18411965671	SMP	1	1395.98	957.23	1174.97	966.87	28.68	28.68	5.87	27.24	27.24	5.53	1385.75	956.71	1392.95	956.80	1168.36	966.71	1176.09	966.60	271.74	1128.42	305.96	1087.04	0	1	1	2	-1	-1	-9.90	-42.61	681.11	36.04	-43.60	663.68	-0.28	0.04	-0.96	-0.17	0.06	-0.98	0	 -1	
18411999006	SMP	1	1395.88	957.25	1174.59	966.91	28.81	28.81	5.87	27.47	27.47	5.52	1385.98	956.76	1393.10	956.87	1168.54	966.69	1176.37	966.57	307.45	1129.61	416.22	1087.15	0	1	1	2	-1	-1	-9.97	-42.75	683.17	35.87	-43.44	661.35	-0.27	0.04	-0.96	-0.14	0.05	-0.99	0	 -1	
18412032254	SMP	1	1396.25	957.26	1175.24	966.61	28.73	28.73	5.88	27.23	27.23	5.50	1386.49	956.64	1393.74	956.73	1169.10	966.52	1176.59	966.49	346.98	1135.11	384.90	1080.90	0	1	1	2	-1	-1	-10.08	-42.63	681.67	36.00	-43.67	665.27	-0.26	0.04	-0.97	-0.15	0.06	-0.99	0	 -1	
18412065658	SMP	1	1396.85	957.18	1175.54	966.52	28.83	28.83	5.88	27.38	27.38	5.49	1387.02	956.55	1394.14	956.58	1169.44	966.31	1177.16	966.31	336.71	1139.69	407.88	1085.11	0	1	1	2	-1	-1	-10.21	-42.74	683.91	35.71	-43.40	661.80	-0.26	0.03	-0.96	-0.15	0.06	-0.99	0	 -1	
18412099048	SMP	1	1397.13	957.29	1176.06	966.42	28.87	28.87	5.89	27.30	27.30	5.48	1387.32	956.57	1394.51	956.67	1169.83	966.31	1177.46	966.44	346.88	1144.86	396.93	1084.94	0	1	1	2	-1	-1	-10.28	-42.74	683.67	35.67	-43.45	662.31	-0.26	0.03	-0.97	-0.15	0.06	-0.99	0	 -1	
18412132311	SMP	1	1397.50	957.28	1176.30	966.50	28.65	28.65	5.89	27.31	27.31	5.48	1387.75	956.70	1394.97	956.75	1170.19	966.37	1177.77	966.37	357.55	1145.50	403.78	1085.13	0	1	1	2	-1	-1	-10.37	-42.76	683.64	35.61	-43.46	662.50	-0.26	0.04	-0.97	-0.15	0.06	-0.99	0	 -1	
