## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order2\speed-acc-child-gaze-18-[611fcc32-03d7-4fc9-8265-8ac175064936]\speed-acc-child-gaze-18-eye_data.idf
## Date:	19.07.2017 14:18:43
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	2437                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-18                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
19423927019	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
19423933085	SMP	1	1612.94	922.24	1370.59	896.27	24.64	24.64	4.97	24.98	24.98	4.99	1603.23	922.29	1610.57	922.44	1364.29	896.51	1371.77	896.54	380.11	1088.72	374.21	1033.62	0	1	1	2	-1	-1	-56.24	-34.78	673.46	-5.22	-29.15	670.80	-0.18	0.06	-0.98	-0.10	0.05	-0.99	0	 -1	
19423966367	SMP	1	1612.91	922.38	1370.50	896.54	24.73	24.73	4.98	24.97	24.97	4.99	1603.17	922.47	1610.57	922.57	1364.24	896.77	1371.72	896.80	379.80	1085.54	373.20	1032.98	0	1	1	2	-1	-1	-56.22	-34.81	673.26	-5.20	-29.19	670.52	-0.18	0.06	-0.98	-0.10	0.05	-0.99	0	 -1	
19423999785	SMP	1	1612.51	920.38	1368.86	893.95	22.46	22.46	4.91	25.13	25.13	5.01	1602.43	921.09	1609.57	921.38	1363.55	895.58	1371.04	895.62	360.92	1041.60	456.25	885.54	0	1	1	2	-1	-1	-56.18	-34.62	674.99	-5.06	-28.93	670.35	-0.20	0.09	-0.97	-0.06	0.11	-0.99	0	 -1	
19424033104	SMP	1	0.00	0.00	1366.24	886.08	0.00	0.00	0.00	24.65	24.65	5.00	0.00	0.00	0.00	0.00	1362.35	892.22	1369.59	892.26	0.00	0.00	656.57	391.55	0	0	1	1	-1	-1	0.00	0.00	0.00	-4.78	-28.27	671.59	0.00	0.00	0.00	-0.01	0.31	-0.95	0	 -1	
19424066439	SMP	1	0.00	0.00	1363.88	881.29	0.00	0.00	0.00	23.96	23.96	4.97	0.00	0.00	0.00	0.00	1361.16	890.26	1368.25	890.21	0.00	0.00	783.68	93.50	0	0	1	1	-1	-1	0.00	0.00	0.00	-4.53	-27.96	674.37	0.00	0.00	0.00	0.04	0.43	-0.90	0	 -1	
19424099792	SMP	1	0.00	0.00	1363.58	881.70	0.00	0.00	0.00	24.36	24.36	4.96	0.00	0.00	0.00	0.00	1360.76	890.46	1368.01	890.44	0.00	0.00	784.80	105.21	0	0	1	1	-1	-1	0.00	0.00	0.00	-4.46	-27.99	674.00	0.00	0.00	0.00	0.04	0.42	-0.91	0	 -1	
19424133032	SMP	1	1605.31	907.71	1363.66	881.66	24.28	24.28	4.91	24.31	24.31	4.96	1599.12	915.43	1606.47	915.44	1360.80	890.48	1368.05	890.45	754.49	165.27	782.94	105.11	0	1	1	2	-1	-1	-55.45	-33.36	674.50	-4.48	-28.03	674.87	-0.04	0.38	-0.92	0.04	0.42	-0.91	0	 -1	
19424166365	SMP	1	1605.77	907.70	1364.00	881.77	24.39	24.39	4.92	24.00	24.00	4.94	1599.55	915.63	1606.81	915.80	1361.13	890.70	1368.24	890.67	747.15	143.99	779.07	99.72	0	1	1	2	-1	-1	-55.58	-33.44	675.02	-4.55	-28.19	677.57	-0.04	0.39	-0.92	0.04	0.43	-0.90	0	 -1	
19424199750	SMP	1	1606.24	907.71	1364.40	881.95	24.35	24.35	4.93	24.06	24.06	4.93	1600.18	916.03	1607.41	916.07	1361.54	890.92	1368.84	890.81	749.71	113.06	780.84	98.06	0	1	1	2	-1	-1	-55.75	-33.54	675.57	-4.65	-28.18	676.41	-0.03	0.41	-0.91	0.04	0.43	-0.90	0	 -1	
