## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order1\speed-acc-child-gaze-19-[36194440-4b01-4bbc-b320-27359cfe4395]\speed-acc-child-gaze-19-eye_data.idf
## Date:	19.07.2017 14:30:41
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10900                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-19                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
20141796193	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
20141829333	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
20141862700	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
20141895999	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
20141929336	SMP	1	0.00	0.00	1327.10	901.97	0.00	0.00	0.00	24.63	24.63	5.37	0.00	0.00	0.00	0.00	1321.06	911.11	1328.00	911.24	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	4.30	-34.37	714.59	0.00	0.00	0.00	-0.12	0.46	-0.88	0	 -1	
20141962663	SMP	1	1579.31	859.66	1341.78	892.20	26.16	26.16	5.43	24.92	24.92	5.36	0.00	0.00	1573.67	870.30	1335.37	901.98	1342.34	902.16	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-47.51	-23.27	662.30	1.04	-32.07	709.38	-0.35	0.48	-0.81	-0.13	0.49	-0.86	0	 -1	
20141995981	SMP	1	1594.92	853.70	1355.87	885.26	26.27	26.27	5.40	25.27	25.27	5.36	0.00	0.00	1589.61	863.99	1349.49	894.90	1356.50	895.09	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-51.11	-22.04	664.97	-2.12	-30.27	704.32	-0.32	0.46	-0.83	-0.13	0.48	-0.87	0	 -1	
20142029319	SMP	1	1608.38	849.70	1368.45	880.46	26.25	26.25	5.37	25.48	25.48	5.36	0.00	0.00	1602.94	860.02	1362.03	890.22	1368.98	890.33	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-53.97	-21.22	665.56	-4.91	-29.18	703.58	-0.32	0.46	-0.83	-0.13	0.48	-0.87	0	 -1	
20142062682	SMP	1	1619.00	847.61	1378.63	877.48	26.14	26.14	5.35	25.53	25.53	5.36	0.00	0.00	1613.41	857.98	1372.00	887.16	1379.14	887.27	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-56.14	-20.78	665.31	-7.08	-28.20	696.17	-0.33	0.46	-0.82	-0.13	0.47	-0.87	0	 -1	
20142095994	SMP	1	1627.39	846.27	1386.80	874.91	26.40	26.40	5.33	25.44	25.44	5.35	0.00	0.00	1621.64	856.59	1380.19	884.67	1387.27	884.83	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-57.49	-20.36	661.34	-8.87	-27.63	695.64	-0.34	0.46	-0.82	-0.13	0.47	-0.87	0	 -1	
20142129385	SMP	1	1634.20	845.14	1393.66	872.60	26.40	26.40	5.32	25.62	25.62	5.35	0.00	0.00	1628.58	855.41	1387.03	882.36	1394.09	882.53	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-58.89	-20.09	660.61	-10.36	-27.08	694.62	-0.33	0.46	-0.83	-0.13	0.47	-0.87	0	 -1	
20142162655	SMP	1	1640.09	844.20	1399.30	870.73	26.43	26.43	5.30	25.73	25.73	5.35	0.00	0.00	1634.42	854.46	1392.74	880.46	1399.84	880.59	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-59.43	-19.68	653.56	-11.60	-26.60	692.95	-0.33	0.45	-0.83	-0.12	0.47	-0.87	0	 -1	
20142195987	SMP	1	1645.11	843.48	1404.10	869.14	26.27	26.27	5.28	25.80	25.80	5.35	0.00	0.00	1639.47	853.81	1397.57	878.75	1404.70	878.89	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-61.22	-19.77	660.96	-12.63	-26.16	691.34	-0.33	0.46	-0.83	-0.12	0.46	-0.88	0	 -1	
20142229295	SMP	1	1649.62	843.78	1408.36	868.19	26.33	26.33	5.27	25.89	25.89	5.35	0.00	0.00	1644.10	854.09	1401.79	877.86	1408.90	877.89	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-61.91	-19.74	658.16	-13.54	-25.93	690.73	-0.32	0.46	-0.83	-0.12	0.46	-0.88	0	 -1	
