## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order3\speed-acc-child-gaze-20-[e986edef-4af2-4ae2-ab95-686d5d298940]\speed-acc-child-gaze-20-eye_data.idf
## Date:	21.07.2017 09:08:14
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10989                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-20                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
173714347147	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
173714377696	SMP	1	1506.18	1003.87	1273.20	1005.49	22.38	22.38	4.75	23.70	23.70	5.04	1501.61	1007.46	1508.49	1007.58	1270.72	1009.56	1277.43	1009.49	857.20	598.96	824.76	602.16	0	1	1	2	-1	-1	-35.82	-55.00	699.24	15.51	-55.87	704.58	0.00	0.24	-0.97	0.02	0.26	-0.97	0	 -1	
173714410944	SMP	1	1504.53	1003.59	1271.62	1005.45	22.34	22.34	4.74	23.86	23.86	5.04	1499.96	1006.91	1506.87	1007.07	1269.34	1009.55	1276.05	1009.43	861.16	603.18	843.15	603.54	0	1	1	2	-1	-1	-35.42	-54.83	698.63	15.82	-55.87	704.74	0.00	0.23	-0.97	0.03	0.26	-0.97	0	 -1	
173714444302	SMP	1	1503.21	1003.12	1270.33	1005.39	22.25	22.25	4.73	23.79	23.79	5.04	1498.61	1006.49	1505.54	1006.70	1267.97	1009.45	1274.54	1009.43	864.69	603.95	841.75	599.16	0	1	1	2	-1	-1	-35.11	-54.71	698.23	16.17	-55.94	705.70	0.00	0.23	-0.97	0.02	0.26	-0.96	0	 -1	
173714477592	SMP	1	1502.07	1002.56	1269.21	1005.37	22.37	22.37	4.73	23.89	23.89	5.05	1497.53	1005.62	1504.28	1005.97	1266.92	1009.30	1273.49	1009.35	867.07	611.30	849.80	598.32	0	1	1	2	-1	-1	-34.92	-54.65	699.72	16.42	-55.99	706.64	-0.01	0.22	-0.97	0.02	0.26	-0.97	0	 -1	
173714510901	SMP	1	1501.02	1002.07	1268.22	1005.10	22.46	22.46	4.73	23.92	23.92	5.06	1496.58	1005.47	1503.28	1005.60	1265.93	1009.28	1272.50	1009.32	870.75	607.43	855.12	589.67	0	1	1	2	-1	-1	-34.76	-54.69	700.87	16.66	-56.04	707.44	0.00	0.23	-0.97	0.02	0.27	-0.96	0	 -1	
173714544237	SMP	1	1500.05	1001.75	1267.24	1005.22	22.16	22.16	4.72	23.85	23.85	5.06	1495.52	1005.31	1502.23	1005.28	1264.95	1009.38	1271.50	1009.39	871.71	605.64	859.05	585.90	0	1	1	2	-1	-1	-34.55	-54.67	701.31	16.91	-56.14	708.41	-0.01	0.24	-0.97	0.02	0.27	-0.96	0	 -1	
173714577568	SMP	1	1499.18	1001.51	1266.41	1005.25	22.60	22.60	4.73	23.81	23.81	5.06	1494.62	1004.77	1501.41	1005.04	1264.21	1009.44	1270.83	1009.30	873.49	610.11	867.07	585.93	0	1	1	2	-1	-1	-34.34	-54.55	700.90	17.07	-56.16	708.67	-0.01	0.23	-0.97	0.03	0.27	-0.96	0	 -1	
173714610899	SMP	1	1498.68	1001.16	1265.96	1005.14	22.09	22.09	4.72	23.86	23.86	5.07	1493.89	1004.54	1500.81	1004.76	1263.62	1009.27	1270.29	1009.15	872.00	609.20	867.82	583.87	0	1	1	2	-1	-1	-34.15	-54.42	700.00	17.20	-56.13	708.75	-0.01	0.23	-0.97	0.02	0.26	-0.96	0	 -1	
173714644241	SMP	1	1498.25	1000.76	1265.61	1004.97	22.20	22.20	4.71	23.96	23.96	5.08	1493.58	1004.33	1500.36	1004.31	1263.31	1008.74	1269.95	1008.70	873.05	604.70	870.44	593.32	0	1	1	2	-1	-1	-34.11	-54.43	701.03	17.28	-56.04	709.09	-0.01	0.24	-0.97	0.02	0.25	-0.97	0	 -1	
173714677565	SMP	1	1498.00	1000.47	1265.36	1004.47	22.24	22.24	4.71	24.00	24.00	5.09	1493.41	1003.69	1500.10	1003.99	1263.08	1008.53	1269.55	1008.48	872.12	609.78	872.22	582.74	0	1	1	2	-1	-1	-34.10	-54.37	701.71	17.40	-56.14	710.98	-0.01	0.23	-0.97	0.02	0.26	-0.96	0	 -1	
173714710960	SMP	1	1497.73	1000.40	1265.31	1004.50	22.44	22.44	4.71	23.70	23.70	5.08	1493.23	1003.65	1499.90	1003.85	1262.91	1008.46	1269.47	1008.45	872.66	611.88	872.11	583.21	0	1	1	2	-1	-1	-34.10	-54.42	702.57	17.43	-56.14	711.12	-0.01	0.23	-0.97	0.02	0.26	-0.97	0	 -1	
173714744230	SMP	1	1497.45	1000.50	1265.10	1004.27	22.13	22.13	4.71	23.83	23.83	5.09	1492.85	1003.68	1499.74	1003.91	1262.79	1008.44	1269.42	1008.42	872.19	616.56	874.29	577.12	0	1	1	2	-1	-1	-33.98	-54.35	701.48	17.45	-56.14	711.10	-0.01	0.23	-0.97	0.02	0.27	-0.96	0	 -1	
173714777557	SMP	1	1497.41	1000.64	1264.94	1004.48	22.32	22.32	4.71	23.92	23.92	5.09	1492.75	1003.85	1499.56	1004.08	1262.65	1008.52	1269.39	1008.48	869.85	616.70	874.97	578.95	0	1	1	2	-1	-1	-33.97	-54.41	701.87	17.45	-56.09	710.33	-0.01	0.23	-0.97	0.03	0.26	-0.96	0	 -1	
173714810903	SMP	1	1497.28	1000.86	1264.76	1004.80	22.24	22.24	4.71	23.91	23.91	5.09	1492.63	1004.23	1499.37	1004.24	1262.57	1008.61	1269.35	1008.53	867.82	617.00	879.09	588.91	0	1	1	2	-1	-1	-33.97	-54.52	702.46	17.45	-56.06	709.71	-0.01	0.23	-0.97	0.03	0.25	-0.97	0	 -1	
173714844247	SMP	1	1496.89	1000.79	1264.64	1004.86	22.27	22.27	4.71	24.18	24.18	5.11	1492.45	1004.31	1499.10	1004.31	1262.44	1008.74	1269.11	1008.73	869.39	611.64	880.62	586.62	0	1	1	2	-1	-1	-33.96	-54.60	703.28	17.50	-56.13	710.16	-0.01	0.24	-0.97	0.03	0.25	-0.97	0	 -1	
173714877547	SMP	1	1496.59	1000.70	1264.49	1005.01	22.14	22.14	4.70	23.88	23.88	5.11	1491.99	1003.91	1498.79	1004.04	1262.11	1008.79	1268.70	1008.68	867.72	616.86	877.19	596.45	0	1	1	2	-1	-1	-33.84	-54.48	702.62	17.60	-56.18	710.82	-0.01	0.22	-0.97	0.02	0.25	-0.97	0	 -1	
173714910985	SMP	1	1496.07	1000.31	1263.94	1004.74	22.31	22.31	4.71	23.84	23.84	5.10	1491.59	1003.51	1498.33	1003.76	1261.61	1008.66	1268.37	1008.52	868.89	618.78	879.10	596.56	0	1	1	2	-1	-1	-33.77	-54.44	703.19	17.67	-56.06	709.69	-0.01	0.23	-0.97	0.03	0.25	-0.97	0	 -1	
