## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order3\speed-acc-child-gaze-22-[1aa01741-aafb-4276-94a5-ad2d8613ae9c]\speed-acc-child-gaze-22-eye_data.idf
## Date:	21.07.2017 09:46:49
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11025                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-22                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
175885631381	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175885664666	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175885697977	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175885731300	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175885764644	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175885798060	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175885831370	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175885864650	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175885897964	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175885931297	SMP	1	1444.59	835.53	0.00	0.00	21.72	21.72	3.25	0.00	0.00	0.00	1431.99	840.33	1443.70	840.76	0.00	0.00	0.00	0.00	460.35	708.70	0.00	0.00	0	1	0	1	-1	-1	-15.75	-13.54	526.65	0.00	0.00	0.00	-0.20	0.19	-0.96	0.00	0.00	0.00	0	 -1	
175885964644	SMP	1	1443.82	834.00	0.00	0.00	21.61	21.61	3.28	0.00	0.00	0.00	1431.74	839.14	1443.49	839.40	0.00	0.00	0.00	0.00	485.04	700.41	0.00	0.00	0	1	0	1	-1	-1	-15.74	-13.35	527.72	0.00	0.00	0.00	-0.18	0.20	-0.96	0.00	0.00	0.00	0	 -1	
175885997967	SMP	1	1442.83	831.37	0.00	0.00	23.22	23.22	3.35	0.00	0.00	0.00	1431.18	837.09	1442.96	837.81	0.00	0.00	0.00	0.00	513.07	663.62	0.00	0.00	0	1	0	1	-1	-1	-15.67	-13.06	528.41	0.00	0.00	0.00	-0.17	0.23	-0.96	0.00	0.00	0.00	0	 -1	
175886031303	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175886064627	SMP	1	1431.50	814.16	1154.73	823.90	22.72	22.72	3.40	22.07	22.07	3.91	0.00	0.00	1435.49	822.08	1148.03	832.90	0.00	0.00	846.68	542.19	777.99	407.90	0	1	1	2	-1	-1	-14.58	-10.58	532.94	33.40	-12.90	554.05	-0.03	0.29	-0.96	-0.10	0.34	-0.93	0	 -1	
175886097942	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175886131275	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175886164679	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
175886967440	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
175886997906	SMP	1	0.00	0.00	1105.97	803.85	0.00	0.00	0.00	27.06	27.06	3.96	0.00	0.00	0.00	0.00	1095.95	813.50	1109.06	813.39	0.00	0.00	685.24	498.95	0	0	1	1	-1	-1	0.00	0.00	0.00	38.25	-8.57	500.75	0.00	0.00	0.00	-0.18	0.33	-0.93	0	 -1	
175887031205	SMP	1	1380.03	777.85	0.00	0.00	26.94	26.94	3.94	0.00	0.00	0.00	1370.94	788.19	1383.66	787.91	0.00	0.00	0.00	0.00	776.77	381.49	0.00	0.00	0	1	0	1	-1	-1	-5.50	-4.65	513.48	0.00	0.00	0.00	-0.08	0.35	-0.94	0.00	0.00	0.00	0	 -1	
175887064555	SMP	1	0.00	0.00	1104.43	804.61	0.00	0.00	0.00	28.64	28.64	4.02	0.00	0.00	0.00	0.00	1094.81	814.35	1107.90	814.19	0.00	0.00	696.54	494.73	0	0	1	1	-1	-1	0.00	0.00	0.00	38.46	-8.70	501.05	0.00	0.00	0.00	-0.17	0.33	-0.93	0	 -1	
175887097898	SMP	1	0.00	0.00	1103.62	804.52	0.00	0.00	0.00	28.65	28.65	4.08	0.00	0.00	0.00	0.00	1093.96	814.21	1107.03	814.13	0.00	0.00	693.38	491.62	0	0	1	1	-1	-1	0.00	0.00	0.00	38.62	-8.69	501.39	0.00	0.00	0.00	-0.17	0.33	-0.93	0	 -1	
175887131316	SMP	1	0.00	0.00	1103.00	804.83	0.00	0.00	0.00	29.35	29.35	4.14	0.00	0.00	0.00	0.00	1093.54	814.38	1106.59	814.22	0.00	0.00	697.99	493.84	0	0	1	1	-1	-1	0.00	0.00	0.00	38.71	-8.72	501.69	0.00	0.00	0.00	-0.16	0.32	-0.93	0	 -1	
175887164644	SMP	1	0.00	0.00	1102.79	805.03	0.00	0.00	0.00	29.36	29.36	4.19	0.00	0.00	0.00	0.00	1093.52	814.72	1106.57	814.47	0.00	0.00	704.19	489.92	0	0	1	1	-1	-1	0.00	0.00	0.00	38.74	-8.77	501.99	0.00	0.00	0.00	-0.16	0.33	-0.93	0	 -1	
175887197906	SMP	1	0.00	0.00	1103.95	805.07	0.00	0.00	0.00	28.46	28.46	4.21	0.00	0.00	0.00	0.00	1093.95	814.88	1107.03	814.79	0.00	0.00	687.46	483.67	0	0	1	1	-1	-1	0.00	0.00	0.00	38.68	-8.81	502.22	0.00	0.00	0.00	-0.18	0.33	-0.93	0	 -1	
175887231224	SMP	1	0.00	0.00	1104.11	805.70	0.00	0.00	0.00	29.46	29.46	4.25	0.00	0.00	0.00	0.00	1094.45	815.15	1107.60	815.12	0.00	0.00	693.38	487.26	0	0	1	1	-1	-1	0.00	0.00	0.00	38.60	-8.86	502.21	0.00	0.00	0.00	-0.17	0.32	-0.93	0	 -1	
175887264641	SMP	1	1381.27	776.85	1104.68	805.78	25.57	25.57	3.95	29.42	29.42	4.29	1371.44	788.07	1383.62	788.04	1095.11	815.24	1108.19	815.24	714.47	338.02	693.90	489.03	0	1	1	2	-1	-1	-5.59	-4.69	518.25	38.53	-8.88	502.58	-0.12	0.38	-0.92	-0.17	0.32	-0.93	0	 -1	
