## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order1\speed-acc-child-gaze-23-[4612560e-c487-4b56-9585-5c340ac0d64e]\speed-acc-child-gaze-23-eye_data.idf
## Date:	21.07.2017 10:58:13
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10894                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-23                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
180191702180	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
180191709261	SMP	1	1299.94	776.80	1045.89	770.32	27.35	27.35	5.56	28.53	28.53	5.73	1298.80	776.42	1306.05	776.50	1049.15	769.89	1056.65	769.68	1636.35	1123.34	1546.40	1125.52	0	1	1	2	-1	-1	8.88	-3.67	682.23	61.93	-2.19	672.16	0.10	-0.01	-1.00	0.22	-0.02	-0.98	0	 -1	
180191742211	SMP	1	1299.49	776.75	1045.08	770.56	27.35	27.35	5.57	28.13	28.13	5.72	1298.29	776.45	1305.50	776.56	1048.64	770.04	1055.90	770.06	1635.24	1122.20	1561.06	1127.79	0	1	1	2	-1	-1	9.00	-3.68	682.22	62.24	-2.26	674.10	0.09	-0.01	-1.00	0.23	-0.02	-0.97	0	 -1	
180191775537	SMP	1	1298.89	776.87	1044.74	770.82	27.41	27.41	5.57	28.43	28.43	5.73	1297.74	776.53	1305.01	776.59	1048.06	770.20	1055.56	770.35	1642.46	1122.04	1558.46	1129.95	0	1	1	2	-1	-1	9.11	-3.69	682.03	62.19	-2.30	672.42	0.10	-0.01	-1.00	0.22	-0.02	-0.98	0	 -1	
180191808905	SMP	1	1298.40	776.91	1043.88	770.97	27.28	27.28	5.57	28.23	28.23	5.73	1297.14	776.53	1304.43	776.63	1047.49	770.34	1054.73	770.49	1641.77	1122.68	1567.61	1131.97	0	1	1	2	-1	-1	9.23	-3.69	681.69	62.53	-2.34	674.55	0.09	-0.01	-1.00	0.23	-0.02	-0.97	0	 -1	
180191842214	SMP	1	1297.98	776.76	1043.68	770.84	27.47	27.47	5.58	28.36	28.36	5.73	1296.75	776.46	1304.01	776.53	1047.08	770.35	1054.59	770.44	1644.16	1121.26	1567.89	1131.79	0	1	1	2	-1	-1	9.32	-3.67	681.53	62.38	-2.32	672.30	0.09	-0.01	-1.00	0.22	-0.02	-0.97	0	 -1	
180191875541	SMP	1	1297.73	776.66	1043.11	770.95	27.36	27.36	5.58	28.27	28.27	5.73	1296.46	776.33	1303.68	776.41	1046.72	770.34	1053.88	770.39	1644.62	1121.42	1571.64	1134.08	0	1	1	2	-1	-1	9.39	-3.65	681.50	62.78	-2.33	675.37	0.09	-0.01	-1.00	0.23	-0.02	-0.97	0	 -1	
180191908878	SMP	1	1297.44	776.65	1042.78	771.00	27.31	27.31	5.58	28.28	28.28	5.73	1296.10	776.37	1303.34	776.45	1046.21	770.49	1053.69	770.53	1641.20	1120.85	1571.39	1134.02	0	1	1	2	-1	-1	9.46	-3.65	681.42	62.61	-2.35	672.71	0.09	-0.01	-1.00	0.22	-0.02	-0.97	0	 -1	
180191942348	SMP	1	1296.98	776.89	1042.40	771.22	27.44	27.44	5.59	28.19	28.19	5.73	1295.73	776.57	1302.99	776.65	1045.92	770.80	1053.31	770.73	1642.25	1119.64	1572.18	1134.74	0	1	1	2	-1	-1	9.53	-3.70	681.29	62.72	-2.40	673.13	0.09	-0.01	-1.00	0.23	-0.02	-0.97	0	 -1	
180191975532	SMP	1	1296.56	777.11	1041.86	771.69	27.35	27.35	5.59	28.13	28.13	5.73	1295.33	776.74	1302.55	776.76	1045.41	771.10	1052.76	771.21	1642.90	1121.44	1574.21	1135.73	0	1	1	2	-1	-1	9.62	-3.73	681.25	62.88	-2.49	673.66	0.09	-0.01	-1.00	0.23	-0.02	-0.97	0	 -1	
