## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order2\speed-acc-child-gaze-25-[fcd7e9ef-ab30-4487-89a2-d36f006fc981]\speed-acc-child-gaze-25-eye_data.idf
## Date:	21.07.2017 13:46:52
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10925                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-25                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
190310555463	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
190310584001	SMP	1	1337.86	794.53	1102.65	767.13	25.03	25.03	5.16	25.78	25.78	5.21	1331.76	804.41	1338.85	804.52	1101.57	777.48	1108.78	777.27	0.00	0.00	975.86	-58.22	0	1	1	2	-1	-1	1.78	-9.79	686.61	51.14	-3.84	676.80	-0.11	0.45	-0.89	0.04	0.45	-0.89	0	 -1	
190310617322	SMP	1	1337.40	794.12	1102.44	766.79	25.42	25.42	5.18	25.61	25.61	5.21	1331.39	803.98	1338.45	804.11	1101.26	777.22	1108.63	777.02	0.00	0.00	974.74	-56.84	0	1	1	2	-1	-1	1.87	-9.70	686.91	51.14	-3.78	676.18	-0.11	0.45	-0.89	0.04	0.45	-0.89	0	 -1	
190310650649	SMP	1	1337.25	793.66	1102.03	766.09	25.15	25.15	5.18	25.51	25.51	5.20	1331.14	803.51	1338.22	803.61	1100.96	776.63	1108.40	776.41	0.00	0.00	976.64	-57.58	0	1	1	2	-1	-1	1.92	-9.60	687.18	51.17	-3.65	675.72	-0.12	0.45	-0.89	0.05	0.46	-0.89	0	 -1	
190310683999	SMP	1	1336.86	792.78	1102.19	765.69	25.13	25.13	5.18	25.71	25.71	5.21	1331.08	802.82	1338.14	802.94	1100.94	776.08	1108.35	775.84	0.00	0.00	975.24	-54.75	0	1	1	2	-1	-1	1.94	-9.46	687.50	51.15	-3.53	675.41	-0.10	0.46	-0.88	0.04	0.45	-0.89	0	 -1	
190310717443	SMP	1	1336.17	791.91	1102.41	764.79	23.99	23.99	5.14	25.38	25.38	5.20	1331.14	802.20	1338.20	802.23	1101.27	775.33	1108.54	775.11	0.00	0.00	974.70	-55.88	0	1	1	2	-1	-1	1.93	-9.32	687.77	51.14	-3.37	676.02	-0.07	0.47	-0.88	0.04	0.46	-0.89	0	 -1	
190310750644	SMP	1	1336.34	791.35	1102.58	764.34	23.31	23.31	5.08	25.37	25.37	5.19	1331.38	801.78	1338.47	801.84	1101.60	774.71	1108.83	774.51	0.00	0.00	975.33	-54.65	0	1	1	2	-1	-1	1.87	-9.23	687.84	51.11	-3.24	676.56	-0.06	0.47	-0.88	0.05	0.45	-0.89	0	 -1	
190310783978	SMP	1	1337.74	791.92	1103.04	764.21	24.98	24.98	5.09	25.48	25.48	5.19	1331.80	801.74	1338.92	801.85	1101.93	774.55	1109.39	774.31	0.00	0.00	975.24	-52.17	0	1	1	2	-1	-1	1.78	-9.23	687.80	50.94	-3.20	675.47	-0.11	0.45	-0.89	0.05	0.45	-0.89	0	 -1	
190310817398	SMP	1	1338.46	791.87	1103.50	763.48	25.14	25.14	5.11	25.34	25.34	5.18	1332.20	801.67	1339.31	801.78	1102.52	774.15	1109.69	773.88	0.00	0.00	975.09	-58.01	0	1	1	2	-1	-1	1.69	-9.21	687.85	50.96	-3.12	677.01	-0.12	0.45	-0.89	0.05	0.46	-0.89	0	 -1	
190310850650	SMP	1	1338.54	791.80	1104.03	763.31	24.83	24.83	5.11	25.58	25.58	5.18	1332.61	801.49	1339.73	801.61	1102.97	773.72	1110.36	773.47	961.04	-92.55	975.19	-52.93	0	1	1	2	-1	-1	1.60	-9.17	687.87	50.75	-3.02	675.89	-0.11	0.44	-0.89	0.05	0.45	-0.89	0	 -1	
