## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order2\speed-acc-child-gaze-26-[94cb5949-4ea9-4da8-959c-79ab231d5dd3]\speed-acc-child-gaze-26-eye_data.idf
## Date:	26.07.2017 09:27:12
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10960                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-26                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
82802477952	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
82802487752	SMP	1	1474.35	877.45	1231.36	901.83	31.38	31.38	6.61	30.87	30.87	6.58	1475.65	877.36	1482.52	877.34	1235.62	901.64	1242.56	901.64	1958.87	1115.88	1947.64	1087.37	0	1	1	2	-1	-1	-30.13	-26.20	700.95	23.36	-31.81	705.73	0.25	0.03	-0.97	0.32	0.03	-0.95	0	 -1	
82802521096	SMP	1	1473.82	877.44	1230.98	901.87	31.41	31.41	6.61	30.90	30.90	6.58	1475.33	877.34	1482.03	877.35	1235.24	901.87	1242.07	901.87	1969.47	1116.40	1948.91	1084.88	0	1	1	2	-1	-1	-30.11	-26.25	702.46	23.47	-31.87	705.95	0.26	0.03	-0.96	0.32	0.04	-0.95	0	 -1	
82802554350	SMP	1	1473.41	877.49	1230.46	902.10	31.38	31.38	6.61	30.93	30.93	6.57	1474.70	877.34	1481.62	877.29	1234.80	902.22	1241.60	902.31	1968.05	1119.33	1952.69	1080.48	0	1	1	2	-1	-1	-29.92	-26.18	700.69	23.56	-31.95	705.66	0.26	0.03	-0.97	0.32	0.05	-0.95	0	 -1	
82802587696	SMP	1	1472.96	877.29	1230.11	902.33	31.46	31.46	6.61	31.05	31.05	6.57	1474.39	877.21	1481.14	877.19	1234.38	902.45	1241.15	902.34	1974.13	1120.20	1952.91	1082.54	0	1	1	2	-1	-1	-29.88	-26.20	701.89	23.65	-31.97	705.54	0.26	0.03	-0.97	0.32	0.05	-0.95	0	 -1	
82802621021	SMP	1	1472.40	877.13	1229.61	902.46	31.47	31.47	6.61	30.93	30.93	6.57	1473.67	877.08	1480.61	877.15	1233.85	902.49	1240.69	902.51	1973.69	1120.64	1954.25	1085.04	0	1	1	2	-1	-1	-29.67	-26.11	700.14	23.71	-31.93	704.05	0.25	0.04	-0.97	0.32	0.04	-0.95	0	 -1	
82802654388	SMP	1	1471.79	877.20	1229.22	902.68	31.46	31.46	6.62	31.21	31.21	6.57	1473.33	877.06	1479.95	877.10	1233.39	902.59	1240.16	902.66	1981.33	1122.50	1952.23	1089.78	0	1	1	2	-1	-1	-29.68	-26.21	702.95	23.83	-31.96	704.21	0.26	0.03	-0.97	0.31	0.04	-0.95	0	 -1	
82802687789	SMP	1	1471.23	877.19	1228.55	902.91	31.36	31.36	6.61	30.95	30.95	6.57	1472.56	877.09	1479.42	877.11	1232.79	902.80	1239.61	902.73	1981.13	1122.37	1952.58	1095.21	0	1	1	2	-1	-1	-29.45	-26.15	701.04	23.93	-31.96	703.36	0.26	0.03	-0.97	0.32	0.04	-0.95	0	 -1	
82802721017	SMP	1	1470.55	877.11	1227.95	903.06	31.43	31.43	6.62	30.98	30.98	6.56	1471.94	877.01	1478.80	877.10	1232.26	903.21	1239.02	903.15	1984.58	1120.99	1954.09	1088.53	0	1	1	2	-1	-1	-29.31	-26.13	700.99	24.06	-32.06	703.52	0.26	0.03	-0.97	0.32	0.05	-0.95	0	 -1	
82802754313	SMP	1	1470.10	877.24	1227.46	903.44	31.49	31.49	6.62	30.99	30.99	6.56	1471.49	877.06	1478.28	877.10	1231.58	903.52	1238.58	903.49	1984.53	1122.15	1950.43	1092.01	0	1	1	2	-1	-1	-29.24	-26.17	701.84	24.11	-32.03	701.30	0.26	0.03	-0.97	0.31	0.05	-0.95	0	 -1	
