## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order2\speed-acc-child-gaze-28-[8385de95-4e8b-477b-9fca-82a577822e80]\speed-acc-child-gaze-28-eye_data.idf
## Date:	26.07.2017 10:56:09
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10937                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-28                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
88139459419	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
88139464273	SMP	1	1441.14	939.67	1215.01	988.59	28.90	28.90	6.07	29.38	29.38	5.89	1430.34	943.40	1437.17	943.54	1209.19	991.96	1216.70	991.76	291.81	501.70	337.38	567.20	0	1	1	2	-1	-1	-20.04	-40.85	700.25	27.64	-49.21	667.77	-0.31	0.23	-0.92	-0.13	0.21	-0.97	0	 -1	
88139497534	SMP	1	1440.78	936.38	1215.24	984.16	28.58	28.58	6.06	29.48	29.48	5.90	1431.03	940.83	1437.89	940.98	1210.32	988.84	1217.80	988.71	431.64	447.80	453.66	417.94	0	1	1	2	-1	-1	-20.20	-40.29	700.32	27.40	-48.55	667.69	-0.26	0.26	-0.93	-0.09	0.27	-0.96	0	 -1	
88139530848	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
88139564135	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
88139597473	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
88139630798	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
88139664186	SMP	1	1440.17	927.31	0.00	0.00	24.92	24.92	5.91	0.00	0.00	0.00	1432.21	932.99	1439.20	933.26	0.00	0.00	0.00	0.00	707.35	242.33	0.00	0.00	0	1	0	1	-1	-1	-20.44	-38.50	699.22	0.00	0.00	0.00	-0.18	0.31	-0.93	0.00	0.00	0.00	0	 -1	
88139697455	SMP	1	1437.36	925.54	1213.05	972.99	28.74	28.74	5.93	29.32	29.32	5.90	1432.01	933.13	1438.93	933.23	1212.08	979.56	1219.24	979.55	1066.94	-0.97	977.53	143.79	0	1	1	2	-1	-1	-20.41	-38.54	699.77	27.17	-46.77	670.24	-0.06	0.40	-0.92	0.08	0.35	-0.93	0	 -1	
88139730788	SMP	1	1436.36	927.01	1211.46	973.27	29.03	29.03	5.96	29.55	29.55	5.92	1430.98	934.10	1438.10	934.24	1210.96	980.21	1217.99	980.12	1072.97	55.32	1014.69	102.10	0	1	1	2	-1	-1	-20.14	-38.65	697.78	27.62	-47.24	675.09	-0.06	0.37	-0.93	0.09	0.37	-0.93	0	 -1	
