## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order3\speed-acc-child-gaze-30-[0ebfdd2d-5d7b-43de-8cbf-5ddafc364038]\speed-acc-child-gaze-30-eye_data.idf
## Date:	26.07.2017 13:47:19
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11033                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-30                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
98493345540	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
98493349112	SMP	1	1520.87	868.33	1277.73	884.58	38.18	38.18	6.81	37.84	37.84	6.81	1522.26	869.72	1531.86	869.71	1283.81	884.90	1293.08	884.91	1974.30	1000.72	1934.71	1010.22	0	1	1	2	-1	-1	-34.43	-20.68	591.59	10.47	-23.87	600.07	0.29	0.09	-0.95	0.40	0.05	-0.92	0	 -1	
98493382390	SMP	1	1520.66	868.32	1277.64	884.92	38.28	38.28	6.81	37.98	37.98	6.82	1522.14	869.78	1531.75	869.77	1283.72	885.00	1292.98	885.10	1979.33	1001.09	1933.42	1019.64	0	1	1	2	-1	-1	-34.39	-20.68	591.41	10.49	-23.89	600.13	0.29	0.09	-0.95	0.40	0.04	-0.92	0	 -1	
98493415720	SMP	1	1521.01	868.12	1277.91	884.64	38.43	38.43	6.81	37.93	37.93	6.82	1522.26	869.70	1531.83	869.68	1283.80	884.91	1293.06	884.84	1973.97	999.43	1928.84	1013.73	0	1	1	2	-1	-1	-34.41	-20.66	591.29	10.48	-23.87	600.21	0.28	0.09	-0.95	0.39	0.05	-0.92	0	 -1	
98493449067	SMP	1	1528.50	868.03	1284.50	884.40	38.16	38.16	6.80	38.43	38.43	6.84	1525.62	869.50	1535.31	869.59	1287.47	884.56	1296.32	884.45	1473.72	1000.79	1542.77	1035.78	0	1	1	2	-1	-1	-35.02	-20.62	590.89	9.86	-23.89	602.66	0.13	0.09	-0.99	0.27	0.04	-0.96	0	 -1	
98493482415	SMP	1	1538.79	867.55	1295.08	883.24	38.12	38.12	6.80	38.91	38.91	6.88	1531.22	868.91	1540.58	869.11	1293.18	884.03	1302.32	883.93	930.82	1003.77	1001.11	1016.33	0	1	1	2	-1	-1	-36.09	-20.55	591.67	8.73	-23.76	601.77	-0.05	0.09	-0.99	0.09	0.07	-0.99	0	 -1	
98493515731	SMP	1	1548.32	867.76	1305.06	882.76	37.71	37.71	6.79	39.10	39.10	6.91	1536.74	868.85	1545.70	869.01	1298.57	883.71	1307.92	883.76	458.62	1009.60	488.77	1017.31	0	1	1	2	-1	-1	-37.39	-20.70	596.49	7.67	-23.68	600.97	-0.21	0.08	-0.97	-0.08	0.08	-0.99	0	 -1	
98493549057	SMP	1	1552.27	867.66	1309.30	882.31	37.86	37.86	6.80	39.01	39.01	6.93	1539.71	868.79	1548.67	868.95	1301.50	883.50	1310.75	883.53	342.74	1012.24	328.94	1013.73	0	1	1	2	-1	-1	-38.15	-20.80	599.59	7.13	-23.65	601.34	-0.25	0.08	-0.96	-0.13	0.09	-0.99	0	 -1	
98493582387	SMP	1	1554.61	867.90	1311.37	881.93	37.59	37.59	6.79	38.90	38.90	6.95	1542.08	868.90	1551.14	869.10	1303.60	883.28	1312.97	883.22	347.17	1019.50	336.12	1011.95	0	1	1	2	-1	-1	-38.59	-20.81	599.36	6.71	-23.57	600.66	-0.25	0.08	-0.97	-0.13	0.09	-0.99	0	 -1	
98493615722	SMP	1	1557.26	867.95	1314.06	881.86	37.57	37.57	6.79	38.73	38.73	6.95	1544.72	869.05	1553.73	869.33	1306.09	882.88	1315.49	882.89	343.78	1019.29	329.23	1017.11	0	1	1	2	-1	-1	-39.27	-20.95	602.13	6.22	-23.48	600.19	-0.25	0.08	-0.96	-0.14	0.08	-0.99	0	 -1	
