## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order4\speed-acc-child-gaze-32-[03f24ef6-b326-450a-b7ab-96baa8459e58]\speed-acc-child-gaze-32-eye_data.idf
## Date:	26.07.2017 15:31:02
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11076                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-32                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
104609715772	SMP	1	1411.49	1008.83	1182.35	1042.33	19.15	19.15	3.69	18.61	18.61	3.70	1407.39	1011.57	1415.37	1011.69	1180.67	1045.49	1188.05	1045.40	1191.57	829.81	1021.80	796.07	0	1	1	2	-1	-1	-13.92	-51.74	647.03	33.65	-60.48	666.97	0.02	0.20	-0.98	0.04	0.22	-0.97	0	 -1	
104632637078	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
104632646830	SMP	1	1604.53	1039.25	1359.19	1045.81	21.96	21.96	4.47	22.45	22.45	4.60	1600.84	1048.31	1608.29	1048.63	1357.52	1055.03	1364.68	1055.17	1029.23	-75.30	1038.64	-84.04	0	1	1	2	-1	-1	-55.66	-61.62	672.43	-3.80	-63.84	681.01	0.07	0.48	-0.87	0.09	0.49	-0.87	0	 -1	
104632680079	SMP	1	1604.44	1038.72	1359.12	1045.62	21.95	21.95	4.47	22.28	22.28	4.60	1600.81	1047.82	1608.19	1048.08	1357.35	1054.84	1364.48	1054.93	1032.80	-75.81	1031.90	-83.81	0	1	1	2	-1	-1	-55.65	-61.51	672.46	-3.76	-63.82	681.28	0.07	0.48	-0.87	0.08	0.49	-0.87	0	 -1	
104632713415	SMP	1	1604.54	1038.15	1359.13	1045.06	21.97	21.97	4.47	22.13	22.13	4.59	1600.83	1047.18	1608.31	1047.45	1357.31	1054.45	1364.51	1054.60	1033.15	-75.51	1033.02	-86.18	0	1	1	2	-1	-1	-55.60	-61.31	671.74	-3.76	-63.72	681.10	0.07	0.48	-0.88	0.08	0.50	-0.86	0	 -1	
104632746759	SMP	1	1604.41	1038.05	1358.92	1045.52	21.94	21.94	4.47	22.31	22.31	4.58	1600.74	1047.02	1608.19	1047.36	1357.17	1054.77	1364.40	1054.85	1035.18	-74.82	1038.43	-85.14	0	1	1	2	-1	-1	-55.55	-61.26	671.39	-3.73	-63.78	681.00	0.07	0.48	-0.88	0.09	0.49	-0.87	0	 -1	
104632780078	SMP	1	1604.17	1038.22	1358.58	1045.96	21.89	21.89	4.46	22.30	22.30	4.58	1600.64	1047.21	1607.95	1047.54	1356.81	1055.06	1364.12	1055.21	1038.59	-73.41	1040.31	-83.85	0	1	1	2	-1	-1	-55.58	-61.36	672.16	-3.66	-63.79	680.36	0.08	0.48	-0.88	0.09	0.48	-0.87	0	 -1	
104632813407	SMP	1	1604.01	1038.44	1358.27	1045.98	21.89	21.89	4.46	22.37	22.37	4.58	1600.10	1047.55	1607.67	1047.70	1356.53	1055.12	1363.75	1055.37	1030.67	-71.75	1036.90	-83.20	0	1	1	2	-1	-1	-55.35	-61.27	670.50	-3.59	-63.82	680.46	0.06	0.48	-0.88	0.09	0.49	-0.87	0	 -1	
104632846746	SMP	1	1603.67	1038.58	1357.85	1046.05	21.82	21.82	4.45	22.15	22.15	4.57	1599.94	1047.72	1607.45	1047.94	1356.16	1055.28	1363.33	1055.46	1030.19	-71.10	1034.98	-82.83	0	1	1	2	-1	-1	-55.28	-61.27	670.10	-3.51	-63.87	680.69	0.07	0.48	-0.87	0.09	0.49	-0.87	0	 -1	
104632880071	SMP	1	1603.50	1038.86	1357.63	1046.41	21.82	21.82	4.44	22.41	22.41	4.58	1599.82	1047.88	1607.33	1048.27	1355.90	1055.67	1363.16	1055.78	1028.80	-70.40	1032.88	-82.05	0	1	1	2	-1	-1	-55.22	-61.28	669.64	-3.46	-63.91	680.32	0.07	0.48	-0.88	0.09	0.49	-0.87	0	 -1	
104632913384	SMP	1	1603.55	1039.34	1357.57	1046.77	22.08	22.08	4.45	22.37	22.37	4.58	1599.80	1048.30	1607.26	1048.67	1355.73	1056.00	1363.07	1056.16	1024.97	-68.96	1029.63	-80.16	0	1	1	2	-1	-1	-55.21	-61.37	669.69	-3.43	-63.93	679.73	0.07	0.47	-0.88	0.08	0.49	-0.87	0	 -1	
104632946709	SMP	1	1603.42	1039.55	1357.56	1047.23	21.77	21.77	4.44	22.54	22.54	4.58	1599.81	1048.76	1607.23	1048.95	1355.80	1056.60	1363.06	1056.65	1023.97	-69.06	1027.55	-79.88	0	1	1	2	-1	-1	-55.20	-61.44	669.58	-3.43	-64.04	679.64	0.07	0.48	-0.87	0.09	0.49	-0.87	0	 -1	
104632980100	SMP	1	1603.58	1039.88	1357.65	1047.54	21.88	21.88	4.44	22.41	22.41	4.58	1599.83	1048.87	1607.38	1049.25	1355.76	1056.93	1363.14	1057.01	1023.65	-67.28	1026.03	-80.42	0	1	1	2	-1	-1	-55.14	-61.40	668.63	-3.43	-64.04	678.85	0.07	0.48	-0.88	0.08	0.49	-0.87	0	 -1	
104633013460	SMP	1	1603.89	1039.82	1357.79	1047.78	21.94	21.94	4.43	22.31	22.31	4.58	1600.00	1048.92	1607.66	1049.28	1355.99	1057.04	1363.35	1057.12	1022.04	-66.45	1025.89	-79.03	0	1	1	2	-1	-1	-55.09	-61.30	667.50	-3.48	-64.03	678.43	0.07	0.48	-0.88	0.09	0.49	-0.87	0	 -1	
104633046777	SMP	1	1604.23	1039.80	1358.26	1047.89	21.92	21.92	4.43	22.46	22.46	4.58	1600.61	1048.94	1607.99	1049.24	1356.50	1057.10	1363.66	1057.31	1022.43	-66.13	1025.98	-78.97	0	1	1	2	-1	-1	-55.29	-61.40	668.60	-3.57	-64.12	679.15	0.07	0.48	-0.87	0.08	0.49	-0.87	0	 -1	
104633080039	SMP	1	1604.62	1040.25	1358.50	1048.31	21.93	21.93	4.43	22.48	22.48	4.58	1600.85	1049.41	1608.34	1049.68	1356.69	1057.63	1363.93	1057.68	1021.34	-66.14	1026.02	-77.50	0	1	1	2	-1	-1	-55.29	-61.44	667.92	-3.62	-64.19	678.83	0.07	0.48	-0.87	0.08	0.49	-0.87	0	 -1	
104633113440	SMP	1	1604.84	1040.73	1358.66	1048.60	21.89	21.89	4.43	22.45	22.45	4.58	1600.96	1049.82	1608.64	1050.16	1356.78	1057.94	1364.18	1058.01	1020.02	-65.30	1025.29	-77.52	0	1	1	2	-1	-1	-55.20	-61.38	666.30	-3.65	-64.15	677.73	0.07	0.48	-0.88	0.08	0.49	-0.87	0	 -1	
104633146708	SMP	1	1605.17	1041.09	1358.89	1048.80	21.98	21.98	4.43	22.34	22.34	4.58	1601.38	1050.05	1608.87	1050.48	1357.05	1058.06	1364.34	1058.14	1018.23	-63.32	1024.30	-77.83	0	1	1	2	-1	-1	-55.32	-61.49	666.85	-3.70	-64.20	678.00	0.07	0.47	-0.88	0.08	0.49	-0.87	0	 -1	
104633180104	SMP	1	1605.60	1041.01	1359.18	1048.58	22.01	22.01	4.43	22.19	22.19	4.57	1601.80	1050.04	1609.32	1050.49	1357.58	1057.91	1364.67	1057.97	1018.78	-62.88	1025.39	-78.47	0	1	1	2	-1	-1	-55.38	-61.46	666.52	-3.79	-64.28	679.16	0.07	0.48	-0.88	0.09	0.49	-0.87	0	 -1	
