## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order1\speed-acc-child-gaze-4-[7e40ecca-90df-43c4-bebf-9f55fbe2a26d]\speed-acc-child-gaze-4-eye_data.idf
## Date:	12.07.2017 14:19:04
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10793                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-4                                                                                                                                                                                                                                          
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
21706726413	SMP	1	1649.60	911.28	1410.11	921.85	23.17	23.17	4.51	23.37	23.37	4.49	1642.92	915.23	1650.76	915.21	1406.45	925.49	1414.11	925.58	678.85	592.74	860.35	675.56	0	1	1	2	-1	-1	-63.07	-32.39	655.82	-13.85	-34.44	654.12	-0.03	0.22	-0.98	0.03	0.21	-0.98	0	 -1	
21736341314	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
21736356627	SMP	1	1445.45	903.41	1214.13	917.57	25.05	25.05	4.89	23.21	23.21	4.17	1453.82	908.25	1462.21	908.87	1226.69	922.23	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-22.88	-29.80	630.31	20.41	-29.74	576.23	0.53	0.25	-0.81	0.62	0.21	-0.76	0	 -1	
21736389939	SMP	1	1445.41	903.64	1214.08	918.05	24.95	24.95	4.86	23.01	23.01	4.15	1453.84	908.72	1462.10	909.12	1226.46	922.64	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-22.98	-30.00	633.08	20.87	-30.31	585.85	0.54	0.25	-0.81	0.61	0.21	-0.77	0	 -1	
21736423239	SMP	1	1445.30	903.55	1214.00	918.21	24.94	24.94	4.87	23.04	23.04	4.11	1453.76	908.42	1461.57	908.91	1226.59	922.94	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-23.76	-31.06	656.57	20.01	-29.35	566.16	0.55	0.25	-0.80	0.62	0.21	-0.76	0	 -1	
21736456567	SMP	1	1445.30	903.43	1213.87	918.41	25.16	25.16	4.91	23.08	23.08	4.05	1453.76	908.30	0.00	0.00	1226.51	923.11	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-24.35	-31.80	673.77	19.37	-28.48	548.84	0.55	0.25	-0.80	0.61	0.20	-0.77	0	 -1	
21736489902	SMP	1	1445.40	903.90	1213.81	919.00	25.19	25.19	4.95	23.11	23.11	4.04	1453.83	908.85	0.00	0.00	1226.41	923.58	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-24.33	-31.87	672.93	20.24	-29.70	570.76	0.55	0.25	-0.80	0.62	0.20	-0.76	0	 -1	
21736523235	SMP	1	1445.76	904.96	1214.03	920.30	25.32	25.32	4.97	23.09	23.09	4.01	1454.15	909.94	0.00	0.00	1226.64	925.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-24.27	-31.92	669.09	19.94	-29.60	563.95	0.55	0.25	-0.80	0.61	0.21	-0.76	0	 -1	
21736556561	SMP	1	1446.53	906.46	1214.55	921.95	25.22	25.22	4.99	23.20	23.20	4.00	1454.99	911.40	0.00	0.00	1227.09	926.51	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-24.45	-32.24	669.25	19.80	-29.79	562.47	0.55	0.25	-0.80	0.61	0.20	-0.77	0	 -1	
21736589967	SMP	1	1448.12	907.72	1215.50	923.38	25.40	25.40	4.98	22.81	22.81	3.96	1456.56	912.61	0.00	0.00	1228.31	927.99	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-24.16	-31.61	651.01	19.25	-29.60	553.90	0.54	0.24	-0.80	0.62	0.20	-0.76	0	 -1	
