## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order3\speed-acc-child-gaze-6-[3d424336-dc0b-45e5-90e8-a702e9aafbf3]\speed-acc-child-gaze-6-eye_data.idf
## Date:	14.07.2017 09:43:04
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10890                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-6                                                                                                                                                                                                                                          
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
177926338119	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
177926340345	SMP	1	1399.11	894.33	1164.01	916.24	29.76	29.76	5.90	30.76	30.76	6.06	1389.11	893.93	1396.80	894.01	1157.41	915.68	1165.29	915.61	380.54	1137.04	371.18	1133.48	0	1	1	2	-1	-1	-10.34	-28.14	659.75	37.76	-32.38	653.83	-0.25	0.03	-0.97	-0.17	0.02	-0.99	0	 -1	
177926373791	SMP	1	1398.71	894.19	1163.76	916.05	29.74	29.74	5.90	30.69	30.69	6.06	1388.74	893.87	1396.41	893.94	1157.06	915.65	1164.80	915.53	379.70	1136.42	366.76	1130.57	0	1	1	2	-1	-1	-10.27	-28.13	659.91	37.90	-32.41	654.68	-0.25	0.03	-0.97	-0.17	0.03	-0.98	0	 -1	
177926407007	SMP	1	1398.42	894.13	1163.29	916.08	29.80	29.80	5.90	30.76	30.76	6.06	1388.37	893.72	1396.07	893.75	1156.71	915.63	1164.47	915.51	378.62	1137.59	367.84	1131.36	0	1	1	2	-1	-1	-10.19	-28.09	659.92	37.98	-32.41	654.90	-0.25	0.02	-0.97	-0.17	0.03	-0.99	0	 -1	
177926440295	SMP	1	1397.88	893.87	1162.72	915.91	29.94	29.94	5.90	30.83	30.83	6.06	1387.96	893.56	1395.64	893.56	1156.13	915.46	1163.95	915.42	379.72	1135.84	368.40	1130.32	0	1	1	2	-1	-1	-10.11	-28.07	660.14	38.08	-32.38	654.71	-0.24	0.03	-0.97	-0.17	0.03	-0.99	0	 -1	
177926473629	SMP	1	1391.84	891.64	1156.82	913.74	29.81	29.81	5.90	30.83	30.83	6.06	1384.29	892.12	1392.15	892.11	1153.09	914.08	1160.76	913.91	720.57	1075.46	753.98	1074.42	0	1	1	2	-1	-1	-9.35	-27.73	659.41	38.78	-32.12	655.66	-0.14	0.06	-0.99	-0.05	0.06	-1.00	0	 -1	
177926506957	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
177926540284	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
177926573620	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
177926606958	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
177926640307	SMP	1	0.00	0.00	1143.41	907.28	0.00	0.00	0.00	29.56	29.56	6.02	0.00	0.00	0.00	0.00	1144.53	909.95	1152.07	910.09	0.00	0.00	1374.72	691.55	0	0	1	1	-1	-1	0.00	0.00	0.00	40.68	-31.37	657.26	0.00	0.00	0.00	0.15	0.16	-0.98	0	 -1	
