## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order3\speed-acc-child-gaze-7-[840577dc-a348-40f9-a5e8-fc66457e685d]\speed-acc-child-gaze-7-eye_data.idf
## Date:	14.07.2017 10:53:31
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10897                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-7                                                                                                                                                                                                                                          
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
181835571436	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
181835600079	SMP	1	1339.80	925.45	1117.22	926.94	20.97	20.97	4.47	20.35	20.35	4.48	1338.72	924.74	1345.37	924.79	1119.91	926.57	1126.31	926.42	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	0.33	-37.29	711.54	50.75	-38.46	726.30	0.10	0.02	-0.99	0.21	0.03	-0.98	0	 -1	
181835633427	SMP	1	1339.78	925.76	1116.93	926.99	20.91	20.91	4.47	20.40	20.40	4.48	1338.64	924.97	1345.18	925.02	1119.83	926.68	1126.00	926.57	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	0.36	-37.37	712.12	50.91	-38.58	727.93	0.10	0.02	-1.00	0.22	0.03	-0.98	0	 -1	
181835666706	SMP	1	1339.29	925.86	1116.67	927.30	20.77	20.77	4.46	20.53	20.53	4.48	1338.39	925.24	1345.00	925.13	1119.61	926.81	1125.86	926.63	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	0.41	-37.42	712.26	50.96	-38.61	728.06	0.11	0.02	-0.99	0.22	0.02	-0.98	0	 -1	
181835700032	SMP	1	1339.17	925.76	1116.47	927.28	20.76	20.76	4.46	20.44	20.44	4.48	1338.18	925.01	1344.87	925.05	1119.39	926.77	1125.80	926.63	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	0.45	-37.37	711.84	50.94	-38.56	727.21	0.11	0.02	-0.99	0.22	0.02	-0.97	0	 -1	
181835733366	SMP	1	1339.16	925.43	1116.47	927.06	20.60	20.60	4.45	20.41	20.41	4.48	1338.04	924.73	1344.69	924.72	1119.23	926.63	1125.75	926.54	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	0.48	-37.30	711.88	50.85	-38.45	725.67	0.10	0.02	-0.99	0.22	0.03	-0.98	0	 -1	
181835766727	SMP	1	1339.00	925.31	1116.24	927.05	20.76	20.76	4.45	20.42	20.42	4.47	1337.81	924.67	1344.46	924.71	1118.99	926.59	1125.39	926.43	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	0.53	-37.29	711.85	50.93	-38.44	725.83	0.10	0.02	-0.99	0.21	0.03	-0.98	0	 -1	
181835800051	SMP	1	1344.39	925.22	1121.18	927.16	20.67	20.67	4.44	20.75	20.75	4.48	1340.42	924.61	1347.05	924.65	1121.56	926.79	1128.21	926.58	1926.75	995.19	2089.19	1000.35	0	1	1	2	-1	-1	-0.05	-37.28	711.94	50.09	-38.32	722.68	-0.03	0.03	-1.00	0.11	0.03	-0.99	0	 -1	
181835833317	SMP	1	1353.09	925.60	1130.45	927.42	19.78	19.78	4.40	21.26	21.26	4.50	1344.79	924.68	1351.21	924.73	1126.41	927.05	1133.11	926.94	1260.66	1006.27	1317.23	1002.39	0	1	1	2	-1	-1	-1.02	-37.37	713.31	48.80	-38.25	720.02	-0.23	0.01	-0.97	-0.10	0.03	-0.99	0	 -1	
181835866690	SMP	1	1355.45	925.62	1132.85	927.32	19.60	19.60	4.37	21.14	21.14	4.52	1346.11	924.70	1352.48	924.74	1127.59	926.97	1134.30	926.82	1090.89	1008.36	1045.09	1005.85	0	1	1	2	-1	-1	-1.31	-37.46	714.98	48.37	-38.10	717.79	-0.28	0.01	-0.96	-0.15	0.03	-0.99	0	 -1	
