## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order4\speed-acc-child-gaze-9-[1a733f76-8fd0-4a5d-b994-759cf9ac9c14]\speed-acc-child-gaze-9-eye_data.idf
## Date:	14.07.2017 15:25:18
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10944                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-9                                                                                                                                                                                                                                          
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
198091874378	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0		
198116926128	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
198116938404	SMP	1	1519.84	763.77	1276.63	793.18	24.24	24.24	5.09	24.78	24.78	5.17	1511.13	763.17	1518.07	763.14	1270.58	792.47	1277.52	792.48	349.79	1152.27	350.73	1168.18	0	1	1	2	-1	-1	-37.80	-0.81	696.77	15.28	-7.26	693.74	-0.18	-0.03	-0.98	-0.14	-0.02	-0.99	0	 -1	
198116971723	SMP	1	1518.98	763.18	1275.82	792.98	24.29	24.29	5.09	24.87	24.87	5.18	1510.45	762.55	1517.43	762.55	1269.82	792.28	1276.75	792.30	353.87	1152.20	351.60	1169.73	0	1	1	2	-1	-1	-37.63	-0.67	696.33	15.45	-7.22	694.10	-0.18	-0.03	-0.98	-0.14	-0.02	-0.99	0	 -1	
198117005058	SMP	1	1518.34	762.65	1275.33	792.60	24.14	24.14	5.08	24.84	24.84	5.17	1509.83	761.99	1516.67	762.02	1269.29	791.88	1276.35	791.97	355.23	1153.27	353.36	1169.55	0	1	1	2	-1	-1	-37.50	-0.55	696.72	15.55	-7.13	693.75	-0.18	-0.03	-0.98	-0.13	-0.02	-0.99	0	 -1	
198117038389	SMP	1	1518.06	762.07	1274.84	792.47	24.20	24.20	5.08	24.71	24.71	5.17	1509.37	761.52	1516.36	761.51	1268.83	791.68	1275.77	791.69	354.50	1152.38	0.00	0.00	0	1	1	2	-1	-1	-37.37	-0.44	695.96	15.67	-7.09	694.13	-0.18	-0.02	-0.98	-0.14	-0.03	-0.99	0	 -1	
198117071718	SMP	1	1517.50	761.87	1274.56	792.46	24.03	24.03	5.07	24.87	24.87	5.17	1508.98	761.33	1515.76	761.33	1268.59	791.60	1275.54	791.60	356.29	1152.07	0.00	0.00	0	1	1	2	-1	-1	-37.33	-0.41	697.12	15.73	-7.07	694.34	-0.18	-0.02	-0.98	-0.13	-0.03	-0.99	0	 -1	
198117105063	SMP	1	1517.31	761.90	1274.41	792.56	24.23	24.23	5.07	24.79	24.79	5.17	1508.83	761.38	1515.60	761.43	1268.36	791.81	1275.40	791.92	358.74	1151.54	353.56	1172.63	0	1	1	2	-1	-1	-37.33	-0.42	697.88	15.76	-7.12	693.99	-0.18	-0.02	-0.98	-0.14	-0.02	-0.99	0	 -1	
198117138384	SMP	1	1517.37	762.01	1274.44	792.76	24.26	24.26	5.07	24.88	24.88	5.17	1508.85	761.49	1515.61	761.50	1268.39	792.26	1275.42	792.28	360.06	1151.11	354.39	1167.91	0	1	1	2	-1	-1	-37.37	-0.44	698.60	15.75	-7.21	693.75	-0.18	-0.02	-0.98	-0.14	-0.01	-0.99	0	 -1	
198117171745	SMP	1	1517.67	762.00	1274.69	793.02	24.26	24.26	5.08	24.83	24.83	5.17	1509.10	761.45	1515.87	761.47	1268.62	792.43	1275.54	792.45	358.97	1151.59	352.79	1167.25	0	1	1	2	-1	-1	-37.45	-0.43	699.06	15.72	-7.25	694.02	-0.18	-0.02	-0.98	-0.14	-0.02	-0.99	0	 -1	
