## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order4\speed_acc_child_gaze_42-[79bf62bd-2d10-49c6-9632-854c7c247373]\speed_acc_child_gaze_42-eye_data.idf
## Date:	18.08.2017 15:52:28
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11071                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_gaze_42                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
21626758755	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
21626771773	SMP	1	1376.36	982.36	1150.43	988.82	24.15	24.15	4.81	23.62	23.62	4.77	1379.00	982.23	1386.57	982.23	1153.80	988.32	1161.23	988.23	1964.95	1121.02	1971.93	1159.33	0	1	1	2	-1	-1	-8.31	-47.13	667.29	39.72	-48.87	673.64	0.29	0.06	-0.96	0.25	0.05	-0.97	0	 -1	
21626804998	SMP	1	1375.52	982.85	1149.36	989.49	24.20	24.20	4.82	23.68	23.68	4.78	1378.17	982.73	1385.67	982.72	1152.91	989.03	1160.23	989.00	1962.84	1121.82	1973.92	1156.12	0	1	1	2	-1	-1	-8.13	-47.25	667.40	39.95	-49.06	674.03	0.29	0.06	-0.96	0.26	0.05	-0.96	0	 -1	
21626838325	SMP	1	1374.85	983.45	1148.59	990.19	24.54	24.54	4.84	23.79	23.79	4.79	1377.35	983.24	1384.91	983.17	1152.04	989.72	1159.42	989.63	1962.36	1123.11	1975.44	1154.64	0	1	1	2	-1	-1	-7.96	-47.33	667.09	40.12	-49.20	673.98	0.28	0.06	-0.96	0.26	0.05	-0.97	0	 -1	
21626871654	SMP	1	1373.87	983.93	1147.71	991.07	24.25	24.25	4.84	23.59	23.59	4.79	1376.55	983.77	1384.01	983.74	1151.14	990.46	1158.55	990.41	1965.97	1121.86	1976.68	1157.54	0	1	1	2	-1	-1	-7.78	-47.46	667.32	40.30	-49.35	673.80	0.29	0.06	-0.96	0.25	0.04	-0.97	0	 -1	
21626904992	SMP	1	1373.16	984.60	1146.73	991.81	24.23	24.23	4.85	23.41	23.41	4.78	1375.79	984.48	1383.27	984.41	1150.30	991.36	1157.65	991.23	1967.48	1120.54	1980.82	1157.77	0	1	1	2	-1	-1	-7.62	-47.61	667.44	40.49	-49.53	673.84	0.28	0.06	-0.96	0.26	0.05	-0.96	0	 -1	
21626938320	SMP	1	1372.27	985.08	1145.91	992.60	24.47	24.47	4.86	23.70	23.70	4.79	1375.06	984.91	1382.53	984.93	1149.43	992.05	1156.88	991.97	1973.53	1118.44	1983.96	1158.47	0	1	1	2	-1	-1	-7.47	-47.72	667.54	40.65	-49.66	673.53	0.29	0.06	-0.95	0.26	0.05	-0.96	0	 -1	
21626971652	SMP	1	1371.74	985.43	1145.37	993.02	24.40	24.40	4.86	23.71	23.71	4.79	1374.51	985.44	1381.97	985.34	1148.78	992.69	1156.22	992.58	1973.41	1114.62	1983.43	1154.19	0	1	1	2	-1	-1	-7.35	-47.83	667.69	40.77	-49.77	673.22	0.29	0.07	-0.95	0.25	0.05	-0.97	0	 -1	
21627005061	SMP	1	1371.21	986.00	1144.82	993.78	24.39	24.39	4.87	23.57	23.57	4.79	1374.05	985.76	1381.54	985.81	1148.29	993.33	1155.69	993.23	1979.59	1115.38	1983.77	1154.26	0	1	1	2	-1	-1	-7.26	-47.93	667.91	40.87	-49.91	673.16	0.29	0.06	-0.95	0.25	0.05	-0.97	0	 -1	
21627038333	SMP	1	1370.94	986.42	1144.21	994.57	24.74	24.74	4.89	23.72	23.72	4.79	1373.62	986.32	1381.06	986.25	1147.75	993.92	1155.15	993.87	1977.53	1112.76	1984.89	1157.18	0	1	1	2	-1	-1	-7.17	-48.06	668.30	40.98	-50.02	672.97	0.29	0.06	-0.96	0.26	0.04	-0.97	0	 -1	
