## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order1\speed_acc_child_gaze_46-[617853de-47b5-49f0-9360-407c282971fb]\speed_acc_child_gaze_46-eye_data.idf
## Date:	23.08.2017 12:03:45
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	2711                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_gaze_46                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
399996985	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
400014557	SMP	1	1435.88	912.86	1182.91	894.08	22.56	22.56	4.42	23.59	23.59	4.65	1431.61	917.33	1439.53	917.13	1182.19	898.46	1190.15	898.34	1069.09	664.22	1127.46	586.12	0	1	1	2	-1	-1	-19.02	-32.59	651.44	32.41	-28.63	649.84	0.01	0.23	-0.97	0.09	0.22	-0.97	0	 -1	
400047941	SMP	1	1436.12	912.37	1183.37	893.47	22.54	22.54	4.42	23.32	23.32	4.63	1431.83	916.61	1439.87	916.82	1182.72	897.89	1190.58	897.68	1071.65	662.18	1127.28	585.72	0	1	1	2	-1	-1	-19.04	-32.42	650.24	32.34	-28.52	650.27	0.02	0.23	-0.97	0.09	0.22	-0.97	0	 -1	
400081173	SMP	1	1436.72	912.01	1184.02	892.97	22.60	22.60	4.42	23.22	23.22	4.61	1432.53	916.36	1440.31	916.29	1183.28	897.32	1191.17	897.28	1072.70	660.68	1125.82	585.13	0	1	1	2	-1	-1	-19.19	-32.40	651.38	32.21	-28.41	650.11	0.01	0.23	-0.97	0.09	0.22	-0.97	0	 -1	
400114500	SMP	1	1437.08	911.31	1184.47	892.22	22.62	22.62	4.42	23.48	23.48	4.61	1432.80	915.49	1440.91	915.65	1183.95	896.56	1191.71	896.35	1075.18	662.49	1127.38	586.09	0	1	1	2	-1	-1	-19.22	-32.14	649.35	32.13	-28.27	650.97	0.02	0.23	-0.97	0.10	0.22	-0.97	0	 -1	
400147900	SMP	1	1437.51	910.62	1185.08	891.56	22.68	22.68	4.42	23.29	23.29	4.60	1433.39	915.02	1441.28	915.06	1184.41	895.94	1192.23	895.50	1077.75	656.78	1126.52	587.95	0	1	1	2	-1	-1	-19.34	-32.07	650.17	32.05	-28.14	651.36	0.02	0.23	-0.97	0.09	0.22	-0.97	0	 -1	
400181318	SMP	1	1437.88	910.05	1185.54	891.09	22.58	22.58	4.42	23.27	23.27	4.59	1433.64	914.48	1441.64	914.73	1184.93	895.45	1192.77	895.25	1078.32	651.31	1127.04	587.53	0	1	1	2	-1	-1	-19.38	-31.94	649.37	31.96	-28.08	651.78	0.02	0.24	-0.97	0.09	0.22	-0.97	0	 -1	
400214483	SMP	1	1438.29	909.80	1186.08	890.76	22.67	22.67	4.42	23.02	23.02	4.58	1433.98	914.30	1441.97	914.42	1185.36	895.04	1193.16	894.96	1079.27	647.61	1125.62	589.25	0	1	1	2	-1	-1	-19.44	-31.88	649.18	31.90	-28.03	652.36	0.01	0.24	-0.97	0.09	0.22	-0.97	0	 -1	
400247802	SMP	1	1438.71	909.65	1186.45	890.48	22.62	22.62	4.42	23.11	23.11	4.57	1434.39	914.23	1442.18	914.22	1185.77	894.87	1193.45	894.60	1078.51	642.95	1123.55	588.79	0	1	1	2	-1	-1	-19.54	-31.91	650.40	31.89	-28.03	653.52	0.01	0.24	-0.97	0.09	0.22	-0.97	0	 -1	
400281148	SMP	1	1438.66	909.49	1186.76	890.34	22.45	22.45	4.41	23.15	23.15	4.56	1434.57	914.13	1442.45	914.06	1186.04	894.63	1194.02	894.40	1083.28	638.66	1124.60	588.90	0	1	1	2	-1	-1	-19.58	-31.87	650.14	31.75	-27.94	652.47	0.02	0.24	-0.97	0.09	0.22	-0.97	0	 -1	
