## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order1\speed_acc_child_gaze_47-[5c1dac5d-8dfa-4d5c-8953-2fe662fe374b]\speed_acc_child_gaze_47-eye_data.idf
## Date:	23.08.2017 15:53:48
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10882                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_gaze_47                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
1618954565	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
1618978719	SMP	1	1315.11	908.30	1094.26	928.19	26.39	26.39	5.44	27.71	27.71	5.65	1312.51	914.71	1319.53	914.71	1095.85	933.64	1103.02	933.26	1316.64	419.69	1333.27	451.97	0	1	1	2	-1	-1	6.02	-34.03	691.28	52.58	-37.48	679.47	0.03	0.33	-0.94	0.16	0.28	-0.95	0	 -1	
1619012046	SMP	1	1314.11	908.40	1092.80	928.69	26.34	26.34	5.44	27.91	27.91	5.66	1311.20	914.76	1318.25	914.73	1094.45	934.05	1101.74	933.82	1313.61	425.63	1333.27	451.09	0	1	1	2	-1	-1	6.30	-34.00	690.65	52.84	-37.57	679.17	0.02	0.33	-0.94	0.16	0.28	-0.95	0	 -1	
1619045437	SMP	1	1313.37	908.20	1092.20	928.65	26.52	26.52	5.45	27.95	27.95	5.67	1310.57	914.52	1317.56	914.53	1093.87	934.03	1101.08	933.82	1313.09	430.11	1332.78	450.50	0	1	1	2	-1	-1	6.45	-33.96	690.79	52.99	-37.58	679.30	0.02	0.33	-0.94	0.16	0.28	-0.95	0	 -1	
1619078716	SMP	1	1312.97	907.75	1091.78	928.48	26.36	26.36	5.45	28.05	28.05	5.68	1310.12	914.06	1317.22	914.08	1093.48	933.85	1100.77	933.46	1314.72	434.32	1333.92	451.85	0	1	1	2	-1	-1	6.52	-33.82	689.82	53.05	-37.51	679.12	0.02	0.33	-0.94	0.16	0.28	-0.95	0	 -1	
1619112224	SMP	1	1312.25	906.92	1091.13	927.34	27.23	27.23	5.49	28.26	28.26	5.70	1309.53	913.01	1316.56	912.99	1092.82	932.83	1100.07	932.47	1316.24	444.76	1333.53	450.55	0	1	1	2	-1	-1	6.66	-33.59	689.96	53.21	-37.30	679.24	0.03	0.32	-0.95	0.16	0.28	-0.94	0	 -1	
1619145438	SMP	1	1310.98	907.36	1088.82	929.49	25.68	25.68	5.46	25.69	25.69	5.62	1308.41	912.13	1315.42	912.18	1091.53	932.44	1098.69	932.37	1319.81	653.53	1408.93	752.81	0	1	1	2	-1	-1	6.91	-33.40	689.95	53.53	-37.27	679.72	0.03	0.26	-0.96	0.20	0.18	-0.96	0	 -1	
1619178691	SMP	1	1309.32	908.10	1087.05	931.63	24.63	24.63	5.39	23.27	23.27	5.46	1307.20	912.07	1314.35	912.19	1090.31	932.84	1097.58	932.56	1349.81	751.92	1498.36	1001.54	0	1	1	2	-1	-1	7.15	-33.35	689.03	53.77	-37.33	679.58	0.06	0.23	-0.97	0.23	0.10	-0.97	0	 -1	
1619212021	SMP	1	1309.06	907.90	1087.22	929.75	25.73	25.73	5.38	27.04	27.04	5.48	1306.49	912.45	1313.54	912.52	1089.66	933.31	1096.78	933.23	1327.30	683.61	1390.72	698.14	0	1	1	2	-1	-1	7.32	-33.45	689.42	53.98	-37.49	680.24	0.03	0.25	-0.97	0.19	0.21	-0.96	0	 -1	
1619245453	SMP	1	1307.69	906.89	1086.39	929.08	27.08	27.08	5.42	28.02	28.02	5.53	1305.52	912.52	1312.53	912.56	1088.65	933.56	1095.79	933.26	1355.81	504.95	1380.88	554.58	0	1	1	2	-1	-1	7.54	-33.48	689.81	54.23	-37.54	680.64	0.05	0.30	-0.95	0.18	0.24	-0.95	0	 -1	
