## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli4\speed_acc_child_noise_1-[ffa695ba-75be-4ef5-8038-c27a50600a97]\speed_acc_child_noise_1-eye_data.idf
## Date:	18.07.2017 09:17:33
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7625                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_1                                                                                                                                                                                                                                                             
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
559088491	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
559099395	SMP	1	1455.20	952.65	1272.59	938.16	17.20	17.20	4.88	21.15	21.15	5.32	1453.62	959.59	1458.30	959.57	1270.78	944.37	1275.85	944.30	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.93	-53.26	839.43	18.49	-48.70	830.84	0.07	0.43	-0.90	0.02	0.39	-0.92	0	 -1	
559132660	SMP	1	1454.59	952.89	1272.25	938.38	17.23	17.23	4.78	20.86	20.86	5.30	1453.29	959.93	1458.03	959.82	1270.57	944.66	1275.41	944.57	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.85	-53.34	839.45	18.61	-48.87	832.46	0.09	0.43	-0.90	0.02	0.39	-0.92	0	 -1	
559165982	SMP	1	1456.04	954.18	1271.69	938.76	19.85	19.85	4.83	20.99	20.99	5.29	1452.80	960.10	1457.54	960.16	1270.13	945.01	1275.12	944.97	963.63	-82.42	0.00	0.00	0	1	1	2	-1	-1	-29.74	-53.44	839.85	18.66	-48.83	830.10	-0.02	0.38	-0.92	0.03	0.39	-0.92	0	 -1	
559199302	SMP	1	1455.53	954.11	1270.98	938.72	19.71	19.71	4.85	21.37	21.37	5.30	1452.52	960.09	1457.32	960.13	1269.62	945.11	1274.43	944.99	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.66	-53.40	839.44	18.85	-48.94	831.65	0.00	0.38	-0.92	0.04	0.39	-0.92	0	 -1	
559232631	SMP	1	1453.60	952.88	1270.67	938.66	17.34	17.34	4.77	21.30	21.30	5.30	1451.79	959.89	1456.49	959.85	1269.37	945.04	1274.18	945.03	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.48	-53.40	840.30	18.92	-48.95	831.98	0.06	0.44	-0.90	0.04	0.40	-0.92	0	 -1	
559265967	SMP	1	1454.55	954.29	1270.41	938.80	19.41	19.41	4.79	20.97	20.97	5.29	1451.57	960.16	1456.41	960.24	1268.62	945.18	1273.49	945.07	981.56	-80.43	0.00	0.00	0	1	1	2	-1	-1	-29.39	-53.40	838.95	19.09	-48.93	831.24	0.00	0.38	-0.93	0.01	0.39	-0.92	0	 -1	
559299358	SMP	1	1454.51	954.33	1269.80	939.09	19.31	19.31	4.80	20.44	20.44	5.26	1451.23	960.24	1456.20	960.27	1268.55	945.24	1273.30	945.19	966.13	-80.88	0.00	0.00	0	1	1	2	-1	-1	-29.23	-53.26	836.50	19.16	-49.05	832.75	-0.01	0.38	-0.93	0.04	0.38	-0.92	0	 -1	
559332626	SMP	1	1454.09	954.55	1269.88	939.19	19.21	19.21	4.81	20.62	20.62	5.24	1450.94	960.34	1455.64	960.44	1268.37	945.50	1273.20	945.36	968.64	-82.17	0.00	0.00	0	1	1	2	-1	-1	-29.22	-53.48	839.40	19.19	-49.08	832.36	-0.01	0.38	-0.93	0.03	0.39	-0.92	0	 -1	
559365956	SMP	1	1452.82	954.33	1269.51	939.86	17.67	17.67	4.74	20.53	20.53	5.22	1450.71	960.82	1455.54	960.82	1268.17	946.08	1273.13	946.04	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.13	-53.49	837.88	19.19	-49.14	830.53	0.05	0.41	-0.91	0.04	0.39	-0.92	0	 -1	
559399284	SMP	1	1453.82	955.48	1269.70	940.10	18.74	18.74	4.74	20.16	20.16	5.18	1450.76	961.26	1455.48	961.30	1268.07	946.39	1273.13	946.35	974.90	-79.55	0.00	0.00	0	1	1	2	-1	-1	-29.17	-53.70	839.25	19.14	-49.06	827.88	-0.01	0.37	-0.93	0.03	0.39	-0.92	0	 -1	
559432617	SMP	1	1453.40	955.37	1269.83	940.98	17.91	17.91	4.70	20.38	20.38	5.16	1450.75	961.73	1455.57	961.66	1268.26	947.09	1273.20	947.10	0.00	0.00	981.76	-83.66	0	1	1	2	-1	-1	-29.15	-53.75	838.25	19.11	-49.28	828.38	0.02	0.40	-0.92	0.03	0.38	-0.92	0	 -1	
559466010	SMP	1	1453.29	955.51	1269.76	941.04	17.31	17.31	4.64	20.28	20.28	5.14	1451.00	962.10	1455.67	962.06	1268.43	947.34	1273.28	947.21	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.25	-53.95	839.76	19.11	-49.40	829.57	0.03	0.41	-0.91	0.04	0.39	-0.92	0	 -1	
559499344	SMP	1	1454.33	956.49	1270.06	941.28	18.71	18.71	4.65	20.17	20.17	5.12	1451.32	962.38	1456.21	962.57	1268.48	947.95	1273.28	947.90	979.24	-85.15	0.00	0.00	0	1	1	2	-1	-1	-29.27	-53.88	837.07	19.13	-49.63	830.63	0.00	0.38	-0.92	0.02	0.41	-0.91	0	 -1	
559532686	SMP	1	1454.14	956.85	1270.14	942.06	18.12	18.12	4.64	20.15	20.15	5.11	1451.56	963.00	1456.38	963.13	1268.58	948.23	1273.34	948.20	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.34	-54.08	837.69	19.14	-49.80	832.14	0.02	0.40	-0.92	0.02	0.39	-0.92	0	 -1	
559565947	SMP	1	1454.46	957.03	1270.18	942.36	18.42	18.42	4.64	20.31	20.31	5.10	1451.69	963.22	1456.45	963.25	1268.72	948.43	1273.59	948.43	0.00	0.00	993.34	-86.60	0	1	1	2	-1	-1	-29.39	-54.16	838.28	19.06	-49.78	830.91	0.01	0.40	-0.92	0.03	0.38	-0.92	0	 -1	
559599259	SMP	1	1455.02	957.42	1270.78	942.80	18.54	18.54	4.64	20.33	20.33	5.09	1452.05	963.44	1456.91	963.59	1269.06	948.98	1274.11	948.97	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.45	-54.14	836.77	18.87	-49.73	827.58	0.00	0.39	-0.92	0.02	0.39	-0.92	0	 -1	
559632598	SMP	1	1455.17	957.86	1270.89	943.04	18.61	18.61	4.65	20.34	20.34	5.09	1452.53	963.92	1457.27	963.96	1269.51	949.20	1274.29	949.18	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.59	-54.32	837.77	18.88	-50.03	831.70	0.02	0.39	-0.92	0.03	0.39	-0.92	0	 -1	
559665954	SMP	1	1455.74	957.96	1270.88	942.93	18.44	18.44	4.65	20.25	20.25	5.09	1452.70	964.11	1457.44	964.21	1269.57	949.22	1274.32	949.18	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.65	-54.40	838.10	18.90	-50.11	832.88	0.00	0.39	-0.92	0.04	0.39	-0.92	0	 -1	
559699253	SMP	1	1455.74	958.40	1271.44	943.27	18.89	18.89	4.67	20.25	20.25	5.08	1452.87	964.21	1457.56	964.26	1269.68	949.34	1274.68	949.36	983.15	-80.87	976.93	-89.34	0	1	1	2	-1	-1	-29.73	-54.48	839.10	18.75	-49.93	829.22	0.00	0.38	-0.93	0.02	0.38	-0.92	0	 -1	
559732585	SMP	1	1456.08	958.36	1271.58	943.33	18.74	18.74	4.68	20.08	20.08	5.06	1453.14	964.29	1458.12	964.35	1269.95	949.45	1275.12	949.39	991.63	-82.49	992.82	-86.01	0	1	1	2	-1	-1	-29.70	-54.26	835.30	18.54	-49.61	823.73	0.01	0.38	-0.92	0.03	0.38	-0.92	0	 -1	
559765918	SMP	1	1456.37	958.29	1271.66	943.23	18.55	18.55	4.67	20.43	20.43	5.06	1453.32	964.29	1458.36	964.31	1270.26	949.39	1275.19	949.31	987.27	-84.63	999.10	-92.89	0	1	1	2	-1	-1	-29.65	-54.05	832.23	18.58	-49.83	827.67	0.00	0.38	-0.92	0.04	0.38	-0.92	0	 -1	
559799266	SMP	1	1456.57	958.09	1271.95	943.35	18.38	18.38	4.66	20.47	20.47	5.07	1453.47	964.21	1458.40	964.27	1270.41	949.37	1275.30	949.25	0.00	0.00	995.83	-91.44	0	1	1	2	-1	-1	-29.69	-54.08	832.84	18.56	-49.87	828.42	0.00	0.39	-0.92	0.03	0.38	-0.93	0	 -1	
559832621	SMP	1	1456.67	958.09	1271.86	943.26	18.11	18.11	4.64	20.42	20.42	5.07	1453.59	964.13	1458.42	964.24	1270.53	949.27	1275.29	949.21	0.00	0.00	997.96	-94.47	0	1	1	2	-1	-1	-29.76	-54.16	834.31	18.60	-49.99	830.82	0.00	0.39	-0.92	0.04	0.38	-0.93	0	 -1	
559865932	SMP	1	1456.88	957.89	1271.87	942.65	18.43	18.43	4.64	19.79	19.79	5.05	1453.70	964.16	1458.45	964.21	1270.56	949.17	1275.28	949.11	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.82	-54.23	835.39	18.64	-50.09	832.95	-0.01	0.40	-0.92	0.04	0.40	-0.91	0	 -1	
559899255	SMP	1	1457.04	958.00	1272.15	942.90	18.44	18.44	4.64	20.10	20.10	5.05	1453.78	964.15	1458.50	964.25	1270.59	949.20	1275.34	949.18	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.88	-54.31	836.66	18.64	-50.14	833.50	-0.02	0.39	-0.92	0.02	0.39	-0.92	0	 -1	
559932572	SMP	1	1457.10	958.06	1272.31	943.21	17.97	17.97	4.61	19.78	19.78	5.03	1454.00	964.22	1458.75	964.30	1270.61	949.27	1275.49	949.32	0.00	0.00	988.01	-95.46	0	1	1	2	-1	-1	-29.94	-54.32	836.51	18.58	-50.05	831.56	-0.01	0.39	-0.92	0.02	0.38	-0.92	0	 -1	
559965968	SMP	1	1457.19	958.21	1272.51	943.11	18.26	18.26	4.61	19.85	19.85	5.01	1454.17	964.28	1459.10	964.37	1270.68	949.32	1275.62	949.36	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-29.89	-54.12	833.18	18.52	-49.99	830.34	0.00	0.39	-0.92	0.01	0.39	-0.92	0	 -1	
559999226	SMP	1	1457.23	958.30	1272.41	943.36	18.10	18.10	4.59	19.94	19.94	5.00	1454.29	964.32	1459.26	964.40	1270.73	949.41	1275.72	949.42	992.86	-88.23	989.69	-93.86	0	1	1	2	-1	-1	-29.86	-54.02	831.43	18.46	-49.90	828.47	0.01	0.39	-0.92	0.02	0.38	-0.92	0	 -1	
560032605	SMP	1	1457.48	958.50	1272.25	943.45	18.56	18.56	4.60	19.99	19.99	5.00	1454.49	964.41	1459.35	964.42	1270.80	949.58	1275.87	949.54	993.87	-86.88	997.53	-94.17	0	1	1	2	-1	-1	-29.95	-54.12	832.85	18.36	-49.75	825.42	0.00	0.38	-0.93	0.04	0.38	-0.92	0	 -1	
