## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli1\speed_acc_child_noise_18-[79f64a8d-66ef-429d-bcee-cb5c5d425b9f]\speed_acc_child_noise_18-eye_data.idf
## Date:	27.07.2017 09:29:34
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9696                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_18                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
3414328671	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
3414339065	SMP	1	1614.74	905.25	1339.05	928.03	28.84	28.84	4.74	30.72	30.72	5.05	1597.14	906.01	1608.25	906.01	1326.18	928.54	1337.07	928.55	32.55	1053.40	21.51	1086.51	0	1	1	2	-1	-1	-45.39	-25.67	552.41	2.08	-29.69	553.80	-0.35	0.07	-0.93	-0.27	0.07	-0.96	0	 -1	
3414371846	SMP	1	1615.10	905.57	1339.12	928.62	28.64	28.64	4.74	30.83	30.83	5.06	1597.38	906.33	1608.43	906.26	1326.36	928.89	1337.26	928.79	32.92	1052.36	22.04	1088.73	0	1	1	2	-1	-1	-45.40	-25.70	552.10	2.05	-29.74	553.70	-0.36	0.07	-0.93	-0.26	0.06	-0.96	0	 -1	
3414405114	SMP	1	1615.34	905.83	1339.27	928.73	28.72	28.72	4.75	30.86	30.86	5.08	1597.51	906.52	1608.50	906.55	1326.39	929.17	1337.29	929.20	31.74	1051.62	19.46	1087.53	0	1	1	2	-1	-1	-45.40	-25.74	551.94	2.05	-29.79	553.66	-0.36	0.07	-0.93	-0.27	0.07	-0.96	0	 -1	
3414438445	SMP	1	1615.08	906.21	1339.10	929.24	28.99	28.99	4.76	30.69	30.69	5.08	1597.38	906.69	1608.40	906.86	1326.26	929.44	1337.15	929.45	34.83	1053.41	18.46	1089.84	0	1	1	2	-1	-1	-45.33	-25.75	551.27	2.07	-29.84	553.64	-0.36	0.06	-0.93	-0.27	0.06	-0.96	0	 -1	
3414471787	SMP	1	1615.73	906.91	1339.82	929.87	28.94	28.94	4.76	30.88	30.88	5.09	1597.21	907.15	1608.55	907.23	1326.54	929.82	1337.47	929.77	23.80	1060.32	4.23	1095.29	0	1	1	2	-1	-1	-45.14	-25.71	548.98	2.02	-29.89	553.46	-0.38	0.05	-0.92	-0.28	0.05	-0.96	0	 -1	
3414505110	SMP	1	1615.73	907.00	1339.32	929.73	29.15	29.15	4.77	31.16	31.16	5.11	1597.17	907.18	1608.60	907.20	1326.40	930.01	1337.41	930.03	22.24	1066.76	13.24	1092.12	0	1	1	2	-1	-1	-44.99	-25.63	547.24	2.03	-29.91	553.15	-0.38	0.05	-0.92	-0.27	0.06	-0.96	0	 -1	
3414538437	SMP	1	1615.67	906.67	1339.49	929.81	29.09	29.09	4.77	30.96	30.96	5.11	1597.08	907.03	1608.56	907.10	1326.35	930.00	1337.28	929.99	22.34	1065.71	5.49	1094.65	0	1	1	2	-1	-1	-44.85	-25.53	545.58	2.05	-29.90	553.07	-0.38	0.06	-0.92	-0.28	0.06	-0.96	0	 -1	
3414571789	SMP	1	1616.02	906.78	1339.31	930.07	28.86	28.86	4.77	31.34	31.34	5.13	1597.26	907.18	1608.62	907.24	1326.27	930.30	1337.18	930.29	11.37	1067.85	4.69	1095.15	0	1	1	2	-1	-1	-44.86	-25.55	545.44	2.06	-29.96	553.07	-0.39	0.06	-0.92	-0.27	0.06	-0.96	0	 -1	
3414605111	SMP	1	1615.68	907.16	1339.43	930.52	29.27	29.27	4.77	31.09	31.09	5.13	1597.09	907.48	1608.59	907.66	1326.18	930.59	1337.13	930.57	19.04	1071.12	-4.83	1098.67	0	1	1	2	-1	-1	-44.70	-25.53	543.68	2.08	-30.00	552.94	-0.38	0.06	-0.93	-0.28	0.05	-0.96	0	 -1	
