## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli3\speed_acc_child_noise_20-[b7eca569-c783-4ca3-b8dd-e01c5fdc974b]\speed_acc_child_noise_20-eye_data.idf
## Date:	27.07.2017 14:06:21
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9719                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_20                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
20004960671	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
20004977422	SMP	1	1439.56	854.62	1176.58	850.81	29.18	29.18	5.07	27.78	27.78	5.04	1443.13	854.37	1452.75	854.42	1182.07	850.57	1190.96	850.41	1952.68	1113.45	1939.12	1119.00	0	1	1	2	-1	-1	-19.43	-17.66	586.73	30.56	-17.72	614.03	0.35	0.02	-0.94	0.35	0.01	-0.94	0	 -1	
20005010721	SMP	1	1443.90	854.42	1180.36	850.31	29.24	29.24	5.08	27.83	27.83	5.06	1447.43	854.11	1457.17	854.13	1185.86	850.04	1194.63	849.88	1953.97	1114.00	1938.44	1120.52	0	1	1	2	-1	-1	-20.23	-17.60	586.56	29.88	-17.64	615.00	0.35	0.02	-0.94	0.35	0.01	-0.94	0	 -1	
20005044043	SMP	1	1448.16	854.24	1184.11	849.48	29.26	29.26	5.10	27.77	27.77	5.07	1451.78	854.03	1461.49	854.10	1189.64	849.25	1198.46	849.03	1956.14	1113.25	1941.02	1120.84	0	1	1	2	-1	-1	-21.05	-17.60	586.97	29.15	-17.49	615.15	0.35	0.02	-0.94	0.35	0.01	-0.94	0	 -1	
20005077386	SMP	1	1464.97	854.04	1198.89	848.25	30.03	30.03	5.13	28.59	28.59	5.10	1463.24	853.80	1473.17	853.83	1199.96	848.13	1209.32	848.01	1369.66	1111.85	1449.01	1118.49	0	1	1	2	-1	-1	-23.17	-17.53	586.16	26.89	-17.16	610.80	0.16	0.02	-0.99	0.19	0.02	-0.98	0	 -1	
20005110760	SMP	1	1485.61	854.31	1218.80	846.87	29.79	29.79	5.15	28.71	28.71	5.12	1478.10	854.02	1487.91	854.38	1213.99	847.05	1223.66	847.01	745.22	1105.26	808.55	1103.40	0	1	1	2	-1	-1	-25.94	-17.61	586.46	23.76	-16.69	601.09	-0.06	0.03	-1.00	-0.04	0.03	-1.00	0	 -1	
20005144045	SMP	1	1499.07	855.47	1231.32	846.41	29.93	29.93	5.17	29.05	29.05	5.13	1490.25	855.11	1500.08	855.40	1224.69	846.63	1234.36	846.58	608.35	1101.94	611.74	1088.73	0	1	1	2	-1	-1	-28.19	-17.80	586.22	21.56	-16.48	596.58	-0.10	0.02	-0.99	-0.10	0.03	-0.99	0	 -1	
20005177373	SMP	1	1513.20	856.85	1243.26	846.27	29.92	29.92	5.19	28.98	28.98	5.14	1504.25	856.50	1514.05	856.74	1236.48	846.41	1246.24	846.44	599.83	1098.13	607.78	1083.77	0	1	1	2	-1	-1	-30.77	-18.05	586.01	19.16	-16.31	591.83	-0.10	0.02	-0.99	-0.10	0.03	-0.99	0	 -1	
20005210708	SMP	1	1531.29	858.99	1259.43	846.13	29.91	29.91	5.20	29.19	29.19	5.14	1522.29	858.65	1532.08	858.88	1252.58	846.30	1262.36	846.32	595.49	1093.96	605.04	1075.64	0	1	1	2	-1	-1	-34.11	-18.44	585.74	16.08	-16.23	589.68	-0.10	0.02	-0.99	-0.10	0.03	-0.99	0	 -1	
20005244030	SMP	1	1553.68	862.06	1280.77	845.96	29.90	29.90	5.21	29.66	29.66	5.16	1544.62	861.79	1554.44	861.94	1273.77	846.03	1283.66	846.03	592.10	1089.59	601.08	1077.50	0	1	1	2	-1	-1	-38.23	-19.00	585.31	12.06	-16.11	587.03	-0.09	0.02	-1.00	-0.10	0.03	-0.99	0	 -1	
