## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli4\speed_acc_child_noise_34-[b1423b51-bda7-4033-b6d0-d1dc5cb96bcc]\speed_acc_child_noise_34-eye_data.idf
## Date:	15.08.2017 15:36:34
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9545                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_34                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
1576294368	SMP	1	1751.63	1151.90	1503.09	1133.29	23.82	23.82	4.50	23.59	23.59	4.57	1745.92	1154.76	1754.23	1155.18	1499.75	1136.29	1507.91	1136.53	737.00	784.54	1041.74	904.95	0	1	1	2	-1	-1	-81.47	-79.27	632.03	-32.67	-76.82	642.71	0.06	0.25	-0.97	0.08	0.25	-0.97	0		
1624350567	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
1624356007	SMP	1	1669.99	1218.89	1415.77	1202.81	26.86	26.86	5.18	26.03	26.03	5.24	1665.13	1222.46	1673.68	1222.79	1413.59	1206.53	1421.71	1206.67	988.32	631.51	1024.07	646.54	0	1	1	2	-1	-1	-64.29	-91.38	622.20	-15.08	-90.98	641.63	0.07	0.29	-0.95	0.10	0.29	-0.95	0	 -1	
1624389448	SMP	1	1667.87	1218.55	1413.54	1203.07	26.61	26.61	5.16	25.76	25.76	5.19	1662.99	1222.05	1671.57	1222.49	1411.51	1206.61	1419.47	1206.99	988.44	628.42	1026.75	646.17	0	1	1	2	-1	-1	-63.86	-91.30	622.13	-14.66	-91.12	642.33	0.07	0.29	-0.95	0.10	0.29	-0.95	0	 -1	
1624422724	SMP	1	1665.74	1218.20	1411.51	1203.36	26.26	26.26	5.13	25.30	25.30	5.15	1661.00	1221.65	1669.50	1222.17	1409.38	1207.05	1417.38	1207.33	991.88	626.14	1026.63	642.21	0	1	1	2	-1	-1	-63.49	-91.27	622.41	-14.23	-91.22	642.49	0.07	0.29	-0.95	0.10	0.29	-0.95	0	 -1	
1624456071	SMP	1	1663.74	1217.95	1409.69	1203.80	25.74	25.74	5.08	25.03	25.03	5.10	1659.10	1221.47	1667.65	1221.81	1407.54	1207.55	1415.54	1207.76	997.21	625.10	1026.24	639.46	0	1	1	2	-1	-1	-63.11	-91.20	622.29	-13.87	-91.35	642.75	0.08	0.29	-0.95	0.10	0.30	-0.95	0	 -1	
1624489363	SMP	1	1662.13	1218.09	1407.99	1204.61	25.70	25.70	5.04	24.83	24.83	5.05	1657.58	1221.47	1666.12	1221.78	1405.81	1208.31	1413.90	1208.47	1003.28	629.04	1026.42	639.54	0	1	1	2	-1	-1	-62.81	-91.20	622.28	-13.52	-91.46	642.44	0.08	0.28	-0.96	0.10	0.29	-0.95	0	 -1	
1624522657	SMP	1	1660.88	1218.34	1406.80	1205.90	25.25	25.25	5.00	24.44	24.44	5.00	1656.30	1221.94	1664.80	1222.45	1404.54	1209.60	1412.60	1209.92	1004.73	620.77	1024.85	637.13	0	1	1	2	-1	-1	-62.57	-91.34	622.51	-13.26	-91.74	642.46	0.08	0.29	-0.95	0.09	0.30	-0.95	0	 -1	
1624555984	SMP	1	1660.02	1219.96	1405.64	1208.38	25.19	25.19	4.96	24.41	24.41	4.95	1655.32	1223.52	1663.91	1223.98	1403.56	1212.40	1411.56	1212.42	1004.39	620.01	1026.12	631.64	0	1	1	2	-1	-1	-62.37	-91.62	622.28	-13.06	-92.32	642.75	0.08	0.29	-0.95	0.10	0.30	-0.95	0	 -1	
1624589293	SMP	1	1659.37	1222.98	1405.13	1212.55	24.93	24.93	4.91	24.25	24.25	4.91	1654.89	1226.51	1663.33	1226.90	1402.94	1216.37	1410.98	1216.48	1009.08	620.14	1025.66	632.58	0	1	1	2	-1	-1	-62.30	-92.25	622.58	-12.93	-93.12	642.60	0.08	0.29	-0.95	0.09	0.30	-0.95	0	 -1	
