## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli4\speed_acc_child_noise_35-[f8e1506d-d956-492b-b8e4-2f653a7f5d74]\speed_acc_child_noise_35-eye_data.idf
## Date:	16.08.2017 09:58:19
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7250                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_35                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
621049868	SMP	1	1486.58	646.15	1227.91	630.95	24.19	24.19	4.41	22.70	22.70	4.16	1481.27	652.80	1490.39	652.72	1223.88	638.26	1233.11	638.25	865.01	483.35	1037.16	460.55	0	1	1	2	-1	-1	-27.40	20.56	607.28	22.21	23.42	609.06	0.01	0.23	-0.97	-0.01	0.25	-0.97	0		
645116317	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
645147403	SMP	1	1370.65	630.09	1114.23	632.05	26.60	26.60	4.78	24.99	24.99	4.52	1371.49	634.90	1380.33	634.69	1116.21	637.27	1125.09	637.22	1577.49	635.89	1583.28	603.90	0	1	1	2	-1	-1	-6.29	24.23	612.57	43.47	23.85	615.23	0.22	0.15	-0.96	0.19	0.17	-0.97	0	 -1	
645180725	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
645214087	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
645247394	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
645280763	SMP	1	1382.29	626.91	1125.88	627.55	27.07	27.07	4.81	25.78	25.78	4.57	1378.28	632.80	1387.33	632.82	1122.96	634.53	1131.96	634.50	1078.45	519.42	1055.34	459.00	0	1	1	2	-1	-1	-7.62	24.58	611.90	42.09	24.36	614.53	0.03	0.19	-0.98	0.00	0.24	-0.97	0	 -1	
645314032	SMP	1	1382.65	627.52	1125.95	628.53	27.24	27.24	4.85	25.77	25.77	4.60	1378.58	633.33	1387.60	633.28	1123.38	635.02	1132.36	635.05	1074.48	524.30	1074.22	519.58	0	1	1	2	-1	-1	-7.68	24.49	611.87	41.99	24.25	614.23	0.03	0.19	-0.98	0.01	0.22	-0.98	0	 -1	
645347500	SMP	1	1382.94	627.79	1126.27	628.66	27.28	27.28	4.87	25.75	25.75	4.63	1378.88	633.55	1388.16	633.53	1123.76	635.13	1132.62	635.21	1078.23	527.14	1079.33	509.79	0	1	1	2	-1	-1	-7.74	24.36	609.93	41.96	24.23	614.63	0.03	0.19	-0.98	0.01	0.22	-0.98	0	 -1	
645380700	SMP	1	1383.44	627.79	1126.96	628.82	27.43	27.43	4.90	25.97	25.97	4.66	1379.45	633.72	1388.49	633.63	1124.18	635.28	1133.20	635.25	1078.68	517.55	1074.70	514.57	0	1	1	2	-1	-1	-7.84	24.38	610.86	41.81	24.19	613.87	0.03	0.19	-0.98	0.00	0.22	-0.98	0	 -1	
