## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli3\speed_acc_child_noise_36-[e305af95-c308-4bb6-9e2a-7cf890adc01c]\speed_acc_child_noise_36-eye_data.idf
## Date:	16.08.2017 10:10:21
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9725                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_36                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
1392223695	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
1392237067	SMP	1	1553.65	1042.71	1291.40	1010.03	22.83	22.83	3.91	23.51	23.51	4.09	1541.89	1043.27	1551.99	1043.45	1280.08	1011.48	1289.82	1011.57	311.66	1164.47	326.18	1184.02	0	1	1	2	-1	-1	-36.94	-51.56	572.74	10.86	-46.76	585.09	-0.19	0.11	-0.98	-0.26	0.13	-0.96	0	 -1	
1392270358	SMP	1	1552.48	1042.59	1290.29	1010.43	22.84	22.84	3.92	23.42	23.42	4.10	1540.78	1043.13	1550.82	1043.35	1279.00	1011.76	1288.70	1011.77	311.61	1165.35	0.00	0.00	0	1	1	2	-1	-1	-36.75	-51.56	572.95	11.06	-46.81	585.15	-0.19	0.11	-0.98	-0.26	0.13	-0.96	0	 -1	
1392303735	SMP	1	1551.36	1042.47	1289.20	1010.72	22.86	22.86	3.93	23.45	23.45	4.10	1539.68	1043.09	1549.77	1043.34	1277.93	1012.18	1287.60	1012.13	312.51	1165.37	326.88	1184.13	0	1	1	2	-1	-1	-36.55	-51.55	572.91	11.27	-46.90	585.32	-0.19	0.12	-0.98	-0.26	0.13	-0.96	0	 -1	
1392337065	SMP	1	1550.17	1042.39	1287.92	1010.95	22.98	22.98	3.93	23.30	23.30	4.10	1538.55	1042.93	1548.71	1043.31	1276.81	1012.38	1286.47	1012.40	314.36	1164.39	329.49	1184.51	0	1	1	2	-1	-1	-36.34	-51.52	572.77	11.48	-46.96	585.51	-0.18	0.11	-0.98	-0.26	0.13	-0.96	0	 -1	
1392370387	SMP	1	1549.22	1042.28	1286.75	1011.13	22.68	22.68	3.93	23.64	23.64	4.11	1537.43	1042.77	1547.64	1043.05	1275.59	1012.52	1285.28	1012.57	313.43	1164.39	0.00	0.00	0	1	1	2	-1	-1	-36.12	-51.45	572.45	11.71	-47.00	585.63	-0.19	0.11	-0.98	-0.26	0.13	-0.96	0	 -1	
1392403640	SMP	1	1548.21	1041.98	1285.72	1011.06	22.87	22.87	3.93	23.69	23.69	4.13	1536.47	1042.49	1546.62	1042.66	1274.66	1012.49	1284.34	1012.56	313.28	1165.60	331.98	1184.30	0	1	1	2	-1	-1	-35.94	-51.38	572.40	11.88	-47.00	585.74	-0.19	0.11	-0.98	-0.25	0.13	-0.96	0	 -1	
1392436998	SMP	1	1547.51	1041.71	1285.15	1011.15	22.76	22.76	3.93	23.47	23.47	4.13	1535.88	1042.27	1546.00	1042.45	1274.01	1012.51	1283.71	1012.58	314.73	1165.98	0.00	0.00	0	1	1	2	-1	-1	-35.83	-51.35	572.42	12.00	-47.01	585.77	-0.18	0.11	-0.98	-0.26	0.13	-0.96	0	 -1	
1392470289	SMP	1	1547.10	1041.27	1284.66	1010.89	22.99	22.99	3.94	23.42	23.42	4.13	1535.41	1041.68	1545.63	1042.12	1273.53	1012.30	1283.26	1012.38	316.10	1167.37	332.71	1184.55	0	1	1	2	-1	-1	-35.73	-51.24	572.12	12.09	-46.97	585.83	-0.18	0.11	-0.98	-0.26	0.13	-0.96	0	 -1	
1392503628	SMP	1	1547.05	1040.90	1284.54	1010.50	22.83	22.83	3.94	23.42	23.42	4.13	1535.29	1041.47	1545.47	1041.59	1273.31	1012.01	1283.06	1012.00	316.40	1167.78	332.02	1183.88	0	1	1	2	-1	-1	-35.70	-51.17	572.07	12.13	-46.91	585.78	-0.19	0.11	-0.98	-0.26	0.13	-0.96	0	 -1	
