## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli1\speed_acc_child_noise_45-[6fa8727d-a8d7-4d56-b353-78f119c2841b]\speed_acc_child_noise_45-eye_data.idf
## Date:	17.08.2017 10:35:33
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9694                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_45                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2919811988	SMP	1	1691.55	798.06	1460.94	793.58	20.93	20.93	4.24	21.36	21.36	4.37	1685.14	801.88	1692.25	801.87	1457.67	797.90	1464.86	797.82	634.49	640.91	862.49	601.89	0	1	1	2	-1	-1	-74.76	-9.18	683.08	-25.37	-8.27	679.43	-0.02	0.18	-0.98	0.05	0.20	-0.98	0	 -1	
2945533184	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
2945542694	SMP	1	1654.60	866.73	1427.18	858.08	23.63	23.63	4.91	24.59	24.59	5.05	0.00	0.00	1652.17	864.85	1421.57	857.03	1428.51	857.31	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-68.49	-23.64	707.55	-18.03	-21.60	697.27	-0.17	-0.05	-0.98	-0.07	-0.01	-1.00	0	 -1	
2945576000	SMP	1	1654.73	865.63	1427.15	856.72	23.59	23.59	4.93	24.72	24.72	5.07	0.00	0.00	1652.39	863.86	1421.56	855.79	1428.56	855.74	370.25	1167.35	0.00	0.00	0	1	1	2	-1	-1	-68.55	-23.42	707.69	-18.00	-21.25	696.23	-0.17	-0.05	-0.98	-0.07	-0.01	-1.00	0	 -1	
2945609303	SMP	1	1654.71	864.74	1427.02	855.52	23.62	23.62	4.95	24.63	24.63	5.08	0.00	0.00	1652.20	862.99	1421.40	854.45	1428.47	854.52	368.15	1171.59	0.00	0.00	0	1	1	2	-1	-1	-68.25	-23.14	705.16	-17.95	-20.94	695.08	-0.18	-0.05	-0.98	-0.07	-0.02	-1.00	0	 -1	
2945642727	SMP	1	1654.75	863.65	1426.90	854.21	23.76	23.76	4.96	24.73	24.73	5.10	0.00	0.00	1652.28	861.95	1421.37	853.20	1428.32	853.33	371.46	1170.04	0.00	0.00	0	1	1	2	-1	-1	-68.22	-22.89	704.65	-17.94	-20.68	695.59	-0.18	-0.05	-0.98	-0.07	-0.01	-1.00	0	 -1	
2945675900	SMP	1	1654.77	863.05	1426.87	853.27	23.78	23.78	4.98	24.74	24.74	5.11	0.00	0.00	1652.45	861.27	1421.41	852.38	1428.41	852.47	378.70	1170.36	0.00	0.00	0	1	1	2	-1	-1	-68.17	-22.71	703.68	-17.93	-20.47	694.79	-0.17	-0.05	-0.98	-0.06	-0.01	-1.00	0	 -1	
2945709234	SMP	1	1655.24	862.93	1427.18	853.09	23.79	23.79	4.96	24.87	24.87	5.12	1645.27	861.26	1652.83	861.06	1421.61	852.18	1428.64	852.26	377.40	1169.82	0.00	0.00	0	1	1	2	-1	-1	-65.96	-21.95	680.82	-17.96	-20.41	694.00	-0.18	-0.05	-0.98	-0.07	-0.01	-1.00	0	 -1	
2945742609	SMP	1	1655.71	863.29	1427.58	853.41	23.93	23.93	4.98	24.87	24.87	5.13	1646.32	861.33	1653.03	861.50	1421.82	852.40	1428.90	852.44	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-68.36	-22.76	704.12	-17.99	-20.42	692.99	-0.18	-0.05	-0.98	-0.07	-0.02	-1.00	0	 -1	
2945775923	SMP	1	1655.83	863.50	1427.70	853.60	23.89	23.89	4.99	24.86	24.86	5.14	1646.47	861.91	1653.65	861.76	1422.22	852.49	1429.27	852.59	386.39	1167.41	0.00	0.00	0	1	1	2	-1	-1	-67.51	-22.54	694.58	-18.06	-20.44	692.71	-0.17	-0.04	-0.99	-0.06	-0.02	-1.00	0	 -1	
