## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli3\speed_acc_child_noise_46-[6985618a-7744-4e92-8d1a-160771870674]\speed_acc_child_noise_46-eye_data.idf
## Date:	17.08.2017 11:54:34
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9732                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_46                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
7711298847	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
7711319023	SMP	1	1356.10	590.44	1069.40	568.20	23.16	23.16	4.03	23.95	23.95	4.03	1349.61	601.50	1360.08	601.43	1062.75	579.85	1073.38	580.04	855.56	132.96	839.45	223.70	0	1	1	2	-1	-1	-2.02	28.09	560.55	48.28	31.49	553.00	-0.04	0.35	-0.94	-0.12	0.36	-0.92	0	 -1	
7711352351	SMP	1	1359.23	589.17	1072.63	566.70	23.36	23.36	4.02	23.84	23.84	4.03	1352.79	600.30	1363.16	600.15	1066.13	578.43	1076.73	578.64	853.83	129.49	839.83	218.11	0	1	1	2	-1	-1	-2.58	28.38	561.95	47.85	31.84	554.82	-0.04	0.35	-0.94	-0.12	0.37	-0.92	0	 -1	
7711385668	SMP	1	1361.63	588.50	1075.72	566.32	23.65	23.65	4.01	24.24	24.24	4.03	1355.50	599.61	1365.95	599.51	1069.15	577.85	1079.71	578.03	859.41	127.55	837.72	218.44	0	1	1	2	-1	-1	-3.07	28.52	562.29	47.46	32.03	556.36	-0.03	0.35	-0.94	-0.12	0.36	-0.92	0	 -1	
7711419006	SMP	1	1364.46	588.39	1078.44	566.24	23.70	23.70	4.01	24.37	24.37	4.04	1358.24	599.45	1368.62	599.32	1071.91	577.94	1082.61	578.13	859.80	126.42	838.38	215.35	0	1	1	2	-1	-1	-3.56	28.60	563.30	46.88	31.97	555.45	-0.03	0.35	-0.94	-0.12	0.37	-0.92	0	 -1	
7711452543	SMP	1	1367.03	588.56	1081.07	566.98	23.76	23.76	4.01	24.52	24.52	4.05	1360.70	599.70	1371.06	599.63	1074.51	578.62	1085.07	578.90	858.39	122.91	836.92	212.21	0	1	1	2	-1	-1	-4.00	28.60	564.14	46.61	31.95	557.51	-0.04	0.36	-0.93	-0.12	0.37	-0.92	0	 -1	
7711485667	SMP	1	1369.13	588.85	1083.34	567.60	23.80	23.80	4.02	24.49	24.49	4.07	1362.76	599.88	1373.18	599.81	1076.73	579.32	1087.29	579.61	857.76	122.75	835.23	207.97	0	1	1	2	-1	-1	-4.38	28.58	564.42	46.27	31.87	558.19	-0.04	0.35	-0.94	-0.12	0.37	-0.92	0	 -1	
7711519004	SMP	1	1370.90	588.47	1085.34	567.86	24.17	24.17	4.03	24.69	24.69	4.08	1364.69	599.48	1375.07	599.35	1078.80	579.54	1089.33	579.81	859.41	122.25	834.58	205.76	0	1	1	2	-1	-1	-4.73	28.69	565.06	45.97	31.87	558.92	-0.03	0.35	-0.94	-0.12	0.37	-0.92	0	 -1	
7711552339	SMP	1	1372.89	587.57	1087.45	567.60	24.28	24.28	4.05	24.83	24.83	4.10	1366.65	598.60	1376.98	598.51	1080.82	579.33	1091.49	579.59	859.27	120.72	833.64	203.14	0	1	1	2	-1	-1	-5.08	28.88	565.75	45.56	31.89	558.48	-0.03	0.35	-0.94	-0.12	0.37	-0.92	0	 -1	
7711585695	SMP	1	1371.26	582.36	1086.56	563.16	24.20	24.20	4.06	24.54	24.54	4.11	1366.45	595.20	1376.48	595.02	1081.60	576.95	1092.02	577.16	947.87	-56.79	939.66	31.77	0	1	1	2	-1	-1	-5.04	29.61	567.92	45.59	32.41	560.20	0.02	0.42	-0.91	-0.06	0.45	-0.89	0	 -1	
