## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli2\speed_acc_child_noise_48-[344d3981-2080-495d-98b5-3fedf75c0c8f]\speed_acc_child_noise_48-eye_data.idf
## Date:	17.08.2017 15:42:44
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9773                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_48                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
21375683611	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
21375714526	SMP	1	1039.04	644.58	783.87	643.35	25.69	25.69	4.78	27.08	27.08	4.97	1034.36	649.41	1043.25	649.48	782.16	647.78	791.49	647.78	1112.59	650.97	1101.40	681.99	0	1	1	2	-1	-1	58.72	21.22	607.88	104.90	21.06	594.37	-0.10	0.16	-0.98	-0.05	0.14	-0.99	0	 -1	
21375747743	SMP	1	1039.47	644.55	784.42	643.25	25.65	25.65	4.76	27.13	27.13	4.96	1034.60	649.52	1043.62	649.64	782.54	647.87	791.88	647.85	1108.68	648.07	1099.57	679.37	0	1	1	2	-1	-1	58.66	21.19	607.88	104.82	21.04	594.36	-0.11	0.16	-0.98	-0.06	0.14	-0.99	0	 -1	
21375781086	SMP	1	1039.84	645.02	785.01	643.62	25.65	25.65	4.75	27.16	27.16	4.95	1035.14	650.01	1044.23	650.04	783.26	648.21	792.56	648.16	1108.77	646.14	1099.61	678.35	0	1	1	2	-1	-1	58.53	21.10	607.62	104.72	20.99	594.51	-0.10	0.16	-0.98	-0.06	0.14	-0.99	0	 -1	
21375814462	SMP	1	1040.06	644.14	786.29	643.18	26.11	26.11	4.76	27.50	27.50	4.96	1035.44	649.22	1044.35	649.26	784.46	647.66	793.84	647.75	1108.13	642.26	1100.02	677.52	0	1	1	2	-1	-1	58.54	21.27	608.16	104.46	21.07	594.41	-0.10	0.17	-0.98	-0.06	0.14	-0.99	0	 -1	
21375847751	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
21375881154	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
21375914517	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
21375947852	SMP	1	1042.07	642.05	787.02	640.73	25.74	25.74	4.75	26.56	26.56	4.93	1037.32	647.15	1046.20	647.12	785.31	644.82	794.58	644.86	1105.08	639.27	1100.57	684.95	0	1	1	2	-1	-1	58.23	21.69	608.70	104.35	21.62	594.61	-0.10	0.17	-0.98	-0.05	0.12	-0.99	0	 -1	
21375981083	SMP	1	1041.84	641.99	786.94	640.21	26.51	26.51	4.77	28.01	28.01	4.96	1037.17	647.50	1046.07	647.56	785.27	645.27	794.42	645.19	1104.70	615.07	1101.74	659.64	0	1	1	2	-1	-1	58.29	21.63	609.08	104.51	21.58	595.39	-0.10	0.18	-0.98	-0.05	0.16	-0.99	0	 -1	
