## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli1\speed_acc_child_noise_12-[fc8ca785-af18-4f86-b98b-bd02fbff9432]\speed_acc_child_noise_12-eye_data.idf
## Date:	25.07.2017 09:47:05
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9690                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_12                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4864770369	SMP	1	1629.61	753.84	1375.46	747.83	18.93	18.93	3.47	19.98	19.98	3.53	1615.35	764.65	1624.56	764.76	1364.45	759.05	1374.10	759.25	311.23	98.47	106.65	30.48	0	1	1	2	-1	-1	-52.77	-0.99	602.06	-4.83	0.07	591.51	-0.30	0.42	-0.86	-0.23	0.43	-0.87	0	 -1	
4923165354	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
4923197607	SMP	1	1572.91	780.26	1310.79	796.58	23.95	23.95	4.04	23.57	23.57	4.18	1575.59	780.39	1586.21	780.33	1318.60	796.62	1328.14	796.94	1926.72	1123.75	1935.18	1173.04	0	1	1	2	-1	-1	-42.15	-3.71	560.07	3.77	-6.98	590.20	0.36	0.01	-0.93	0.47	0.02	-0.88	0	 -1	
4923230934	SMP	1	1572.92	780.53	1310.70	796.80	23.95	23.95	4.04	23.62	23.62	4.18	1575.63	780.57	1586.28	780.72	1318.60	796.83	1328.12	797.17	1930.31	1123.29	1938.17	1172.97	0	1	1	2	-1	-1	-42.16	-3.76	560.07	3.77	-7.03	590.72	0.36	0.01	-0.93	0.47	0.02	-0.88	0	 -1	
4923264257	SMP	1	1573.13	780.63	1310.91	797.00	23.97	23.97	4.04	23.62	23.62	4.18	1575.88	780.64	1586.48	780.80	1318.75	796.91	1328.66	797.25	1933.26	1123.10	1938.10	1175.63	0	1	1	2	-1	-1	-42.21	-3.77	560.25	3.68	-7.00	587.11	0.36	0.01	-0.93	0.48	0.01	-0.88	0	 -1	
4923297598	SMP	1	1573.35	780.55	1310.92	796.89	24.02	24.02	4.04	23.53	23.53	4.17	1576.17	780.65	1586.71	780.75	1318.92	796.81	1328.70	797.04	1936.53	1122.63	0.00	0.00	0	1	1	2	-1	-1	-42.28	-3.77	560.51	3.67	-6.97	587.60	0.36	0.01	-0.93	0.48	0.01	-0.88	0	 -1	
4923330935	SMP	1	1573.70	780.49	1311.21	796.78	24.02	24.02	4.04	23.54	23.54	4.17	1576.49	780.58	1587.09	780.70	1319.12	796.74	1328.88	797.13	1939.01	1122.37	1937.41	1177.28	0	1	1	2	-1	-1	-42.34	-3.76	560.54	3.63	-6.97	587.39	0.36	0.01	-0.93	0.48	0.02	-0.88	0	 -1	
4923364262	SMP	1	1574.10	780.43	1311.47	796.72	24.04	24.04	4.04	23.66	23.66	4.17	1576.77	780.53	1587.48	780.52	1319.49	796.64	1329.38	796.88	1939.87	1122.04	0.00	0.00	0	1	1	2	-1	-1	-42.38	-3.74	560.27	3.54	-6.92	585.99	0.36	0.01	-0.93	0.48	0.01	-0.88	0	 -1	
4923397675	SMP	1	1574.51	780.11	1311.94	796.46	23.98	23.98	4.04	23.77	23.77	4.17	1577.23	780.32	1587.88	780.26	1319.85	796.52	1329.74	796.83	1940.15	1121.18	1936.20	1177.89	0	1	1	2	-1	-1	-42.45	-3.69	560.21	3.47	-6.90	585.41	0.36	0.01	-0.93	0.48	0.02	-0.88	0	 -1	
4923430933	SMP	1	1574.84	780.08	1312.30	796.11	24.00	24.00	4.04	23.63	23.63	4.16	1577.57	780.18	1588.22	780.17	1320.18	796.37	1329.97	796.53	1940.81	1121.05	1936.84	1176.22	0	1	1	2	-1	-1	-42.51	-3.67	560.12	3.42	-6.86	585.59	0.36	0.01	-0.93	0.47	0.02	-0.88	0	 -1	
