## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli2\speed_acc_child_noise_15-[d53c4b9b-89f9-407a-9eaa-de8a889da361]\speed_acc_child_noise_15-eye_data.idf
## Date:	25.07.2017 13:29:54
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9781                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_15                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
10941497884	SMP	1	1521.61	714.37	1285.70	714.15	18.07	18.07	3.51	15.90	15.90	3.28	1525.03	713.59	1532.64	713.75	1292.69	713.80	1300.39	713.67	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-38.54	9.53	655.81	9.82	9.57	659.42	0.36	-0.04	-0.93	0.45	-0.03	-0.89	0		
10971096951	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
10971128279	SMP	1	1551.48	734.74	1315.92	724.55	21.86	21.86	4.23	20.88	20.88	4.06	1547.53	736.51	0.00	0.00	1315.78	726.75	1323.61	726.66	1159.01	865.94	1172.31	860.47	0	1	1	2	-1	-1	-42.35	4.68	641.48	4.94	6.80	654.06	0.07	0.07	-1.00	0.15	0.08	-0.98	0	 -1	
10971161599	SMP	1	1551.09	734.45	1315.66	724.39	21.77	21.77	4.20	20.81	20.81	4.07	1547.19	736.34	0.00	0.00	1315.44	726.58	1323.29	726.50	1164.71	867.75	1170.45	859.38	0	1	1	2	-1	-1	-40.94	4.56	620.40	5.00	6.84	654.02	0.08	0.07	-0.99	0.15	0.08	-0.99	0	 -1	
10971194915	SMP	1	1555.89	732.26	1320.97	722.01	22.15	22.15	4.22	21.28	21.28	4.08	1548.94	735.10	1557.06	735.11	1317.68	725.50	1325.85	725.38	818.99	793.54	847.25	749.06	0	1	1	2	-1	-1	-42.85	4.99	645.12	4.50	7.05	652.26	-0.06	0.11	-0.99	0.03	0.13	-0.99	0	 -1	
10971228253	SMP	1	1560.53	728.60	1326.10	718.53	21.49	21.49	4.21	20.84	20.84	4.08	1551.14	733.21	1558.93	733.47	1320.28	723.85	1327.97	723.88	529.41	552.41	558.52	529.97	0	1	1	2	-1	-1	-43.57	5.39	649.64	4.02	7.39	654.23	-0.17	0.19	-0.97	-0.09	0.21	-0.97	0	 -1	
10971261789	SMP	1	1560.76	728.64	1326.31	718.31	21.60	21.60	4.21	20.86	20.86	4.09	1551.25	733.23	1559.02	733.54	1320.23	723.69	1328.02	723.69	521.51	551.46	546.67	527.82	0	1	1	2	-1	-1	-43.66	5.39	650.71	4.02	7.43	654.18	-0.17	0.19	-0.97	-0.10	0.22	-0.97	0	 -1	
10971294935	SMP	1	1560.83	728.56	1326.19	718.07	21.58	21.58	4.21	20.90	20.90	4.09	1551.32	733.23	1559.28	733.46	1320.18	723.48	1327.96	723.43	523.48	550.90	545.77	526.76	0	1	1	2	-1	-1	-43.56	5.38	648.64	4.03	7.48	654.50	-0.17	0.19	-0.97	-0.10	0.22	-0.97	0	 -1	
10971328223	SMP	1	1561.13	728.60	1326.32	717.82	21.58	21.58	4.21	20.98	20.98	4.09	1551.69	733.17	1559.51	733.34	1320.26	723.24	1328.03	723.20	523.49	553.24	543.19	525.70	0	1	1	2	-1	-1	-43.75	5.41	650.55	4.02	7.53	654.80	-0.17	0.19	-0.97	-0.10	0.22	-0.97	0	 -1	
10971361560	SMP	1	1561.28	728.43	1326.33	717.59	21.60	21.60	4.22	20.81	20.81	4.09	1552.03	733.12	1559.65	733.28	1320.38	723.11	1328.17	723.07	524.73	550.81	545.15	522.70	0	1	1	2	-1	-1	-44.01	5.45	653.75	3.99	7.56	654.82	-0.17	0.19	-0.97	-0.09	0.22	-0.97	0	 -1	
10971394955	SMP	1	1561.43	728.18	1326.44	717.43	21.56	21.56	4.22	20.85	20.85	4.09	1552.11	733.00	1559.75	733.05	1320.45	723.00	1328.26	722.95	524.01	547.42	545.43	519.78	0	1	1	2	-1	-1	-44.10	5.50	654.77	3.98	7.59	654.93	-0.17	0.20	-0.97	-0.09	0.22	-0.97	0	 -1	
10971428218	SMP	1	1561.39	727.93	1326.47	717.38	21.58	21.58	4.23	20.77	20.77	4.09	1552.12	732.62	1559.80	732.80	1320.45	722.80	1328.32	722.81	524.60	546.19	545.58	520.15	0	1	1	2	-1	-1	-44.14	5.57	655.25	3.97	7.62	654.63	-0.17	0.19	-0.97	-0.09	0.22	-0.97	0	 -1	
10971461551	SMP	1	1561.38	727.65	1326.41	717.24	21.54	21.54	4.23	20.92	20.92	4.09	1552.12	732.27	1559.73	732.46	1320.43	722.58	1328.22	722.59	524.24	545.78	545.60	521.19	0	1	1	2	-1	-1	-44.24	5.65	656.94	3.98	7.67	655.00	-0.17	0.19	-0.97	-0.09	0.22	-0.97	0	 -1	
10971494882	SMP	1	1561.32	726.95	1326.34	716.83	21.47	21.47	4.23	20.82	20.82	4.09	1552.02	731.87	1559.63	731.91	1320.34	722.22	1328.15	722.21	523.24	541.13	545.50	521.28	0	1	1	2	-1	-1	-44.29	5.76	657.98	4.00	7.74	655.00	-0.17	0.20	-0.96	-0.09	0.22	-0.97	0	 -1	
10971528233	SMP	1	1562.57	724.66	1327.99	714.21	21.45	21.45	4.24	20.36	20.36	4.08	1552.54	730.58	1559.93	730.60	1321.27	720.83	1328.84	720.80	456.53	422.31	513.39	415.96	0	1	1	2	-1	-1	-44.64	6.07	661.85	3.84	8.06	656.73	-0.21	0.24	-0.95	-0.13	0.27	-0.95	0	 -1	
10971561551	SMP	1	1563.31	722.50	1328.94	712.28	21.14	21.14	4.23	20.07	20.07	4.06	1552.67	729.39	1560.36	729.35	1321.95	719.98	1329.46	719.90	388.68	321.67	469.70	284.65	0	1	1	2	-1	-1	-44.51	6.30	659.10	3.72	8.26	658.54	-0.23	0.28	-0.93	-0.14	0.31	-0.94	0	 -1	
10971594882	SMP	1	1563.25	722.33	1328.91	712.13	21.23	21.23	4.23	19.98	19.98	4.04	1552.70	729.21	1560.38	729.11	1321.86	719.76	1329.22	719.53	386.24	319.27	440.60	286.42	0	1	1	2	-1	-1	-44.56	6.35	659.69	3.77	8.37	662.35	-0.22	0.28	-0.93	-0.15	0.31	-0.94	0	 -1	
