## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli2\speed_acc_noise_2-[2b5aa064-1483-4cb9-80fa-61e60c600c82]\speed_acc_noise_2-eye_data.idf
## Date:	18.07.2017 13:08:38
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9770                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_noise_2                                                                                                                                                                                                                                               
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
14338549902	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
14338581343	SMP	1	1563.29	725.82	1301.39	711.96	28.00	28.00	5.20	29.38	29.38	5.35	1552.05	725.77	1560.77	725.94	1293.28	711.73	1302.21	711.78	341.97	1108.52	336.49	1174.35	0	1	1	2	-1	-1	-41.66	6.59	617.24	8.84	9.23	609.29	-0.21	-0.01	-0.98	-0.16	-0.02	-0.99	0	 -1	
14338614554	SMP	1	1563.40	725.97	1301.30	712.49	27.92	27.92	5.20	29.19	29.19	5.35	1552.09	726.13	1560.79	726.18	1293.24	712.27	1302.17	712.32	342.90	1106.87	334.79	1174.41	0	1	1	2	-1	-1	-41.68	6.53	617.43	8.85	9.13	609.64	-0.21	0.00	-0.98	-0.16	-0.02	-0.99	0	 -1	
14338647855	SMP	1	1563.35	726.15	1301.22	712.83	28.09	28.09	5.20	29.31	29.31	5.35	1552.05	726.32	1560.76	726.32	1293.11	712.62	1302.05	712.70	343.45	1105.26	333.04	1174.49	0	1	1	2	-1	-1	-41.69	6.50	617.66	8.88	9.06	609.87	-0.21	0.00	-0.98	-0.16	-0.02	-0.99	0	 -1	
14338681139	SMP	1	1563.36	725.99	1301.19	712.86	28.08	28.08	5.20	29.21	29.21	5.35	1552.12	726.06	1560.88	726.12	1293.11	712.63	1302.07	712.73	346.34	1105.26	331.19	1174.88	0	1	1	2	-1	-1	-41.70	6.54	617.50	8.88	9.06	610.08	-0.21	-0.01	-0.98	-0.16	-0.02	-0.99	0	 -1	
14338714537	SMP	1	1563.69	725.58	1301.44	712.70	27.98	27.98	5.20	29.17	29.17	5.35	1552.30	725.55	1561.12	725.70	1293.22	712.47	1302.18	712.52	347.00	1105.19	328.15	1174.94	0	1	1	2	-1	-1	-41.73	6.63	617.40	8.86	9.10	610.20	-0.21	-0.01	-0.98	-0.16	-0.02	-0.99	0	 -1	
14338747814	SMP	1	1563.93	725.05	1301.33	712.19	28.00	28.00	5.20	29.25	29.25	5.35	1552.44	725.10	1561.38	725.13	1293.30	712.04	1302.29	712.13	347.77	1104.44	328.60	1173.87	0	1	1	2	-1	-1	-41.72	6.72	616.69	8.84	9.18	610.39	-0.22	-0.01	-0.98	-0.15	-0.02	-0.99	0	 -1	
14338781142	SMP	1	1564.06	724.33	1301.33	711.56	28.09	28.09	5.20	29.30	29.30	5.35	1552.56	724.41	1561.45	724.47	1293.19	711.34	1302.18	711.42	347.31	1102.81	327.38	1173.19	0	1	1	2	-1	-1	-41.73	6.85	616.50	8.87	9.32	610.53	-0.22	-0.01	-0.98	-0.16	-0.02	-0.99	0	 -1	
14338814483	SMP	1	1563.84	723.27	1300.84	710.18	28.12	28.12	5.20	29.40	29.40	5.36	1552.36	723.35	1561.21	723.37	1292.66	710.03	1301.71	710.14	347.52	1102.41	327.48	1171.41	0	1	1	2	-1	-1	-41.68	7.06	616.34	8.96	9.57	610.41	-0.22	-0.01	-0.98	-0.16	-0.02	-0.99	0	 -1	
14338847810	SMP	1	1563.17	721.31	1299.82	708.25	28.15	28.15	5.20	29.28	29.28	5.36	1551.60	721.35	1560.53	721.36	1291.71	707.98	1300.76	708.05	346.83	1103.18	327.17	1172.64	0	1	1	2	-1	-1	-41.49	7.45	615.67	9.15	9.97	610.32	-0.22	-0.01	-0.98	-0.16	-0.03	-0.99	0	 -1	
