## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli3\speed_acc_child_noise_21-[7fab7d6c-71d3-4596-baf2-68dd70333f21]\speed_acc_child_noise_21-eye_data.idf
## Date:	27.07.2017 14:24:11
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7391                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_21                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
21069034989	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
21069039666	SMP	1	1540.72	884.75	1290.12	917.36	24.98	24.98	4.94	25.23	25.23	5.06	1535.53	894.11	1543.24	894.13	1288.08	926.94	1295.57	926.77	994.51	-102.43	0.00	0.00	0	1	1	2	-1	-1	-40.95	-28.15	659.32	10.95	-35.47	668.39	0.00	0.44	-0.90	0.06	0.46	-0.89	0	 -1	
21069072919	SMP	1	1540.46	884.85	1289.88	917.58	24.69	24.69	4.93	25.22	25.22	5.06	1535.23	894.16	1543.02	894.23	1287.75	927.09	1295.26	926.88	995.54	-103.43	0.00	0.00	0	1	1	2	-1	-1	-40.88	-28.15	659.05	11.02	-35.50	668.44	0.00	0.43	-0.90	0.06	0.45	-0.89	0	 -1	
21069106208	SMP	1	1540.01	884.94	1289.43	917.78	25.03	25.03	4.93	25.03	25.03	5.06	1534.90	894.26	1542.60	894.34	1287.28	927.33	1294.92	927.26	996.65	-104.02	0.00	0.00	0	1	1	2	-1	-1	-40.81	-28.19	659.32	11.09	-35.53	667.68	0.00	0.44	-0.90	0.06	0.46	-0.89	0	 -1	
21069139542	SMP	1	1539.53	885.11	1288.82	918.13	24.96	24.96	4.94	25.21	25.21	5.06	1534.27	894.45	1542.10	894.51	1286.73	927.75	1294.17	927.58	997.10	-104.06	0.00	0.00	0	1	1	2	-1	-1	-40.66	-28.20	658.71	11.24	-35.63	668.11	0.00	0.44	-0.90	0.06	0.46	-0.89	0	 -1	
21069172876	SMP	1	1538.82	885.25	1288.14	918.62	24.81	24.81	4.93	25.10	25.10	5.05	1533.71	894.64	1541.38	894.72	1286.10	928.12	1293.65	927.92	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-40.54	-28.25	658.96	11.35	-35.69	667.83	0.00	0.44	-0.90	0.06	0.45	-0.89	0	 -1	
21069206209	SMP	1	1538.10	885.36	1287.49	919.14	24.83	24.83	4.93	25.14	25.14	5.05	1532.94	894.77	1540.60	894.85	1285.35	928.70	1292.93	928.59	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-40.39	-28.28	659.06	11.50	-35.80	667.50	0.00	0.44	-0.90	0.06	0.46	-0.89	0	 -1	
21069239544	SMP	1	1537.18	885.67	1286.61	919.48	24.97	24.97	4.93	25.02	25.02	5.04	1531.97	894.89	1539.79	895.05	1284.58	929.04	1292.03	928.82	997.78	-103.41	0.00	0.00	0	1	1	2	-1	-1	-40.15	-28.28	658.30	11.69	-35.88	667.78	0.00	0.43	-0.90	0.06	0.45	-0.89	0	 -1	
21069272895	SMP	1	1536.36	885.52	1285.75	919.74	24.92	24.92	4.93	25.21	25.21	5.05	1531.05	894.87	1538.99	895.00	1283.72	929.21	1291.15	929.06	998.30	-103.17	0.00	0.00	0	1	1	2	-1	-1	-39.90	-28.22	657.07	11.88	-35.94	668.07	0.00	0.44	-0.90	0.06	0.45	-0.89	0	 -1	
21069306245	SMP	1	1535.64	885.32	1285.11	919.75	24.90	24.90	4.93	25.22	25.22	5.05	1530.52	894.66	1538.31	894.80	1283.05	929.25	1290.58	929.06	1000.96	-102.84	0.00	0.00	0	1	1	2	-1	-1	-39.78	-28.18	657.19	12.00	-35.93	667.83	0.00	0.44	-0.90	0.06	0.45	-0.89	0	 -1	
21069339621	SMP	1	1535.15	885.12	1284.48	919.72	24.91	24.91	4.93	24.98	24.98	5.04	1529.95	894.58	1537.67	894.60	1282.39	929.27	1289.96	929.20	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-39.66	-28.16	657.33	12.13	-35.93	667.51	0.00	0.44	-0.90	0.06	0.46	-0.89	0	 -1	
21069372999	SMP	1	1534.49	885.37	1283.97	920.10	24.94	24.94	4.93	25.21	25.21	5.04	1529.37	894.73	1537.23	894.84	1281.89	929.62	1289.35	929.54	1003.28	-102.69	0.00	0.00	0	1	1	2	-1	-1	-39.51	-28.17	656.50	12.26	-36.03	667.96	0.00	0.44	-0.90	0.05	0.46	-0.89	0	 -1	
21069406283	SMP	1	1534.23	885.56	1283.47	920.50	24.92	24.92	4.92	25.17	25.17	5.04	1528.97	894.87	1536.72	895.06	1281.41	930.07	1288.94	929.87	1002.17	-102.46	0.00	0.00	0	1	1	2	-1	-1	-39.42	-28.21	656.68	12.35	-36.10	667.80	-0.01	0.44	-0.90	0.06	0.45	-0.89	0	 -1	
21069439536	SMP	1	1533.78	885.71	1283.09	920.92	25.15	25.15	4.93	25.26	25.26	5.05	1528.63	895.07	1536.36	895.12	1281.03	930.44	1288.56	930.38	1002.33	-101.61	0.00	0.00	0	1	1	2	-1	-1	-39.35	-28.24	656.70	12.43	-36.19	667.72	0.00	0.44	-0.90	0.06	0.46	-0.89	0	 -1	
21069472863	SMP	1	1533.27	885.58	1282.67	921.00	24.96	24.96	4.93	25.09	25.09	5.04	1528.03	894.88	1536.00	895.00	1280.59	930.59	1288.12	930.46	1003.37	-99.94	0.00	0.00	0	1	1	2	-1	-1	-39.17	-28.15	655.30	12.52	-36.22	667.74	0.00	0.43	-0.90	0.06	0.46	-0.89	0	 -1	
21069506185	SMP	1	1532.82	885.56	1282.19	921.12	25.17	25.17	4.94	25.23	25.23	5.05	1527.80	894.83	1535.39	894.91	1280.18	930.79	1287.69	930.62	1005.02	-98.44	0.00	0.00	0	1	1	2	-1	-1	-39.19	-28.21	657.14	12.61	-36.26	667.87	0.00	0.43	-0.90	0.06	0.46	-0.89	0	 -1	
21069539561	SMP	1	1532.43	885.54	1281.91	921.44	25.01	25.01	4.94	25.35	25.35	5.05	1527.27	895.00	1535.09	895.05	1279.77	931.02	1287.21	930.84	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-39.03	-28.19	655.91	12.71	-36.33	668.27	0.00	0.44	-0.90	0.05	0.46	-0.89	0	 -1	
21069572834	SMP	1	1532.17	885.73	1281.56	921.71	25.13	25.13	4.94	24.98	24.98	5.05	1526.94	894.94	1534.69	895.17	1279.45	931.26	1287.00	931.12	1004.52	-97.09	0.00	0.00	0	1	1	2	-1	-1	-38.97	-28.21	656.12	12.76	-36.37	667.95	-0.01	0.43	-0.90	0.06	0.46	-0.89	0	 -1	
21069606168	SMP	1	1531.82	885.61	1281.11	921.79	25.17	25.17	4.94	25.17	25.17	5.05	1526.67	894.93	1534.34	895.01	1279.07	931.32	1286.63	931.25	1004.19	-96.38	0.00	0.00	0	1	1	2	-1	-1	-38.94	-28.22	656.81	12.84	-36.38	667.75	0.00	0.43	-0.90	0.06	0.46	-0.89	0	 -1	
21069639549	SMP	1	1531.35	885.61	1280.80	921.98	25.02	25.02	4.94	25.37	25.37	5.05	1526.14	895.01	1533.97	895.08	1278.69	931.49	1286.12	931.37	1004.85	-96.52	0.00	0.00	0	1	1	2	-1	-1	-38.80	-28.20	656.00	12.95	-36.44	668.31	0.00	0.44	-0.90	0.05	0.45	-0.89	0	 -1	
21069672848	SMP	1	1531.09	885.82	1280.43	922.24	25.19	25.19	4.95	25.28	25.28	5.06	1525.85	895.13	1533.57	895.25	1278.30	931.85	1285.90	931.70	1003.49	-96.76	0.00	0.00	0	1	1	2	-1	-1	-38.77	-28.26	656.63	13.00	-36.48	667.74	-0.01	0.43	-0.90	0.05	0.46	-0.89	0	 -1	
21069706213	SMP	1	1530.69	885.99	1280.13	922.64	25.02	25.02	4.95	25.29	25.29	5.06	1525.42	895.40	1533.25	895.47	1278.04	932.21	1285.61	932.04	1003.43	-97.12	0.00	0.00	0	1	1	2	-1	-1	-38.65	-28.28	655.96	13.05	-36.55	667.60	-0.01	0.44	-0.90	0.06	0.46	-0.89	0	 -1	
21069739503	SMP	1	1530.23	886.00	1279.71	922.84	25.30	25.30	4.95	25.16	25.16	5.06	1525.01	895.40	1532.76	895.46	1277.66	932.41	1285.09	932.32	1002.32	-97.31	0.00	0.00	0	1	1	2	-1	-1	-38.57	-28.29	656.22	13.16	-36.63	668.17	-0.01	0.44	-0.90	0.05	0.46	-0.89	0	 -1	
21069772837	SMP	1	1529.85	885.90	1279.28	923.01	25.19	25.19	4.96	25.30	25.30	5.06	1524.61	895.28	1532.36	895.39	1277.28	932.58	1284.90	932.43	1000.67	-97.73	0.00	0.00	0	1	1	2	-1	-1	-38.49	-28.27	656.35	13.21	-36.62	667.40	-0.01	0.44	-0.90	0.06	0.46	-0.89	0	 -1	
21069806166	SMP	1	1529.35	886.06	1278.95	923.08	25.33	25.33	4.96	25.31	25.31	5.06	1524.21	895.29	1532.01	895.34	1276.97	932.68	1284.50	932.60	1002.89	-95.64	0.00	0.00	0	1	1	2	-1	-1	-38.41	-28.27	656.31	13.28	-36.65	667.41	0.00	0.43	-0.90	0.06	0.46	-0.89	0	 -1	
21069839498	SMP	1	1529.05	885.93	1278.70	923.27	25.18	25.18	4.97	25.36	25.36	5.07	1523.88	895.20	1531.61	895.30	1276.66	932.86	1284.14	932.65	1002.74	-95.24	0.00	0.00	0	1	1	2	-1	-1	-38.36	-28.27	656.64	13.36	-36.68	667.63	0.00	0.43	-0.90	0.06	0.46	-0.89	0	 -1	
21069872884	SMP	1	1528.75	885.81	1278.29	923.37	25.37	25.37	4.97	25.36	25.36	5.07	1523.44	895.19	1531.20	895.26	1276.21	932.93	1283.80	932.77	1000.46	-96.70	0.00	0.00	0	1	1	2	-1	-1	-38.26	-28.26	656.56	13.43	-36.68	667.24	-0.01	0.44	-0.90	0.06	0.46	-0.89	0	 -1	
21069906150	SMP	1	1528.07	885.76	1277.88	923.48	25.26	25.26	4.98	25.60	25.60	5.08	1522.91	895.02	1530.66	895.18	1275.80	933.00	1283.30	932.81	1000.54	-96.90	0.00	0.00	0	1	1	2	-1	-1	-38.17	-28.24	656.77	13.53	-36.70	667.35	0.00	0.43	-0.90	0.05	0.45	-0.89	0	 -1	
21069939461	SMP	1	1527.71	885.76	1277.44	923.69	25.48	25.48	4.98	25.72	25.72	5.09	1522.43	895.10	1530.22	895.11	1275.38	933.12	1282.97	933.02	1000.08	-97.43	0.00	0.00	0	1	1	2	-1	-1	-38.06	-28.24	656.58	13.60	-36.71	666.95	-0.01	0.43	-0.90	0.06	0.45	-0.89	0	 -1	
21069972800	SMP	1	1527.11	885.67	1276.95	923.75	25.40	25.40	4.99	25.58	25.58	5.10	1521.94	894.92	1529.68	895.09	1274.98	933.21	1282.48	933.09	1000.74	-97.26	0.00	0.00	0	1	1	2	-1	-1	-37.96	-28.22	656.71	13.70	-36.74	667.18	0.00	0.43	-0.90	0.06	0.45	-0.89	0	 -1	
21070006135	SMP	1	1526.58	885.49	1276.58	923.66	25.47	25.47	5.00	25.63	25.63	5.10	1521.30	894.80	1529.19	894.92	1274.46	933.15	1282.03	933.03	1000.61	-96.90	0.00	0.00	0	1	1	2	-1	-1	-37.82	-28.17	656.28	13.80	-36.71	666.92	-0.01	0.43	-0.90	0.05	0.45	-0.89	0	 -1	
21070039477	SMP	1	1525.98	885.05	1275.90	923.50	25.42	25.42	5.00	25.66	25.66	5.11	1520.84	894.38	1528.52	894.48	1274.00	932.97	1281.50	932.79	1001.84	-97.28	0.00	0.00	0	1	1	2	-1	-1	-37.72	-28.10	656.61	13.91	-36.68	667.08	-0.01	0.43	-0.90	0.06	0.45	-0.89	0	 -1	
21070072802	SMP	1	1525.53	884.56	1275.50	923.14	25.52	25.52	5.01	25.58	25.58	5.11	1520.21	893.82	1528.13	893.94	1273.53	932.67	1281.03	932.51	1001.80	-95.76	0.00	0.00	0	1	1	2	-1	-1	-37.56	-27.95	655.79	14.01	-36.62	667.06	-0.01	0.43	-0.90	0.06	0.45	-0.89	0	 -1	
21070106122	SMP	1	1525.04	884.11	1275.13	922.96	25.62	25.62	5.01	25.70	25.70	5.12	1519.85	893.48	1527.54	893.47	1273.08	932.39	1280.69	932.39	1002.08	-95.52	0.00	0.00	0	1	1	2	-1	-1	-37.50	-27.89	656.46	14.08	-36.55	666.70	-0.01	0.43	-0.90	0.06	0.45	-0.89	0	 -1	
21070139461	SMP	1	1524.45	883.98	1274.64	922.89	25.70	25.70	5.02	25.81	25.81	5.13	1519.28	893.26	1527.04	893.31	1272.62	932.28	1280.08	932.22	1003.32	-94.33	0.00	0.00	0	1	1	2	-1	-1	-37.38	-27.84	656.28	14.20	-36.55	667.19	0.00	0.43	-0.90	0.05	0.45	-0.89	0	 -1	
21070172801	SMP	1	1523.96	883.74	1274.24	922.87	25.59	25.59	5.03	25.77	25.77	5.13	1518.88	892.94	1526.52	893.12	1272.18	932.28	1279.81	932.18	1003.62	-95.06	0.00	0.00	0	1	1	2	-1	-1	-37.33	-27.82	657.04	14.26	-36.51	666.52	0.00	0.43	-0.90	0.06	0.45	-0.89	0	 -1	
21070206129	SMP	1	1523.57	883.39	1273.96	922.64	25.93	25.93	5.04	25.82	25.82	5.14	1518.31	892.71	1526.19	892.79	1271.88	932.04	1279.43	931.89	1003.66	-95.69	0.00	0.00	0	1	1	2	-1	-1	-37.18	-27.72	656.10	14.34	-36.46	666.61	-0.01	0.43	-0.90	0.05	0.45	-0.89	0	 -1	
21070239540	SMP	1	1523.06	882.71	1273.48	922.19	25.73	25.73	5.05	25.78	25.78	5.14	1517.93	891.93	1525.64	892.08	1271.47	931.60	1279.03	931.52	1005.68	-94.90	0.00	0.00	0	1	1	2	-1	-1	-37.13	-27.60	656.81	14.42	-36.37	666.57	0.00	0.43	-0.90	0.06	0.45	-0.89	0	 -1	
21070272790	SMP	1	1522.64	882.33	1273.26	921.76	25.80	25.80	5.06	26.00	26.00	5.15	1517.53	891.62	1525.27	891.70	1271.15	931.17	1278.75	931.11	1006.81	-95.24	0.00	0.00	0	1	1	2	-1	-1	-37.05	-27.53	656.83	14.48	-36.26	666.14	0.00	0.43	-0.90	0.05	0.45	-0.89	0	 -1	
