## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli1\speed_acc_child_noise_24-[c08b84b4-d1f8-4676-afe1-f0c67e2e2ff3]\speed_acc_child_noise_24-eye_data.idf
## Date:	01.08.2017 13:59:49
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9693                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_24                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
19396586182	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
19396599504	SMP	1	1481.47	765.05	1216.75	782.21	30.99	30.99	5.68	28.72	28.72	5.38	1479.41	767.74	1488.28	767.68	1218.74	784.29	1227.03	784.24	1416.57	779.71	1433.22	810.06	0	1	1	2	-1	-1	-27.50	-1.61	618.01	24.07	-4.94	629.32	0.14	0.11	-0.98	0.21	0.09	-0.97	0	 -1	
19396632789	SMP	1	1481.92	765.08	1217.36	782.22	31.12	31.12	5.70	28.67	28.67	5.38	1480.01	767.67	1488.81	767.58	1219.38	784.24	1227.68	784.25	1420.31	780.92	1437.97	807.98	0	1	1	2	-1	-1	-27.60	-1.59	617.81	23.97	-4.95	630.33	0.14	0.10	-0.98	0.22	0.09	-0.97	0	 -1	
19396666128	SMP	1	1482.51	765.13	1217.73	782.31	31.46	31.46	5.72	28.46	28.46	5.38	1480.58	767.66	1489.36	767.64	1219.69	784.33	1228.01	784.29	1421.76	781.80	1439.52	807.02	0	1	1	2	-1	-1	-27.70	-1.60	617.67	23.94	-4.96	631.06	0.14	0.10	-0.98	0.21	0.09	-0.97	0	 -1	
19396699597	SMP	1	1482.66	765.01	1217.94	782.31	31.00	31.00	5.73	28.55	28.55	5.39	1480.76	767.72	1489.51	767.68	1219.94	784.38	1228.18	784.35	1423.43	778.82	1442.09	803.86	0	1	1	2	-1	-1	-27.74	-1.61	617.65	23.96	-4.99	632.85	0.14	0.11	-0.98	0.21	0.09	-0.97	0	 -1	
19396732777	SMP	1	1482.95	765.40	1218.11	782.56	30.95	30.95	5.73	28.76	28.76	5.41	1480.92	767.88	1489.68	767.81	1220.04	784.47	1228.24	784.41	1422.12	782.25	1441.57	807.28	0	1	1	2	-1	-1	-27.77	-1.63	617.63	23.99	-5.02	634.09	0.14	0.10	-0.99	0.21	0.08	-0.97	0	 -1	
19396766114	SMP	1	1483.38	765.09	1218.29	782.41	30.88	30.88	5.73	28.36	28.36	5.40	1481.22	767.86	1490.14	767.80	1220.28	784.44	1228.52	784.42	1420.36	778.04	1444.16	803.96	0	1	1	2	-1	-1	-27.81	-1.63	616.90	23.96	-5.02	634.54	0.13	0.11	-0.98	0.21	0.09	-0.97	0	 -1	
19396799477	SMP	1	1480.31	770.05	1216.60	787.04	30.61	30.61	5.72	28.42	28.42	5.41	1479.56	770.60	1488.29	770.63	1219.89	786.80	1228.16	786.83	1588.62	1035.83	1623.04	1091.48	0	1	1	2	-1	-1	-27.48	-2.18	617.32	24.05	-5.50	634.84	0.19	0.03	-0.98	0.27	0.00	-0.96	0	 -1	
19396832784	SMP	1	1481.64	771.48	1217.28	788.37	30.87	30.87	5.72	28.40	28.40	5.41	1480.54	771.33	1489.34	771.40	1220.41	787.65	1228.68	787.58	1561.76	1118.60	1608.34	1148.68	0	1	1	2	-1	-1	-27.67	-2.32	617.03	23.96	-5.67	635.40	0.17	0.00	-0.98	0.26	-0.02	-0.96	0	 -1	
19396866115	SMP	1	1482.23	771.45	1217.66	788.73	30.78	30.78	5.71	28.34	28.34	5.41	1481.27	771.49	1490.07	771.53	1220.60	787.92	1228.93	787.76	1571.03	1103.44	1587.90	1170.43	0	1	1	2	-1	-1	-27.81	-2.35	616.90	23.92	-5.71	635.42	0.18	0.01	-0.98	0.26	-0.03	-0.97	0	 -1	
