## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli3\speed_acc_child_noise_33-[a42a605e-3bdb-403d-a8ec-66bbf046c929]\speed_acc_child_noise_33-eye_data.idf
## Date:	15.08.2017 12:12:12
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9747                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_33                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
7660409677	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
7660441973	SMP	1	1497.51	887.32	1283.38	860.70	19.14	19.14	4.19	19.46	19.46	4.25	1490.84	890.41	1497.46	890.51	1280.12	864.13	1286.61	864.15	707.47	713.07	731.33	700.40	0	1	1	2	-1	-1	-33.79	-29.38	707.37	13.88	-24.15	727.74	-0.11	0.18	-0.98	-0.02	0.19	-0.98	0	 -1	
7660475236	SMP	1	1502.04	885.87	1288.71	858.52	19.00	19.00	4.16	19.08	19.08	4.23	1494.10	889.78	1500.52	889.97	1283.76	862.91	1290.15	863.03	496.98	592.08	471.32	551.36	0	1	1	2	-1	-1	-34.63	-29.36	710.12	13.05	-23.89	728.11	-0.17	0.22	-0.96	-0.10	0.24	-0.97	0	 -1	
7660508577	SMP	1	1503.43	886.11	1289.78	858.29	18.61	18.61	4.13	19.21	19.21	4.23	1495.49	890.14	1501.80	890.22	1284.88	862.56	1291.39	862.60	489.24	579.32	479.60	566.22	0	1	1	2	-1	-1	-35.13	-29.59	714.07	12.76	-23.76	726.74	-0.17	0.23	-0.96	-0.09	0.23	-0.97	0	 -1	
7660541895	SMP	1	1504.54	886.20	1291.14	857.93	19.01	19.01	4.13	18.86	18.86	4.21	1496.91	890.21	1503.15	890.33	1286.25	862.37	1292.52	862.44	499.21	573.41	476.52	555.80	0	1	1	2	-1	-1	-35.67	-29.80	718.60	12.50	-23.76	728.19	-0.16	0.23	-0.96	-0.10	0.24	-0.97	0	 -1	
7660575237	SMP	1	1505.83	886.22	1292.22	857.73	19.23	19.23	4.14	19.13	19.13	4.20	1497.95	890.20	1504.16	890.21	1287.21	862.19	1293.50	862.37	488.21	572.83	470.29	548.78	0	1	1	2	-1	-1	-36.10	-29.95	722.64	12.27	-23.74	728.38	-0.18	0.23	-0.96	-0.10	0.25	-0.96	0	 -1	
7660608637	SMP	1	1506.13	886.13	1292.73	857.66	19.01	19.01	4.13	19.11	19.11	4.20	1498.21	890.08	1504.66	890.16	1287.66	862.13	1294.04	862.16	490.39	573.82	466.43	548.70	0	1	1	2	-1	-1	-35.92	-29.71	717.30	12.15	-23.68	727.61	-0.17	0.22	-0.96	-0.10	0.24	-0.96	0	 -1	
7660641900	SMP	1	1505.88	885.82	1292.42	857.40	19.05	19.05	4.13	19.26	19.26	4.20	1498.00	889.81	1504.26	889.93	1287.44	861.77	1293.77	861.83	485.57	570.53	466.06	551.07	0	1	1	2	-1	-1	-36.16	-29.91	723.48	12.21	-23.61	727.84	-0.18	0.23	-0.96	-0.10	0.24	-0.97	0	 -1	
7660675226	SMP	1	1505.14	885.66	1291.73	857.17	19.21	19.21	4.14	19.42	19.42	4.20	1497.20	889.45	1503.62	889.64	1286.77	861.45	1293.29	861.52	484.88	574.33	469.07	555.66	0	1	1	2	-1	-1	-35.87	-29.73	720.97	12.31	-23.48	725.96	-0.17	0.22	-0.96	-0.10	0.23	-0.97	0	 -1	
7660708559	SMP	1	1504.37	885.12	1291.16	856.53	19.49	19.49	4.16	19.26	19.26	4.20	1496.63	889.12	1502.83	889.20	1286.11	861.13	1292.49	861.29	485.12	569.90	466.64	545.64	0	1	1	2	-1	-1	-35.99	-29.87	726.50	12.48	-23.43	726.48	-0.17	0.23	-0.96	-0.10	0.25	-0.96	0	 -1	
