## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli4\speed_acc_child_noise_41-[2152c73d-f88d-4830-9781-97b593bfe762]\speed_acc_child_noise_41-eye_data.idf
## Date:	16.08.2017 15:50:01
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9658                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_41                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2996344968	SMP	1	1417.13	658.17	1188.69	628.61	22.79	22.79	4.43	24.56	24.56	4.71	1415.89	664.73	1423.94	664.62	1187.37	634.78	1195.49	634.81	1514.99	340.35	1096.98	347.20	0	1	1	2	-1	-1	-15.67	19.45	646.68	31.03	25.45	643.60	0.14	0.24	-0.96	0.07	0.22	-0.97	0	 -1	
3020454787	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
3020475589	SMP	1	1375.58	549.12	1142.26	546.07	26.44	26.44	5.22	28.67	28.67	5.60	1371.90	561.12	1379.69	561.00	1138.97	557.45	1147.02	557.63	0.00	0.00	1012.59	-91.71	0	1	1	2	-1	-1	-6.72	41.28	655.91	41.22	41.53	648.40	0.02	0.44	-0.90	-0.03	0.42	-0.91	0	 -1	
3020508922	SMP	1	1374.69	549.47	1141.46	546.54	26.46	26.46	5.22	28.47	28.47	5.59	1371.01	561.45	1378.81	561.35	1138.05	557.99	1146.14	558.02	0.00	0.00	1013.54	-93.41	0	1	1	2	-1	-1	-6.53	41.20	655.77	41.36	41.39	647.67	0.02	0.44	-0.90	-0.03	0.42	-0.91	0	 -1	
3020542241	SMP	1	1374.29	550.07	1140.92	547.01	26.22	26.22	5.21	28.52	28.52	5.59	1370.53	562.07	1378.19	561.94	1137.65	558.32	1145.54	558.46	0.00	0.00	1016.64	-93.25	0	1	1	2	-1	-1	-6.42	41.10	656.28	41.51	41.35	648.37	0.01	0.45	-0.90	-0.03	0.41	-0.91	0	 -1	
3020575647	SMP	1	1382.34	551.06	1147.76	547.57	26.31	26.31	5.21	28.51	28.51	5.58	1374.68	562.85	1382.24	563.08	1141.26	558.89	1149.09	559.09	0.00	0.00	668.07	-95.04	0	1	1	2	-1	-1	-7.29	40.97	657.37	40.80	41.26	648.94	-0.15	0.45	-0.88	-0.16	0.42	-0.89	0	 -1	
3020609083	SMP	1	1386.02	551.88	1152.33	548.28	26.04	26.04	5.20	28.58	28.58	5.59	1376.50	563.85	1384.09	563.77	1143.83	559.10	1151.50	559.52	0.00	0.00	427.11	-93.21	0	1	1	2	-1	-1	-7.68	40.83	657.96	40.39	41.30	650.54	-0.23	0.45	-0.86	-0.25	0.40	-0.88	0	 -1	
3020642236	SMP	1	1386.36	552.53	1152.39	548.45	26.17	26.17	5.19	28.47	28.47	5.59	1376.56	564.36	1384.27	564.42	1143.79	559.48	1151.45	559.80	0.00	0.00	420.62	-94.59	0	1	1	2	-1	-1	-7.70	40.70	657.81	40.48	41.32	651.84	-0.24	0.44	-0.86	-0.25	0.41	-0.88	0	 -1	
3020675610	SMP	1	1386.58	553.15	1152.26	548.74	26.31	26.31	5.19	28.50	28.50	5.59	1376.66	565.04	1384.40	564.90	1143.69	559.69	1151.38	560.11	0.00	0.00	419.81	-94.40	0	1	1	2	-1	-1	-7.72	40.59	657.88	40.56	41.32	652.74	-0.24	0.44	-0.86	-0.25	0.41	-0.88	0	 -1	
3020708915	SMP	1	1386.65	553.59	1152.42	548.95	26.11	26.11	5.18	28.60	28.60	5.59	1376.61	565.49	1384.58	565.36	1143.76	559.82	1151.44	560.25	0.00	0.00	415.70	-94.43	0	1	1	2	-1	-1	-7.72	40.40	656.40	40.60	41.35	653.71	-0.24	0.44	-0.86	-0.25	0.41	-0.88	0	 -1	
3020742230	SMP	1	1386.96	553.94	1152.44	548.93	26.21	26.21	5.18	28.49	28.49	5.60	1376.79	565.93	1384.72	565.60	1143.86	559.86	1151.56	560.26	0.00	0.00	415.56	-94.95	0	1	1	2	-1	-1	-7.75	40.29	655.82	40.62	41.39	654.34	-0.25	0.44	-0.86	-0.25	0.41	-0.88	0	 -1	
3020775616	SMP	1	1387.19	553.53	1152.62	548.82	26.14	26.14	5.18	28.59	28.59	5.60	1377.02	565.52	1384.85	565.44	1144.05	559.76	1151.76	560.08	0.00	0.00	415.28	-94.87	0	1	1	2	-1	-1	-7.79	40.37	656.01	40.61	41.45	654.89	-0.25	0.45	-0.86	-0.25	0.41	-0.88	0	 -1	
