## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli3\speed_acc_child_noise_47-[c81394ff-9bac-4c57-a775-70cffe073ef9]\speed_acc_child_noise_47-eye_data.idf
## Date:	17.08.2017 13:24:10
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9747                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_47                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
13037071727	SMP	1	1598.48	689.09	1317.64	726.25	21.34	21.34	3.75	21.10	21.10	3.70	1594.16	700.33	1603.56	700.16	1314.42	737.22	1323.90	737.18	954.88	-7.39	1050.77	168.88	0	1	1	2	-1	-1	-48.25	11.20	596.00	4.59	4.21	595.11	0.09	0.41	-0.91	0.05	0.41	-0.91	0	 -1	
13060895425	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
13060902812	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
13060936077	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
13060969361	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
13061002789	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
13061036028	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
13061069366	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
13061102598	SMP	1	1715.71	756.80	1453.50	724.64	23.96	23.96	4.22	25.12	25.12	4.47	1705.82	759.15	1716.31	759.13	0.00	0.00	1456.02	726.86	559.30	887.64	580.04	879.57	0	1	1	2	-1	-1	-64.92	0.06	557.11	-18.96	5.77	557.64	-0.06	0.08	-0.99	-0.07	0.07	-1.00	0	 -1	
13061135986	SMP	1	1696.65	745.66	1421.97	718.08	24.29	24.29	4.20	25.17	25.17	4.42	1686.51	748.13	1697.26	748.12	1413.40	720.20	1424.33	720.40	554.29	882.15	561.53	880.39	0	1	1	2	-1	-1	-61.44	2.01	556.34	-13.28	6.91	555.86	-0.07	0.08	-0.99	-0.09	0.07	-0.99	0	 -1	
13061169371	SMP	1	1679.09	738.08	1395.58	714.85	24.51	24.51	4.18	25.19	25.19	4.38	1669.08	740.68	1679.70	740.63	1387.12	716.98	1398.02	717.08	554.60	876.13	561.35	882.11	0	1	1	2	-1	-1	-58.45	3.33	557.20	-8.65	7.49	555.75	-0.07	0.09	-0.99	-0.09	0.06	-0.99	0	 -1	
13061202708	SMP	1	1662.14	733.91	1372.20	714.43	25.01	25.01	4.19	25.79	25.79	4.36	1651.81	736.06	1662.58	736.14	1363.43	716.23	1374.54	716.38	547.53	885.57	553.65	893.64	0	1	1	2	-1	-1	-55.38	4.13	556.95	-4.48	7.59	554.27	-0.08	0.07	-0.99	-0.11	0.05	-0.99	0	 -1	
13061235966	SMP	1	1654.69	738.25	1362.83	720.50	24.84	24.84	4.18	25.71	25.71	4.34	1642.19	737.49	1652.90	737.59	1351.82	719.29	1363.01	719.39	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-53.71	3.88	557.26	-2.44	7.04	552.99	-0.17	-0.03	-0.99	-0.19	-0.05	-0.98	0	 -1	
