## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli2\speed_acc_child_noise_50-[6d4fb879-c127-4b75-9c24-49e31164cda8]\speed_acc_child_noise_50-eye_data.idf
## Date:	18.08.2017 11:10:02
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9762                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_50                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4678821020	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
4678848022	SMP	1	1453.15	1038.44	1209.55	1043.37	24.16	24.16	4.73	24.87	24.87	4.68	1443.41	1044.11	1451.61	1044.68	1201.09	1048.73	1209.49	1048.64	422.22	482.89	392.72	529.00	0	1	1	2	-1	-1	-21.05	-57.68	638.47	27.54	-57.65	628.59	-0.20	0.33	-0.92	-0.21	0.30	-0.93	0	 -1	
4678881380	SMP	1	1452.92	1038.46	1209.57	1043.33	24.78	24.78	4.74	24.45	24.45	4.67	1443.36	1044.17	1451.34	1044.56	1200.93	1048.61	1209.35	1048.49	429.69	481.11	387.16	529.32	0	1	1	2	-1	-1	-21.08	-57.84	640.20	27.58	-57.63	628.72	-0.20	0.33	-0.92	-0.22	0.30	-0.93	0	 -1	
4678914688	SMP	1	1452.67	1038.26	1209.07	1043.27	24.26	24.26	4.73	24.76	24.76	4.67	1443.19	1044.05	1451.22	1044.44	1200.73	1048.60	1209.16	1048.47	438.82	477.62	404.32	528.88	0	1	1	2	-1	-1	-21.06	-57.85	640.64	27.63	-57.65	628.88	-0.20	0.33	-0.92	-0.21	0.30	-0.93	0	 -1	
4678947947	SMP	1	1452.05	1043.91	1209.14	1048.15	25.26	25.26	4.75	24.70	24.70	4.67	1442.37	1046.33	1450.71	1046.51	1200.85	1050.56	1209.40	1050.53	439.35	850.19	407.11	810.68	0	1	1	2	-1	-1	-20.87	-58.14	638.93	27.57	-58.00	628.43	-0.20	0.19	-0.96	-0.20	0.19	-0.96	0	 -1	
4678981293	SMP	1	1452.59	1048.46	1209.70	1052.83	24.96	24.96	4.76	24.27	24.27	4.66	1442.52	1048.06	1450.64	1048.32	1201.08	1052.40	1209.59	1052.30	0.00	0.00	386.83	1120.18	0	1	1	2	-1	-1	-20.92	-58.61	640.21	27.53	-58.36	628.41	-0.22	0.08	-0.97	-0.22	0.07	-0.97	0	 -1	
4679014673	SMP	1	1452.59	1048.58	1209.20	1053.08	24.82	24.82	4.77	24.38	24.38	4.65	1442.62	1048.15	1450.83	1048.28	1200.77	1052.48	1209.25	1052.35	0.00	0.00	396.13	1136.15	0	1	1	2	-1	-1	-20.94	-58.58	639.84	27.59	-58.38	628.44	-0.21	0.07	-0.97	-0.21	0.06	-0.98	0	 -1	
4679047950	SMP	1	1452.84	1048.76	1209.21	1053.28	24.76	24.76	4.77	24.20	24.20	4.64	1442.79	1048.30	1450.99	1048.39	1200.69	1052.49	1209.10	1052.38	0.00	0.00	392.37	1155.33	0	1	1	2	-1	-1	-20.97	-58.61	639.83	27.63	-58.41	628.74	-0.22	0.07	-0.97	-0.22	0.06	-0.97	0	 -1	
4679081279	SMP	1	1452.92	1049.01	1209.29	1053.34	25.03	25.03	4.78	24.36	24.36	4.64	1442.91	1048.45	1451.27	1048.56	1200.72	1052.59	1209.11	1052.53	0.00	0.00	385.46	1157.62	0	1	1	2	-1	-1	-20.97	-58.53	638.60	27.64	-58.46	629.00	-0.21	0.07	-0.98	-0.22	0.06	-0.97	0	 -1	
4679114716	SMP	1	1453.13	1049.24	1209.32	1053.60	24.94	24.94	4.78	24.13	24.13	4.62	1443.12	1048.66	1451.46	1048.72	1200.75	1052.78	1209.24	1052.77	0.00	0.00	382.57	1161.19	0	1	1	2	-1	-1	-21.00	-58.52	638.09	27.60	-58.47	628.64	-0.21	0.07	-0.98	-0.22	0.06	-0.97	0	 -1	
4679147939	SMP	1	1453.58	1049.45	1209.63	1053.69	25.16	25.16	4.79	24.22	24.22	4.62	1443.44	1049.03	1451.65	1049.09	1200.94	1053.00	1209.46	1052.94	0.00	0.00	374.98	1160.02	0	1	1	2	-1	-1	-21.06	-58.63	638.50	27.56	-58.49	628.45	-0.22	0.07	-0.97	-0.22	0.06	-0.97	0	 -1	
4679181288	SMP	1	1453.84	1049.82	1209.91	1053.99	24.94	24.94	4.79	24.00	24.00	4.60	1443.81	1049.36	1452.02	1049.46	1201.19	1053.29	1209.64	1053.19	0.00	0.00	368.67	1160.84	0	1	1	2	-1	-1	-21.13	-58.69	638.40	27.51	-58.53	628.33	-0.21	0.07	-0.97	-0.22	0.06	-0.97	0	 -1	
4679214573	SMP	1	1454.27	1050.15	1209.88	1054.24	25.06	25.06	4.80	24.20	24.20	4.60	1444.15	1049.57	1452.45	1049.65	1201.48	1053.46	1209.97	1053.37	0.00	0.00	376.72	1163.15	0	1	1	2	-1	-1	-21.19	-58.68	637.79	27.44	-58.55	628.12	-0.21	0.07	-0.97	-0.21	0.06	-0.98	0	 -1	
4679247915	SMP	1	1454.62	1050.28	1210.32	1054.13	24.87	24.87	4.79	24.04	24.04	4.59	1444.55	1049.72	1452.83	1049.68	1201.75	1053.56	1210.27	1053.47	0.00	0.00	371.13	1160.01	0	1	1	2	-1	-1	-21.26	-58.66	637.39	27.37	-58.54	627.80	-0.21	0.07	-0.97	-0.22	0.07	-0.97	0	 -1	
4679281257	SMP	1	1456.47	1050.69	1212.61	1054.51	25.04	25.04	4.79	24.35	24.35	4.59	1445.84	1050.06	1454.05	1050.15	1203.08	1053.81	1211.65	1053.72	0.00	0.00	307.20	1160.91	0	1	1	2	-1	-1	-21.51	-58.73	637.29	27.07	-58.54	627.29	-0.24	0.07	-0.97	-0.25	0.06	-0.97	0	 -1	
