## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli3\speed_acc_child_noise_6-[030caaa5-a92b-42e4-a2e0-67bca293eb5f]\speed_acc_child_noise_6-eye_data.idf
## Date:	20.07.2017 09:25:44
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9740                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_6                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
88244831189	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
88244849556	SMP	1	1333.78	811.19	1097.09	837.27	24.08	24.08	4.97	23.83	23.83	4.93	1333.47	811.43	1340.59	811.32	1099.34	838.08	1106.23	838.04	1531.25	845.51	1553.01	925.10	0	1	1	2	-1	-1	1.41	-11.30	686.85	53.05	-17.32	695.09	0.14	0.02	-0.99	0.18	0.06	-0.98	0	 -1	
88244882863	SMP	1	1334.38	811.48	1097.38	837.50	24.06	24.06	4.97	23.43	23.43	4.93	1333.93	811.64	1341.17	811.63	1099.73	838.35	1106.85	838.34	1529.04	849.09	1554.08	924.52	0	1	1	2	-1	-1	1.29	-11.35	686.17	52.82	-17.34	693.52	0.14	0.02	-0.99	0.19	0.06	-0.98	0	 -1	
88244916203	SMP	1	1334.83	811.63	1097.98	837.89	23.85	23.85	4.96	23.71	23.71	4.93	1334.45	811.97	1341.66	811.91	1100.15	838.48	1107.07	838.46	1529.22	850.16	1543.40	933.83	0	1	1	2	-1	-1	1.18	-11.40	685.82	52.83	-17.39	694.54	0.14	0.03	-0.99	0.18	0.05	-0.98	0	 -1	
88244949532	SMP	1	1335.35	811.99	1098.06	837.86	23.97	23.97	4.95	23.57	23.57	4.93	1334.74	812.42	1341.95	812.37	1100.36	838.57	1107.20	838.52	1520.01	849.34	1541.29	935.43	0	1	1	2	-1	-1	1.12	-11.50	685.45	52.84	-17.43	695.16	0.13	0.03	-0.99	0.18	0.06	-0.98	0	 -1	
88244982859	SMP	1	1335.63	812.18	1098.43	838.09	23.74	23.74	4.94	23.61	23.61	4.93	1335.22	812.56	1342.31	812.56	1100.57	838.72	1107.63	838.59	1519.50	850.08	1534.84	942.89	0	1	1	2	-1	-1	1.03	-11.54	685.85	52.65	-17.41	693.71	0.14	0.03	-0.99	0.18	0.05	-0.98	0	 -1	
88245016192	SMP	1	1335.86	812.25	1098.72	838.30	23.60	23.60	4.92	23.46	23.46	4.92	1335.54	812.59	1342.71	812.62	1100.99	839.02	1107.97	838.92	1519.70	849.74	1534.07	943.58	0	1	1	2	-1	-1	0.95	-11.54	685.46	52.58	-17.49	693.81	0.14	0.03	-0.99	0.19	0.05	-0.98	0	 -1	
88245049531	SMP	1	1336.58	812.46	1099.14	838.75	23.63	23.63	4.91	23.53	23.53	4.92	1336.10	812.76	1343.28	812.71	1101.38	839.45	1108.29	839.37	1515.84	850.59	1529.07	945.53	0	1	1	2	-1	-1	0.83	-11.57	685.24	52.54	-17.59	694.25	0.14	0.03	-0.99	0.18	0.05	-0.98	0	 -1	
88245082853	SMP	1	1337.48	812.43	1099.85	838.81	23.76	23.76	4.90	23.17	23.17	4.91	1336.92	812.89	1344.05	812.86	1102.08	839.68	1109.05	839.52	1510.57	849.92	1526.34	944.58	0	1	1	2	-1	-1	0.66	-11.60	685.38	52.33	-17.62	693.70	0.13	0.04	-0.99	0.18	0.06	-0.98	0	 -1	
88245116192	SMP	1	1341.48	807.32	1104.78	834.01	23.40	23.40	4.89	23.90	23.90	4.92	1338.94	810.41	1346.18	810.41	1105.07	837.20	1112.20	837.20	1228.57	602.42	1269.61	665.99	0	1	1	2	-1	-1	0.20	-11.06	684.84	51.56	-17.06	692.33	0.05	0.15	-0.99	0.10	0.17	-0.98	0	 -1	
88245149602	SMP	1	1345.80	803.62	1108.95	830.02	23.57	23.57	4.88	23.70	23.70	4.92	1341.37	808.63	1348.44	808.58	1107.52	835.41	1114.53	835.33	969.58	442.21	1042.03	424.58	0	1	1	2	-1	-1	-0.31	-10.67	685.27	51.04	-16.66	692.50	-0.04	0.24	-0.97	0.02	0.26	-0.96	0	 -1	
88245182823	SMP	1	1346.53	803.59	1109.14	829.65	23.57	23.57	4.87	23.61	23.61	4.92	1342.08	808.84	1349.11	808.74	1107.53	835.34	1114.52	835.24	967.35	430.52	1029.55	406.23	0	1	1	2	-1	-1	-0.46	-10.72	685.83	51.04	-16.64	692.47	-0.04	0.25	-0.97	0.02	0.28	-0.96	0	 -1	
88245216173	SMP	1	1346.85	803.76	1109.05	829.75	23.78	23.78	4.88	23.86	23.86	4.93	1342.25	809.11	1349.39	809.06	1107.30	835.30	1114.33	835.30	962.30	422.68	1018.65	406.56	0	1	1	2	-1	-1	-0.50	-10.78	685.68	51.06	-16.64	692.11	-0.04	0.25	-0.97	0.01	0.27	-0.96	0	 -1	
88245249500	SMP	1	1346.99	803.91	1108.77	829.71	23.62	23.62	4.87	23.73	23.73	4.93	1342.39	809.27	1349.51	809.27	1107.06	835.25	1114.27	835.30	959.12	417.90	1019.69	406.10	0	1	1	2	-1	-1	-0.53	-10.83	685.87	50.96	-16.59	690.30	-0.05	0.25	-0.97	0.02	0.27	-0.96	0	 -1	
88245282823	SMP	1	1347.04	804.06	1108.52	829.78	23.77	23.77	4.87	23.90	23.90	4.93	1342.40	809.42	1349.54	809.40	1106.91	835.35	1114.14	835.28	956.48	415.64	1023.19	407.04	0	1	1	2	-1	-1	-0.54	-10.86	685.87	50.91	-16.57	689.14	-0.05	0.25	-0.97	0.02	0.27	-0.96	0	 -1	
