## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-stimuli4\speed_acc_child_noise_8-[b005fdb4-0c75-4f71-a07c-f9c0f1321477]\speed_acc_child_noise_8-eye_data.idf
## Date:	20.07.2017 13:26:48
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9685                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	speed_acc_child_noise_8                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
102709796271	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
102709798439	SMP	1	1426.15	767.10	1178.79	745.19	24.33	24.33	4.59	22.40	22.40	4.42	1424.73	766.79	1433.31	766.88	1182.61	745.14	1190.46	745.14	1537.93	1131.25	1572.55	1156.05	0	1	1	2	-1	-1	-17.00	-1.46	627.18	32.72	2.99	657.58	0.14	-0.01	-0.99	0.28	-0.01	-0.96	0	 -1	
102709831661	SMP	1	1427.23	767.29	1179.81	745.45	24.42	24.42	4.59	22.48	22.48	4.43	1425.81	767.10	1434.40	767.13	1183.68	745.35	1191.37	745.30	1540.57	1128.98	1574.21	1156.36	0	1	1	2	-1	-1	-17.21	-1.51	626.84	32.54	2.96	657.98	0.14	0.00	-0.99	0.28	-0.01	-0.96	0	 -1	
102709864992	SMP	1	1428.44	767.54	1180.86	745.46	24.50	24.50	4.59	22.57	22.57	4.43	1426.89	767.25	1435.50	767.27	1184.72	745.52	1192.43	745.42	1540.68	1130.59	1574.71	1155.20	0	1	1	2	-1	-1	-17.42	-1.54	626.41	32.33	2.93	658.09	0.14	-0.01	-0.99	0.28	0.00	-0.96	0	 -1	
102709898362	SMP	1	1429.26	767.84	1181.85	746.07	24.45	24.45	4.59	22.42	22.42	4.43	1427.89	767.56	1436.50	767.58	1185.68	746.01	1193.47	745.91	1542.74	1131.75	1575.75	1158.13	0	1	1	2	-1	-1	-17.60	-1.60	626.05	32.11	2.83	657.91	0.15	-0.01	-0.99	0.28	-0.01	-0.96	0	 -1	
102709931670	SMP	1	1430.23	768.24	1182.71	746.88	24.55	24.55	4.60	22.40	22.40	4.43	1428.86	767.95	1437.42	768.00	1186.63	746.85	1194.37	746.78	1545.19	1132.10	1577.66	1157.93	0	1	1	2	-1	-1	-17.79	-1.68	625.89	31.92	2.65	657.98	0.15	-0.01	-0.99	0.29	-0.01	-0.96	0	 -1	
102709964993	SMP	1	1431.29	768.05	1183.62	747.35	24.59	24.59	4.60	22.46	22.46	4.43	1429.70	767.70	1438.30	767.78	1187.36	747.19	1195.17	747.15	1543.99	1133.43	1577.48	1160.39	0	1	1	2	-1	-1	-17.95	-1.64	625.60	31.74	2.57	657.65	0.14	-0.01	-0.99	0.28	-0.01	-0.96	0	 -1	
102709998353	SMP	1	1430.89	767.18	1183.05	746.05	24.57	24.57	4.60	22.43	22.43	4.43	1429.33	766.95	1437.92	767.03	1186.99	745.96	1194.82	745.94	1543.68	1132.47	1581.25	1160.40	0	1	1	2	-1	-1	-17.87	-1.49	625.43	31.80	2.82	657.35	0.14	-0.01	-0.99	0.29	-0.01	-0.96	0	 -1	
102710031663	SMP	1	1429.35	766.64	1181.63	743.49	24.69	24.69	4.61	22.67	22.67	4.44	1427.68	766.25	1436.32	766.26	1185.51	743.47	1193.28	743.38	1541.29	1133.38	1582.28	1159.93	0	1	1	2	-1	-1	-17.54	-1.34	625.11	32.11	3.35	657.25	0.13	-0.01	-0.99	0.28	-0.01	-0.96	0	 -1	
102710064995	SMP	1	1427.24	765.38	1179.65	740.78	24.69	24.69	4.61	22.44	22.44	4.44	1425.74	765.25	1434.33	765.26	1183.55	740.69	1191.29	740.66	1542.17	1130.47	1583.28	1161.30	0	1	1	2	-1	-1	-17.15	-1.14	624.99	32.53	3.92	657.29	0.14	0.00	-0.99	0.28	-0.01	-0.96	0	 -1	
102710098320	SMP	1	1423.69	761.63	1176.01	736.37	24.86	24.86	4.62	22.62	22.62	4.44	1422.21	761.52	1430.85	761.49	1179.96	736.42	1187.77	736.37	1543.56	1129.10	1585.19	1160.29	0	1	1	2	-1	-1	-16.45	-0.40	624.69	33.25	4.81	656.93	0.14	0.00	-0.99	0.29	-0.01	-0.96	0	 -1	
102710131667	SMP	1	1415.95	755.36	1168.58	731.89	24.56	24.56	4.62	22.66	22.66	4.45	1414.60	755.19	1423.25	755.18	1172.54	731.95	1180.28	731.86	1546.17	1128.09	1585.81	1158.33	0	1	1	2	-1	-1	-14.93	0.85	624.38	34.81	5.75	657.00	0.14	-0.01	-0.99	0.28	-0.01	-0.96	0	 -1	
