## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-adult\11_02_04-[d3319ba7-ccbe-41f0-9323-cbe08f38a97c]\11_02_04-eye_data.idf
## Date:	02.11.2016 16:15:14
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	16183                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	11_02_04                                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
15533243136	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
15533276510	SMP	1	1602.31	713.05	1282.68	755.08	19.54	19.54	3.68	20.44	20.44	3.91	1589.79	712.93	1598.33	712.63	1274.06	754.20	1282.31	754.16	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-49.70	9.27	625.60	13.20	1.08	637.61	-0.26	-0.02	-0.97	-0.20	-0.04	-0.98	0	 -1	
15533309697	SMP	1	1602.04	713.00	1282.21	755.07	19.09	19.09	3.65	20.36	20.36	3.89	1589.50	712.72	1597.83	712.55	1273.53	754.17	1281.89	754.08	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-49.97	9.36	630.05	13.25	1.08	635.36	-0.27	-0.03	-0.96	-0.20	-0.04	-0.98	0	 -1	
15533343044	SMP	1	1601.35	712.23	1281.92	754.95	18.90	18.90	3.62	20.53	20.53	3.90	1589.05	712.43	1597.53	712.35	1273.21	753.96	1281.58	753.95	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-49.82	9.40	629.05	13.30	1.12	634.53	-0.25	-0.01	-0.97	-0.21	-0.04	-0.98	0	 -1	
15533376366	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
15533409695	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
15533443002	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
15533476347	SMP	1	0.00	0.00	1278.86	747.13	0.00	0.00	0.00	19.24	19.24	3.83	0.00	0.00	0.00	0.00	1270.77	750.76	1279.07	750.85	0.00	0.00	246.19	642.00	0	0	1	1	-1	-1	0.00	0.00	0.00	13.80	1.75	634.79	0.00	0.00	0.00	-0.18	0.15	-0.97	0	 -1	
15533509665	SMP	1	0.00	0.00	1277.46	748.58	0.00	0.00	0.00	19.61	19.61	3.81	0.00	0.00	0.00	0.00	1270.55	751.89	1279.00	751.93	0.00	0.00	319.86	659.42	0	0	1	1	-1	-1	0.00	0.00	0.00	13.81	1.52	633.62	0.00	0.00	0.00	-0.13	0.13	-0.98	0	 -1	
15533542992	SMP	1	0.00	0.00	1277.79	749.54	0.00	0.00	0.00	20.56	20.56	3.83	0.00	0.00	0.00	0.00	1270.70	752.64	1279.12	752.72	0.00	0.00	312.50	673.06	0	0	1	1	-1	-1	0.00	0.00	0.00	13.77	1.37	633.18	0.00	0.00	0.00	-0.14	0.13	-0.98	0	 -1	
