## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-adult-order2\11_02_06-[e273a4dd-1133-4845-9872-4dd120bc9088]\11_02_06-eye_data.idf
## Date:	02.11.2016 17:04:38
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15951                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	11_02_06                                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
18497707336	SMP	1	1601.50	763.28	1270.10	769.19	17.19	17.19	3.01	17.13	17.13	3.00	1602.65	764.80	1612.52	764.73	1271.65	770.61	1281.52	770.59	946.54	753.31	711.94	777.95	0	1	1	2	-1	-1	-48.56	-0.97	579.98	12.47	-2.07	587.79	0.30	0.06	-0.95	0.23	0.06	-0.97	0	 -1	
18497740662	SMP	1	1601.98	763.48	1270.44	769.38	17.36	17.36	3.01	17.20	17.20	3.01	1602.97	764.99	1612.94	764.94	1272.10	770.71	1281.76	770.72	944.26	751.63	710.77	777.42	0	1	1	2	-1	-1	-48.60	-1.00	579.73	12.41	-2.09	588.09	0.30	0.06	-0.95	0.23	0.05	-0.97	0	 -1	
18497773991	SMP	1	1602.74	763.51	1271.31	769.13	17.31	17.31	3.02	17.16	17.16	3.01	1603.57	764.94	1613.48	764.93	1272.67	770.64	1282.56	770.58	941.13	750.81	708.21	774.87	0	1	1	2	-1	-1	-48.71	-1.00	579.74	12.26	-2.07	587.05	0.29	0.06	-0.95	0.22	0.06	-0.97	0	 -1	
18497807304	SMP	1	1603.09	763.47	1271.52	769.24	17.35	17.35	3.02	17.14	17.14	3.01	1603.77	764.99	1613.73	764.92	1272.83	770.67	1282.70	770.59	937.67	749.10	705.92	773.98	0	1	1	2	-1	-1	-48.73	-1.00	579.54	12.22	-2.07	586.54	0.29	0.06	-0.96	0.22	0.06	-0.97	0	 -1	
18497840703	SMP	1	1602.92	763.33	1271.50	769.11	17.28	17.28	3.02	17.45	17.45	3.02	1603.69	764.92	1613.61	764.77	1272.81	770.52	1282.68	770.47	936.20	748.37	704.35	774.42	0	1	1	2	-1	-1	-48.71	-0.98	579.48	12.22	-2.04	586.01	0.29	0.06	-0.95	0.22	0.06	-0.97	0	 -1	
18497874037	SMP	1	1602.63	763.24	1271.29	769.01	17.52	17.52	3.02	17.08	17.08	3.02	1603.34	764.77	1613.28	764.73	1272.56	770.51	1282.45	770.47	933.79	748.11	702.70	774.09	0	1	1	2	-1	-1	-48.64	-0.96	579.39	12.25	-2.04	585.39	0.29	0.06	-0.96	0.22	0.06	-0.97	0	 -1	
18497907300	SMP	1	1602.29	763.11	1271.00	769.00	17.43	17.43	3.03	17.27	17.27	3.02	1602.97	764.58	1612.94	764.56	1272.40	770.51	1281.98	770.50	931.74	747.54	700.89	772.85	0	1	1	2	-1	-1	-48.56	-0.93	579.22	12.33	-2.05	586.62	0.29	0.06	-0.96	0.21	0.06	-0.97	0	 -1	
18497940630	SMP	1	1601.92	762.94	1270.67	769.19	17.62	17.62	3.03	17.27	17.27	3.02	1602.71	764.45	1612.57	764.44	1272.00	770.55	1281.78	770.52	930.57	746.82	699.29	773.17	0	1	1	2	-1	-1	-48.52	-0.91	579.38	12.37	-2.05	585.88	0.29	0.06	-0.96	0.22	0.05	-0.98	0	 -1	
18497974019	SMP	1	1601.58	762.88	1270.37	769.28	17.39	17.39	3.03	17.28	17.28	3.03	1602.27	764.37	1612.24	764.37	1271.63	770.58	1281.53	770.57	928.49	746.31	697.67	773.33	0	1	1	2	-1	-1	-48.43	-0.89	579.24	12.41	-2.05	584.99	0.29	0.06	-0.96	0.21	0.05	-0.98	0	 -1	
18498007294	SMP	1	1601.42	763.01	1270.26	769.31	17.32	17.32	3.03	17.27	17.27	3.03	1602.05	764.43	1612.12	764.39	1271.48	770.65	1281.26	770.66	926.75	746.87	695.73	773.21	0	1	1	2	-1	-1	-48.37	-0.90	578.87	12.45	-2.07	585.24	0.29	0.05	-0.96	0.21	0.05	-0.98	0	 -1	
