## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-adult-order2\11_02_07-[6af0123a-f9b8-4229-9123-4f80b49ae372]\11_02_07-eye_data.idf
## Date:	02.11.2016 17:36:16
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15933                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	11_02_07                                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
20395480763	SMP	1	1510.10	969.72	0.00	0.00	23.89	23.89	4.44	0.00	0.00	0.00	1512.25	971.32	1523.36	971.58	0.00	0.00	0.00	0.00	909.90	642.96	0.00	0.00	0	1	0	1	-1	-1	-29.97	-36.45	542.32	0.00	0.00	0.00	0.32	0.12	-0.94	0.00	0.00	0.00	0	 -1	
20395513896	SMP	1	1509.51	968.51	1190.74	1040.01	26.16	26.16	4.41	24.73	24.73	4.32	1511.64	972.19	1522.73	972.37	1193.02	1044.38	1203.11	1043.57	905.57	513.93	840.29	493.80	0	1	1	2	-1	-1	-29.90	-36.64	543.04	26.00	-50.88	563.99	0.32	0.19	-0.93	0.22	0.23	-0.95	0	 -1	
20395547230	SMP	1	1508.58	969.12	1190.10	1040.49	26.13	26.13	4.39	25.03	25.03	4.32	1510.89	972.85	1522.09	973.13	1192.27	1044.74	1202.22	1044.00	909.45	510.50	840.89	492.80	0	1	1	2	-1	-1	-29.79	-36.78	543.26	26.52	-51.67	571.95	0.32	0.20	-0.92	0.22	0.23	-0.95	0	 -1	
20395580563	SMP	1	1508.29	969.55	1189.64	1040.79	26.34	26.34	4.37	25.09	25.09	4.33	1510.57	973.46	1521.70	973.65	1191.87	1044.99	1201.79	1044.39	909.83	506.00	842.92	491.29	0	1	1	2	-1	-1	-29.76	-36.92	543.88	26.71	-51.95	574.39	0.32	0.20	-0.92	0.22	0.23	-0.95	0	 -1	
20395613844	SMP	1	1507.99	969.96	1189.34	1041.17	26.22	26.22	4.36	25.18	25.18	4.33	1510.41	973.85	1521.58	973.99	1191.56	1045.23	1201.64	1044.36	912.34	504.78	844.17	496.55	0	1	1	2	-1	-1	-29.76	-37.01	544.22	26.64	-51.75	571.99	0.33	0.20	-0.92	0.23	0.22	-0.95	0	 -1	
20395647168	SMP	1	1508.35	970.41	1189.53	1041.12	26.41	26.41	4.35	25.14	25.14	4.33	1510.69	974.22	1521.78	974.37	1191.70	1045.29	1201.93	1044.58	912.56	504.98	844.32	496.21	0	1	1	2	-1	-1	-29.83	-37.11	544.81	26.46	-51.51	569.07	0.32	0.20	-0.92	0.23	0.23	-0.95	0	 -1	
20395680509	SMP	1	1508.92	970.39	1189.97	1040.94	26.37	26.37	4.35	25.16	25.16	4.32	1511.24	974.21	1522.45	974.29	1192.15	1045.05	1202.41	1044.31	913.23	505.33	844.64	498.07	0	1	1	2	-1	-1	-29.94	-37.11	544.89	26.36	-51.43	568.67	0.33	0.20	-0.92	0.23	0.22	-0.95	0	 -1	
20395713838	SMP	1	1509.83	970.51	1190.74	1040.74	26.63	26.63	4.35	25.17	25.17	4.32	1512.05	974.26	1522.99	974.33	1192.89	1044.84	1203.20	1044.25	911.97	506.28	844.66	498.17	0	1	1	2	-1	-1	-30.12	-37.19	545.96	26.19	-51.35	568.00	0.32	0.20	-0.93	0.23	0.23	-0.95	0	 -1	
20395747148	SMP	1	1510.59	970.44	1191.51	1040.31	26.42	26.42	4.35	25.12	25.12	4.32	1512.90	974.22	1523.89	974.33	1193.65	1044.42	1204.01	1043.85	912.44	506.21	844.72	498.40	0	1	1	2	-1	-1	-30.30	-37.22	546.46	26.03	-51.23	567.50	0.32	0.20	-0.93	0.23	0.23	-0.95	0	 -1	
20395780473	SMP	1	1511.42	970.72	1192.22	1040.34	26.49	26.49	4.36	25.22	25.22	4.31	1513.74	974.61	1524.39	974.87	1194.35	1044.40	1204.75	1043.89	911.85	503.89	844.78	498.98	0	1	1	2	-1	-1	-30.56	-37.48	549.14	25.88	-51.19	567.04	0.32	0.21	-0.93	0.23	0.22	-0.95	0	 -1	
