## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-adult-order2\11_10_04-[856d8211-349b-4857-82be-e441824c8339]\11_10_04-eye_data.idf
## Date:	10.11.2016 16:21:39
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15858                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	11_10_04                                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
8513594433	SMP	1	1554.11	701.92	1312.43	708.44	19.95	19.95	4.24	21.29	21.29	4.51	1548.68	705.45	1555.46	705.55	1307.93	711.68	1314.51	711.67	341.24	407.20	296.36	469.06	0	1	1	2	-1	-1	-46.33	12.00	700.64	7.28	10.79	711.21	-0.03	0.15	-0.99	-0.07	0.13	-0.99	0	 -1	
8513627784	SMP	1	1554.11	702.21	1312.42	708.66	20.31	20.31	4.24	21.28	21.28	4.52	1548.66	705.54	1555.39	705.67	1307.88	711.89	1314.46	711.89	340.87	410.82	295.63	471.07	0	1	1	2	-1	-1	-46.36	11.98	701.15	7.29	10.74	711.57	-0.03	0.14	-0.99	-0.07	0.13	-0.99	0	 -1	
8513661086	SMP	1	1554.05	702.32	1312.23	708.67	20.20	20.20	4.25	21.25	21.25	4.52	1548.54	705.76	1555.35	705.76	1307.77	712.00	1314.38	712.01	341.04	411.69	295.20	471.57	0	1	1	2	-1	-1	-46.34	11.95	701.24	7.32	10.72	711.74	-0.03	0.14	-0.99	-0.06	0.14	-0.99	0	 -1	
8513694360	SMP	1	1554.08	702.64	1312.22	708.61	20.24	20.24	4.25	21.27	21.27	4.52	1548.59	706.11	1555.38	705.95	1307.85	712.05	1314.43	712.00	341.23	412.78	295.76	471.84	0	1	1	2	-1	-1	-46.37	11.89	701.42	7.31	10.72	712.17	-0.03	0.14	-0.99	-0.06	0.14	-0.99	0	 -1	
8513727722	SMP	1	1554.16	702.44	1312.19	708.58	20.32	20.32	4.26	21.28	21.28	4.53	1548.60	706.02	1555.43	705.91	1307.92	711.94	1314.46	711.97	340.81	410.55	296.97	470.70	0	1	1	2	-1	-1	-46.37	11.91	701.35	7.30	10.75	712.73	-0.03	0.14	-0.99	-0.06	0.14	-0.99	0	 -1	
8513761018	SMP	1	1554.14	702.32	1312.47	708.49	20.43	20.43	4.26	21.14	21.14	4.53	1548.72	705.67	1555.51	705.74	1308.00	711.81	1314.61	711.84	341.44	412.86	296.00	471.12	0	1	1	2	-1	-1	-46.41	11.97	701.60	7.28	10.78	712.76	-0.03	0.14	-0.99	-0.06	0.14	-0.99	0	 -1	
8513794422	SMP	1	1554.11	702.02	1312.31	708.17	20.20	20.20	4.26	21.16	21.16	4.52	1548.69	705.47	1555.47	705.56	1307.86	711.54	1314.51	711.58	341.74	411.13	296.45	470.41	0	1	1	2	-1	-1	-46.41	12.02	701.78	7.30	10.84	712.68	-0.03	0.14	-0.99	-0.06	0.14	-0.99	0	 -1	
8513827729	SMP	1	1554.13	702.12	1312.40	708.27	20.29	20.29	4.27	21.33	21.33	4.53	1548.72	705.49	1555.58	705.60	1308.03	711.66	1314.67	711.68	342.52	412.51	297.14	469.95	0	1	1	2	-1	-1	-46.41	12.00	701.45	7.26	10.81	712.72	-0.03	0.14	-0.99	-0.06	0.14	-0.99	0	 -1	
8513861048	SMP	1	1554.35	702.18	1312.55	708.30	20.40	20.40	4.27	21.39	21.39	4.54	1548.77	705.59	1555.67	705.67	1308.10	711.69	1314.78	711.71	342.57	413.59	297.28	469.41	0	1	1	2	-1	-1	-46.40	11.98	701.09	7.24	10.80	712.52	-0.03	0.14	-0.99	-0.06	0.14	-0.99	0	 -1	
8513894368	SMP	1	1554.60	702.45	1312.87	708.49	20.51	20.51	4.28	21.41	21.41	4.54	1549.08	705.98	1555.91	705.98	1308.33	711.96	1314.95	711.95	342.74	413.18	296.01	468.16	0	1	1	2	-1	-1	-46.46	11.90	701.12	7.20	10.75	712.71	-0.03	0.14	-0.99	-0.07	0.14	-0.99	0	 -1	
