## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-adult-order2\11_02_02-[cbb7191a-0313-419b-a3a2-ece000214c83]\11_02_02-eye_data.idf
## Date:	02.11.2016 15:27:26
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15726                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	11_02_02                                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1024	768
## Calibration Point 0:	Position(51;38)
## Calibration Point 1:	Position(973;730)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
12665035691	SMP	1	1475.04	1009.01	1235.83	1004.81	19.90	19.90	4.82	19.74	19.74	4.78	1471.52	1010.50	1476.38	1010.68	1233.50	1006.53	1238.46	1006.54	409.33	543.98	466.00	593.31	0	1	1	2	-1	-1	-34.05	-65.54	823.12	28.06	-64.47	822.95	-0.02	0.16	-0.99	-0.03	0.17	-0.99	0	 -1	
12665069011	SMP	1	1474.93	1009.08	1235.69	1004.93	20.11	20.11	4.85	19.92	19.92	4.81	1471.43	1010.60	1476.22	1010.65	1233.36	1006.70	1238.36	1006.68	413.33	547.02	467.14	589.82	0	1	1	2	-1	-1	-34.10	-65.72	825.22	28.08	-64.50	822.78	-0.02	0.16	-0.99	-0.02	0.17	-0.98	0	 -1	
12665102291	SMP	1	1474.85	1008.88	1235.67	1004.95	20.35	20.35	4.89	20.22	20.22	4.85	1471.29	1010.62	1476.15	1010.72	1233.39	1007.00	1238.31	1006.99	415.90	522.52	467.74	560.35	0	1	1	2	-1	-1	-34.08	-65.74	825.30	28.10	-64.62	823.24	-0.02	0.17	-0.98	-0.02	0.19	-0.98	0	 -1	
12665135607	SMP	1	1474.59	1008.75	1235.43	1005.10	20.65	20.65	4.93	20.09	20.09	4.87	1470.70	1010.45	1475.57	1010.56	1233.10	1006.89	1238.04	1006.84	404.02	523.36	465.96	585.75	0	1	1	2	-1	-1	-33.95	-65.75	825.99	28.17	-64.58	823.24	-0.04	0.17	-0.98	-0.03	0.17	-0.98	0	 -1	
12665168988	SMP	1	1474.65	1008.62	1235.37	1005.03	20.69	20.69	4.97	20.24	20.24	4.90	1470.77	1010.44	1475.55	1010.53	1233.16	1006.89	1238.07	1006.92	398.55	513.45	471.45	576.77	0	1	1	2	-1	-1	-34.05	-65.91	828.10	28.17	-64.61	823.52	-0.04	0.18	-0.98	-0.02	0.18	-0.98	0	 -1	
12665202274	SMP	1	1474.41	1008.79	1235.26	1005.16	20.67	20.67	5.00	20.35	20.35	4.92	1470.58	1010.48	1475.52	1010.53	1232.78	1006.94	1237.75	1006.90	406.59	521.46	469.06	585.02	0	1	1	2	-1	-1	-33.96	-65.81	826.72	28.25	-64.60	823.26	-0.03	0.17	-0.98	-0.03	0.17	-0.98	0	 -1	
12665235608	SMP	1	1474.67	1009.03	1235.52	1005.12	20.89	20.89	5.04	20.67	20.67	4.96	1470.93	1010.56	1475.73	1010.67	1233.35	1007.11	1238.20	1007.15	405.82	531.50	473.25	567.28	0	1	1	2	-1	-1	-34.13	-66.02	828.95	28.15	-64.73	824.21	-0.03	0.16	-0.99	-0.02	0.18	-0.98	0	 -1	
12665268935	SMP	1	1474.65	1008.97	1235.45	1005.16	20.77	20.77	5.07	20.82	20.82	5.00	1470.92	1010.53	1475.63	1010.60	1233.28	1006.98	1238.15	1006.93	402.71	532.44	473.88	581.72	0	1	1	2	-1	-1	-34.22	-66.22	831.63	28.19	-64.72	824.74	-0.03	0.16	-0.99	-0.02	0.17	-0.98	0	 -1	
12665302276	SMP	1	1474.81	1009.03	1235.74	1005.08	20.83	20.83	5.09	21.02	21.02	5.04	1471.05	1010.53	1475.96	1010.65	1233.36	1006.85	1238.25	1006.93	404.33	536.72	470.89	582.88	0	1	1	2	-1	-1	-34.20	-66.07	829.71	28.18	-64.73	825.08	-0.03	0.16	-0.99	-0.03	0.17	-0.98	0	 -1	
12665335589	SMP	1	1474.54	1008.79	1235.44	1005.11	21.08	21.08	5.12	21.09	21.09	5.07	1470.64	1010.55	1475.55	1010.59	1232.86	1006.97	1237.94	1006.98	398.30	523.75	468.97	580.22	0	1	1	2	-1	-1	-34.10	-66.07	829.86	28.22	-64.62	823.41	-0.04	0.17	-0.98	-0.04	0.18	-0.98	0	 -1	
12665368922	SMP	1	1474.48	1009.04	1235.31	1005.26	21.17	21.17	5.15	21.01	21.01	5.09	1470.56	1010.51	1475.53	1010.59	1232.80	1006.99	1237.81	1007.07	395.94	534.35	467.66	584.04	0	1	1	2	-1	-1	-34.05	-65.99	828.86	28.24	-64.62	823.21	-0.04	0.16	-0.99	-0.03	0.17	-0.98	0	 -1	
12665402305	SMP	1	1473.98	1009.07	1234.75	1005.27	21.05	21.05	5.17	21.12	21.12	5.12	1470.40	1010.65	1475.41	1010.74	1232.51	1007.48	1237.45	1007.44	404.52	528.68	471.05	556.91	0	1	1	2	-1	-1	-33.96	-65.94	827.76	28.34	-64.77	823.61	-0.02	0.17	-0.99	-0.02	0.19	-0.98	0	 -1	
12665435583	SMP	1	1473.72	1008.94	1234.52	1005.23	21.01	21.01	5.18	21.15	21.15	5.14	1470.11	1010.56	1475.06	1010.79	1232.40	1007.40	1237.36	1007.41	403.63	522.24	474.38	549.71	0	1	1	2	-1	-1	-33.87	-65.91	827.42	28.36	-64.74	823.47	-0.02	0.17	-0.98	-0.01	0.19	-0.98	0	 -1	
12665468910	SMP	1	1473.59	1008.97	1234.45	1005.43	21.21	21.21	5.20	20.96	20.96	5.15	1469.83	1010.58	1474.68	1010.68	1232.23	1007.37	1237.09	1007.36	397.90	524.81	472.11	569.07	0	1	1	2	-1	-1	-33.83	-66.00	828.68	28.45	-64.80	824.43	-0.03	0.17	-0.99	-0.02	0.18	-0.98	0	 -1	
12665502243	SMP	1	1473.14	1008.61	1233.98	1005.20	21.13	21.13	5.21	21.08	21.08	5.17	1469.54	1010.50	1474.50	1010.57	1231.67	1007.32	1236.63	1007.26	406.63	511.10	471.48	553.13	0	1	1	2	-1	-1	-33.72	-65.87	827.38	28.57	-64.75	824.01	-0.02	0.18	-0.98	-0.02	0.19	-0.98	0	 -1	
12665535569	SMP	1	1472.53	1008.17	1233.42	1004.65	21.17	21.17	5.22	20.81	20.81	5.16	1469.03	1010.33	1474.03	1010.27	1231.46	1006.64	1236.44	1006.61	415.06	479.70	480.90	559.46	0	1	1	2	-1	-1	-33.55	-65.73	826.42	28.62	-64.56	823.80	-0.01	0.19	-0.98	-0.01	0.18	-0.98	0	 -1	
12665568901	SMP	1	1472.50	1008.20	1233.26	1004.67	21.09	21.09	5.23	20.90	20.90	5.17	1468.96	1010.40	1473.82	1010.42	1231.35	1006.83	1236.33	1006.84	414.88	454.37	488.31	542.50	0	1	1	2	-1	-1	-33.56	-65.85	827.53	28.64	-64.60	823.54	-0.02	0.20	-0.98	0.00	0.19	-0.98	0	 -1	
12665602226	SMP	1	1472.43	1008.01	1233.26	1004.70	20.93	20.93	5.22	20.84	20.84	5.17	1468.99	1010.23	1473.97	1010.23	1231.35	1006.79	1236.29	1006.75	424.42	448.64	491.95	546.52	0	1	1	2	-1	-1	-33.51	-65.66	825.81	28.65	-64.59	823.70	-0.01	0.20	-0.98	0.00	0.19	-0.98	0	 -1	
12665635562	SMP	1	1472.18	1007.88	1232.99	1004.70	21.05	21.05	5.22	20.85	20.85	5.17	1468.68	1009.97	1473.80	1010.10	1231.08	1006.96	1236.09	1006.86	428.99	453.39	497.92	535.22	0	1	1	2	-1	-1	-33.33	-65.39	822.98	28.68	-64.57	822.91	-0.01	0.19	-0.98	0.00	0.20	-0.98	0	 -1	
12665668889	SMP	1	1472.51	1007.97	1233.23	1004.68	21.06	21.06	5.22	20.84	20.84	5.17	1469.05	1010.10	1474.00	1010.08	1231.30	1006.90	1236.23	1006.83	431.01	453.85	498.91	533.19	0	1	1	2	-1	-1	-33.45	-65.49	824.07	28.64	-64.58	823.22	-0.01	0.19	-0.98	-0.01	0.19	-0.98	0	 -1	
12665702219	SMP	1	1472.57	1007.94	1233.26	1004.70	20.88	20.88	5.21	20.65	20.65	5.16	1469.28	1010.22	1474.16	1010.26	1231.35	1006.82	1236.29	1006.71	437.62	439.46	502.61	536.35	0	1	1	2	-1	-1	-33.53	-65.57	824.65	28.63	-64.55	823.16	-0.01	0.20	-0.98	0.00	0.19	-0.98	0	 -1	
12665735553	SMP	1	1473.02	1008.32	1233.73	1004.69	21.15	21.15	5.22	20.93	20.93	5.16	1469.61	1010.43	1474.54	1010.56	1231.70	1007.10	1236.66	1007.00	438.38	444.46	501.83	523.00	0	1	1	2	-1	-1	-33.61	-65.61	824.33	28.53	-64.62	823.05	-0.01	0.19	-0.98	-0.01	0.20	-0.98	0	 -1	
