## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order4\speed-acc-child-gaze-2-[071510f1-4672-4378-96d2-2d78ff7d043b]\speed-acc-child-gaze-2-eye_data.idf
## Date:	12.07.2017 10:38:11
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10937                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-2                                                                                                                                                                                                                                          
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
17632416633	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
17632419205	SMP	1	1252.59	1017.45	0.00	0.00	25.79	25.79	5.14	0.00	0.00	0.00	1259.52	1020.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	16.48	-53.86	649.80	0.00	0.00	0.00	0.43	0.21	-0.88	0.00	0.00	0.00	0	 -1	
17632452545	SMP	1	1250.61	1017.14	0.00	0.00	26.04	26.04	5.15	0.00	0.00	0.00	1257.36	1020.39	1264.64	1020.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	17.36	-54.91	663.61	0.00	0.00	0.00	0.42	0.21	-0.88	0.00	0.00	0.00	0	 -1	
17632485864	SMP	1	1247.71	1016.81	0.00	0.00	25.78	25.78	5.13	0.00	0.00	0.00	1254.74	1020.12	1262.65	1020.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	17.52	-53.89	651.79	0.00	0.00	0.00	0.44	0.21	-0.87	0.00	0.00	0.00	0	 -1	
17632519227	SMP	1	1245.62	1016.23	0.00	0.00	26.17	26.17	5.08	0.00	0.00	0.00	1252.33	1019.48	1261.24	1019.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	16.87	-50.65	613.76	0.00	0.00	0.00	0.42	0.21	-0.88	0.00	0.00	0.00	0	 -1	
17632552544	SMP	1	1242.77	1013.65	0.00	0.00	26.29	26.29	5.07	0.00	0.00	0.00	1249.99	1018.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	18.04	-52.24	637.13	0.00	0.00	0.00	0.44	0.25	-0.86	0.00	0.00	0.00	0	 -1	
17632585859	SMP	1	1241.83	1013.59	0.00	0.00	26.06	26.06	5.05	0.00	0.00	0.00	1249.02	1018.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	18.05	-51.74	631.19	0.00	0.00	0.00	0.44	0.25	-0.86	0.00	0.00	0.00	0	 -1	
17632619152	SMP	1	1241.47	1013.49	0.00	0.00	25.93	25.93	5.03	0.00	0.00	0.00	1248.76	1017.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	18.28	-52.15	636.59	0.00	0.00	0.00	0.44	0.25	-0.86	0.00	0.00	0.00	0	 -1	
17632652495	SMP	1	1241.74	1013.21	0.00	0.00	26.22	26.22	5.01	0.00	0.00	0.00	1248.85	1017.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	17.80	-50.92	622.21	0.00	0.00	0.00	0.44	0.24	-0.87	0.00	0.00	0.00	0	 -1	
17632686139	SMP	1	1241.80	1012.94	0.00	0.00	26.14	26.14	5.03	0.00	0.00	0.00	1248.91	1017.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	18.58	-52.86	646.75	0.00	0.00	0.00	0.44	0.25	-0.86	0.00	0.00	0.00	0	 -1	
