## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-child-gaze-order2\speed-acc-child-gaze-3-[2458078e-588c-41ba-83be-1785859d86cb]\speed-acc-child-gaze-3-eye_data.idf
## Date:	12.07.2017 13:44:51
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10826                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	speed-acc-child-gaze-3                                                                                                                                                                                                                                          
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
20603675005	SMP	1	1626.48	786.15	1361.15	780.77	22.92	22.92	4.27	22.08	22.08	4.12	1620.56	790.46	1629.17	790.61	1356.67	785.33	1365.26	785.31	1011.27	628.66	718.08	558.11	0	1	1	2	-1	-1	-55.43	-6.12	621.40	-3.46	-5.12	625.38	0.02	0.19	-0.98	0.00	0.19	-0.98	0	 -1	
20625952784	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
20625972771	SMP	1	1594.98	784.93	1329.84	792.04	27.31	27.31	4.98	26.90	26.90	4.98	1591.94	788.32	1600.78	788.40	1328.45	795.42	1337.11	795.35	1251.49	687.90	1229.88	729.29	0	1	1	2	-1	-1	-49.25	-5.62	614.37	2.12	-7.11	624.63	0.13	0.15	-0.98	0.12	0.15	-0.98	0	 -1	
20626006028	SMP	1	1594.96	784.86	1329.52	792.02	27.39	27.39	4.99	26.81	26.81	4.99	1591.74	788.23	1600.61	788.32	1328.32	795.41	1336.94	795.31	1247.81	688.98	1230.65	729.30	0	1	1	2	-1	-1	-49.21	-5.61	614.35	2.15	-7.10	624.51	0.12	0.14	-0.98	0.12	0.15	-0.98	0	 -1	
20626039355	SMP	1	1594.70	784.75	1329.43	792.14	27.28	27.28	5.00	26.93	26.93	5.00	1591.70	788.21	1600.51	788.30	1328.16	795.48	1336.79	795.35	1249.49	688.34	1230.97	730.37	0	1	1	2	-1	-1	-49.22	-5.60	614.57	2.18	-7.11	624.32	0.13	0.15	-0.98	0.12	0.14	-0.98	0	 -1	
20626072680	SMP	1	1594.65	784.79	1329.32	792.24	27.35	27.35	5.01	26.98	26.98	5.01	1591.60	788.14	1600.43	788.25	1328.02	795.47	1336.61	795.43	1249.27	689.38	1230.16	732.50	0	1	1	2	-1	-1	-49.20	-5.59	614.62	2.21	-7.12	624.26	0.13	0.14	-0.98	0.12	0.14	-0.98	0	 -1	
20626106070	SMP	1	1594.64	784.82	1329.20	792.14	27.56	27.56	5.03	27.08	27.08	5.02	1591.53	788.17	1600.38	788.28	1327.91	795.51	1336.51	795.43	1246.92	688.41	1230.63	732.90	0	1	1	2	-1	-1	-49.19	-5.60	614.62	2.23	-7.12	624.20	0.13	0.14	-0.98	0.12	0.15	-0.98	0	 -1	
20626139350	SMP	1	1594.67	784.87	1329.22	792.14	27.45	27.45	5.03	26.92	26.92	5.02	1591.62	788.25	1600.44	788.31	1327.97	795.56	1336.55	795.51	1245.60	687.84	1231.31	732.08	0	1	1	2	-1	-1	-49.21	-5.61	614.70	2.22	-7.13	624.18	0.13	0.14	-0.98	0.12	0.15	-0.98	0	 -1	
20626172648	SMP	1	1594.84	785.02	1329.47	792.39	27.58	27.58	5.05	27.00	27.00	5.03	1591.71	788.34	1600.65	788.41	1328.07	795.67	1336.74	795.65	1244.64	688.47	1230.42	733.45	0	1	1	2	-1	-1	-49.22	-5.63	614.41	2.19	-7.15	623.89	0.13	0.14	-0.98	0.12	0.14	-0.98	0	 -1	
20626205998	SMP	1	1595.23	785.12	1329.58	792.53	27.58	27.58	5.05	27.10	27.10	5.03	1591.97	788.51	1600.88	788.58	1328.26	795.85	1336.86	795.83	1241.47	688.67	1229.84	733.53	0	1	1	2	-1	-1	-49.25	-5.66	614.21	2.16	-7.19	623.89	0.12	0.14	-0.98	0.12	0.14	-0.98	0	 -1	
20626239320	SMP	1	1595.25	785.53	1329.59	792.73	27.47	27.47	5.06	27.13	27.13	5.04	1592.25	788.77	1601.07	788.88	1328.30	796.11	1336.95	796.06	1243.46	689.84	1229.99	732.44	0	1	1	2	-1	-1	-49.31	-5.71	614.43	2.15	-7.24	623.74	0.13	0.14	-0.98	0.12	0.15	-0.98	0	 -1	
20626272637	SMP	1	1595.22	785.81	1329.77	793.03	27.32	27.32	5.06	27.00	27.00	5.04	1592.34	789.18	1601.12	789.17	1328.33	796.35	1337.02	796.29	1246.29	690.10	1227.66	733.91	0	1	1	2	-1	-1	-49.35	-5.79	614.66	2.14	-7.28	623.46	0.14	0.14	-0.98	0.11	0.14	-0.98	0	 -1	
20626306002	SMP	1	1595.43	786.01	1329.82	793.26	27.55	27.55	5.06	26.89	26.89	5.04	1592.53	789.46	1601.32	789.47	1328.49	796.55	1337.13	796.52	1248.01	689.14	1227.37	734.59	0	1	1	2	-1	-1	-49.40	-5.84	614.84	2.11	-7.32	623.33	0.14	0.15	-0.98	0.12	0.14	-0.98	0	 -1	
20626339316	SMP	1	1595.68	786.17	1329.94	793.30	27.45	27.45	5.07	26.85	26.85	5.04	1592.61	789.53	1601.54	789.62	1328.79	796.70	1337.33	796.65	1247.68	689.11	1229.60	733.63	0	1	1	2	-1	-1	-49.40	-5.86	614.51	2.06	-7.35	623.56	0.13	0.14	-0.98	0.12	0.15	-0.98	0	 -1	
20626372643	SMP	1	1596.02	786.15	1330.36	793.36	27.37	27.37	5.06	27.05	27.05	5.04	1593.04	789.60	1601.92	789.63	1329.02	796.79	1337.64	796.75	1250.94	687.93	1227.31	732.37	0	1	1	2	-1	-1	-49.47	-5.87	614.44	2.01	-7.37	623.49	0.13	0.15	-0.98	0.12	0.15	-0.98	0	 -1	
20626405987	SMP	1	1596.32	786.42	1330.51	793.44	27.32	27.32	5.06	27.01	27.01	5.04	1593.42	789.65	1602.19	789.74	1329.23	796.83	1337.88	796.79	1252.73	690.73	1227.39	731.37	0	1	1	2	-1	-1	-49.57	-5.89	614.82	1.97	-7.38	623.39	0.13	0.14	-0.98	0.12	0.15	-0.98	0	 -1	
20626439309	SMP	1	1596.54	786.68	1330.86	793.54	27.41	27.41	5.06	26.92	26.92	5.04	1593.62	789.89	1602.50	790.00	1329.53	796.97	1338.18	796.91	1255.14	692.33	1226.99	729.25	0	1	1	2	-1	-1	-49.60	-5.93	614.56	1.91	-7.40	623.24	0.14	0.14	-0.98	0.12	0.15	-0.98	0	 -1	
20626472672	SMP	1	1597.15	786.88	1331.28	793.90	27.49	27.49	5.07	26.98	26.98	5.04	1594.05	790.31	1602.89	790.26	1329.93	797.15	1338.59	797.12	1253.40	691.39	1226.45	730.97	0	1	1	2	-1	-1	-49.68	-6.00	614.55	1.83	-7.44	623.07	0.13	0.15	-0.98	0.12	0.14	-0.98	0	 -1	
20626505977	SMP	1	1601.51	788.52	1335.29	795.45	27.59	27.59	5.07	27.16	27.16	5.04	1596.47	791.10	1605.30	791.19	1332.24	798.08	1340.96	798.05	999.98	759.41	1013.29	780.74	0	1	1	2	-1	-1	-50.15	-6.17	614.63	1.36	-7.62	622.79	0.05	0.11	-0.99	0.05	0.12	-0.99	0	 -1	
20626539293	SMP	1	1612.04	794.56	1347.53	801.62	27.06	27.06	5.06	27.06	27.06	5.05	1602.67	794.28	1611.39	794.35	1339.98	801.44	1348.69	801.52	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-51.39	-6.79	615.10	-0.16	-8.29	622.54	-0.12	0.00	-0.99	-0.13	0.01	-0.99	0	 -1	
