subid,tr.num,condition,dot,gender,age,notes,order,keep,reason_excluded,response,response_onset_type,rt,shift_type,shift_accuracy
10_20_01,1,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,center.fixation,0.10000000000000009,D_T,incorrect
10_20_01,1,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.863,C_T,correct
10_20_01,1,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.43000000000000016,T_C,incorrect
10_20_01,2,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,0.133,C_T,correct
10_20_01,2,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.677,C_D,incorrect
10_20_01,2,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.5030000000000001,T_C,incorrect
10_20_01,3,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,0.19999999999999996,C_D,incorrect
10_20_01,3,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,noun,NA,no_shift,NA
10_20_01,3,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,sentence,0.133,D_C,incorrect
10_20_01,4,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,2.9,C_T,correct
10_20_01,4,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.81,C_T,correct
10_20_01,4,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.77,C_T,correct
10_20_01,5,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,2.867,C_T,correct
10_20_01,5,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.6869999999999998,C_T,correct
10_20_01,5,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.597,C_T,correct
10_20_01,6,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,0.10000000000000009,C_D,incorrect
10_20_01,6,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.71,C_T,correct
10_20_01,6,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,sentence,0.6700000000000002,D_C,incorrect
10_20_01,7,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,center.fixation,0.16700000000000004,T_C,incorrect
10_20_01,7,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.6970000000000001,C_T,correct
10_20_01,7,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.4370000000000003,C_T,correct
10_20_01,8,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,center.fixation,0.2669999999999999,D_C,incorrect
10_20_01,8,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.7770000000000001,C_T,correct
10_20_01,8,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,sentence,0.137,D_C,incorrect
10_20_01,9,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,center.fixation,0.2669999999999999,T_D,incorrect
10_20_01,9,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.6970000000000001,C_T,correct
10_20_01,9,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.09699999999999998,T_D,incorrect
10_20_01,10,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,center.fixation,0.7330000000000001,T_C,incorrect
10_20_01,10,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.6629999999999998,C_T,correct
10_20_01,10,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.20300000000000007,T_C,incorrect
10_20_01,11,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,2.867,C_T,correct
10_20_01,11,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.6869999999999998,C_T,correct
10_20_01,11,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.597,C_T,correct
10_20_01,12,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,center.fixation,0.19999999999999996,D_T,incorrect
10_20_01,12,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.9629999999999996,C_T,correct
10_20_01,12,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.06300000000000017,T_C,incorrect
10_20_01,13,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,center.fixation,0.30000000000000004,T_C,incorrect
10_20_01,13,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.0900000000000003,C_D,incorrect
10_20_01,13,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.1,C_D,incorrect
10_20_01,14,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,2.967,C_T,correct
10_20_01,14,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.4570000000000003,C_T,correct
10_20_01,14,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.467,C_T,correct
10_20_01,15,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,center.fixation,0.4670000000000001,T_C,incorrect
10_20_01,15,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.7970000000000002,C_T,correct
10_20_01,15,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.29700000000000015,T_C,incorrect
10_20_01,16,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,center.fixation,0.567,T_C,incorrect
10_20_01,16,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.5869999999999997,C_T,correct
10_20_01,16,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.29699999999999993,T_C,incorrect
10_20_01,17,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,0.2330000000000001,C_T,correct
10_20_01,17,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.8600000000000003,C_T,correct
10_20_01,17,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.43699999999999983,T_D,incorrect
10_20_01,18,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,center.fixation,0.2330000000000001,D_C,incorrect
