subid,left_dev_x,left_dev_y,right_dev_x,right_dev_y
speed_acc_adult_ng_1,0.3005,0.1704,0.1662,0.2657
speed_acc_adult_ng_10,0.3991,0.2486,0.2684,0.6711
speed_acc_adult_ng_11,0.4121,0.0770,0.3144,0.9592
speed_acc_adult_ng_12,0.3751,0.4373,0.3295,0.8458
speed_acc_adult_ng_13,0.1838,0.7999,0.4122,0.6898
speed_acc_adult_ng_14,0.2956,0.2828,0.2741,0.2054
speed_acc_adult_ng_15,0.3235,0.7642,0.2913,0.7633
speed_acc_adult_ng_16,0.1489,0.2237,0.4001,0.3713
speed_acc_adult_ng_17,0.1923,0.7632,0.4894,0.5949
speed_acc_adult_ng_18,0.3223,0.4369,0.3544,0.2178
speed_acc_adult_ng_19,0.3020,0.3674,0.2972,0.1504
speed_acc_adult_ng_2,0.2794,0.0981,0.5637,0.2547
speed_acc_adult_ng_20,0.1226,0.1981,0.1193,0.2603
speed_acc_adult_ng_21,0.3846,0.2217,0.1799,0.2137
speed_acc_adult_ng_22,0.2226,0.1011,0.1927,0.1071
speed_acc_adult_ng_23,0.3787,0.4641,0.2761,0.4506
speed_acc_adult_ng_24,0.4934,0.4286,0.1697,0.0661
speed_acc_adult_ng_25,0.2727,0.1721,0.2520,0.6068
speed_acc_adult_ng_26,0.9814,0.2705,0.2899,0.2800
speed_acc_adult_ng_27,0.3434,0.1822,0.2409,0.5404
speed_acc_adult_ng_28,0.6064,0.2130,0.1583,0.5997
speed_acc_adult_ng_29,0.4492,0.5300,0.5587,0.3083
speed_acc_adult_ng_3,0.8125,0.5355,0.9266,0.4741
speed_acc_adult_ng_30,0.2612,0.3328,0.6696,0.5861
speed_acc_adult_ng_31,0.3528,0.5389,0.2126,0.4281
speed_acc_adult_ng_32,0.3893,0.1337,0.4029,0.3052
speed_acc_adult_ng_33,0.3028,0.2876,0.2367,0.8392
speed_acc_adult_ng_34,0.1712,0.6335,0.6184,0.6405
speed_acc_adult_ng_4,0.2525,0.1862,0.1932,0.2005
speed_acc_adult_ng_5,0.6084,0.5396,0.2720,0.3529
speed_acc_adult_ng_6,0.2537,0.4346,0.2139,0.1789
speed_acc_adult_ng_7,0.2992,0.4636,0.3920,0.5889
speed_acc_adult_ng_9,0.5294,0.6860,0.6835,1.0886
