subid,left_dev_x,left_dev_y,right_dev_x,right_dev_y
speed_acc_child_noise_10,1.0827,1.2960,1.0563,1.4112
speed_acc_child_noise_11,0.1674,0.1919,0.1897,0.2070
speed_acc_child_noise_12,3.2179,5.5419,1.2232,4.3850
speed_acc_child_noise_13,0.3014,0.1756,0.4280,0.1717
speed_acc_child_noise_14,0.2882,0.2618,0.1586,0.2681
speed_acc_child_noise_15,0.2867,0.4559,0.3593,0.2918
speed_acc_child_noise_16,0.5716,1.1318,0.4950,1.2295
speed_acc_child_noise_17,0.9453,1.0229,0.2372,0.6436
speed_acc_child_noise_18,0.3245,0.2503,0.6538,0.2981
speed_acc_child_noise_19,0.5996,0.3134,0.6628,0.2638
speed_acc_child_noise_2,0.2031,0.2443,0.1192,0.6267
speed_acc_child_noise_20,0.3100,0.2472,0.5270,0.3631
speed_acc_child_noise_21,0.1856,0.2406,0.2482,0.5706
speed_acc_child_noise_22,0.1027,0.3372,0.3677,0.1068
speed_acc_child_noise_23,4.5505,1.6698,0.4437,0.4994
speed_acc_child_noise_24,0.1893,0.5025,0.5637,0.3240
speed_acc_child_noise_25,0.2435,0.2539,0.2439,0.2178
speed_acc_child_noise_26,0.1302,0.2630,0.2686,0.2515
speed_acc_child_noise_27,0.1449,0.1469,0.3350,0.2299
speed_acc_child_noise_28,0.3805,0.2953,0.3284,0.4190
speed_acc_child_noise_29,0.4461,0.3800,4.6057,2.4281
speed_acc_child_noise_3,0.1843,0.0944,0.1217,0.1609
speed_acc_child_noise_30,0.3012,0.4429,0.1751,0.8074
speed_acc_child_noise_31,0.3567,0.3426,0.5878,0.2993
speed_acc_child_noise_32,0.4157,0.3929,0.4576,0.3516
speed_acc_child_noise_33,0.3234,0.2194,0.5094,0.4238
speed_acc_child_noise_34,0.3845,0.5936,0.1379,0.5392
speed_acc_child_noise_35,0.4648,0.1294,0.0676,0.4233
speed_acc_child_noise_36,0.7463,2.0154,0.1821,0.1743
speed_acc_child_noise_37,0.4133,0.1940,0.2985,0.3638
speed_acc_child_noise_38,0.3597,0.4285,0.2320,0.6441
speed_acc_child_noise_39,1.4627,0.9609,0.2558,0.2767
speed_acc_child_noise_4,0.1561,0.3138,0.3476,0.2476
speed_acc_child_noise_40,0.1956,0.1743,0.3683,0.5673
speed_acc_child_noise_41,0.3163,0.5192,0.2304,0.5722
speed_acc_child_noise_42,0.1970,0.4330,0.1990,0.5238
speed_acc_child_noise_43,0.2359,0.2405,0.5295,0.1811
speed_acc_child_noise_44,0.8749,0.6222,0.6314,0.3638
speed_acc_child_noise_45,0.3056,1.3834,0.4589,0.4617
speed_acc_child_noise_46,0.6377,0.2885,0.4400,1.2604
speed_acc_child_noise_47,0.5802,0.4386,0.4218,0.1897
speed_acc_child_noise_48,0.2205,0.3674,0.1798,0.4117
speed_acc_child_noise_49,0.3240,0.1735,0.2094,0.2330
speed_acc_child_noise_5,0.3091,0.3501,0.1234,0.2699
speed_acc_child_noise_50,0.2324,0.3048,0.2606,0.2018
speed_acc_child_noise_6,0.6390,0.8858,0.5613,0.6984
speed_acc_child_noise_7,0.1763,0.6146,0.2333,0.5290
speed_acc_child_noise_8,0.2426,0.2844,0.3651,0.4818
speed_acc_child_noise_9,0.1569,0.1440,0.2634,0.2218
