subid,tr.num,condition_long,correct,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
6,15,gaze_clear,0,0.07500000000000018,gaze_clear,0.08,guess,0,0.020000000000000018,cs,0.5
7,2,gaze_clear,0,0.11000000000000032,gaze_clear,0.11,guess,0,0.030000000000000027,cs,0.49
4,7,gaze_clear,0,0.13699999999999957,gaze_clear,0.14,guess,0,0.040000000000000036,cs,0.49
11,31,gaze_clear,1,0.14199999999999946,gaze_clear,0.14,guess,0,0.040000000000000036,cs,0.49
13,32,gaze_clear,1,0.2029999999999994,gaze_clear,0.2,guess,0,0.030000000000000027,cs,0.5
10,51,gaze_clear,1,0.20599999999999952,gaze_clear,0.21,guess,0,0.040000000000000036,cs,0.5
6,2,gaze_clear,1,0.2060000000000004,gaze_clear,0.21,guess,0,0.030000000000000027,cs,0.51
10,63,gaze_clear,1,0.2400000000000002,gaze_clear,0.24,guess,0,0.030000000000000027,cs,0.51
12,39,gaze_clear,1,0.24299999999999944,gaze_clear,0.24,guess,0,0.020000000000000018,cs,0.52
10,64,gaze_clear,1,0.24300000000000033,gaze_clear,0.24,guess,0,0.030000000000000027,cs,0.52
12,38,gaze_clear,0,0.2730000000000006,gaze_clear,0.27,guess,0,0.040000000000000036,cs,0.51
13,29,gaze_clear,1,0.30100000000000016,gaze_clear,0.3,guess,0,0.030000000000000027,cs,0.52
12,44,gaze_clear,1,0.3019999999999996,gaze_clear,0.3,guess,0,0.030000000000000027,cs,0.52
4,11,gaze_clear,1,0.30900000000000016,gaze_clear,0.31,guess,0,0.020000000000000018,cs,0.53
13,30,gaze_clear,1,0.3100000000000005,gaze_clear,0.31,guess,0,0.020000000000000018,cs,0.53
8,6,gaze_clear,1,0.33399999999999963,gaze_clear,0.33,guess,0,0.020000000000000018,cs,0.54
12,43,gaze_clear,0,0.33699999999999974,gaze_clear,0.34,guess,0,0.030000000000000027,cs,0.53
8,1,gaze_clear,1,0.3390000000000004,gaze_clear,0.34,guess,0,0.020000000000000018,cs,0.54
12,41,gaze_clear,1,0.3410000000000002,gaze_clear,0.34,guess,0,0.020000000000000018,cs,0.54
12,48,gaze_clear,1,0.3410000000000002,gaze_clear,0.34,guess,0,0.010000000000000009,cs,0.55
13,24,gaze_clear,1,0.34199999999999964,gaze_clear,0.34,guess,0,0.010000000000000009,cs,0.55
5,11,gaze_clear,1,0.34199999999999964,gaze_clear,0.34,guess,0,0,cs,0.56
11,18,gaze_clear,1,0.3420000000000005,gaze_clear,0.34,guess,0,0,cs,0.56
9,59,gaze_clear,1,0.367,gaze_clear,0.37,guess,0,0,cs,0.57
5,15,gaze_clear,1,0.36799999999999944,gaze_clear,0.37,guess,0,0,cs,0.57
10,49,gaze_clear,1,0.3689999999999998,gaze_clear,0.37,guess,0,0,cs,0.57
11,27,gaze_clear,1,0.37100000000000044,gaze_clear,0.37,response,1,0.010000000000000009,cs,0.58
10,52,gaze_clear,1,0.40000000000000036,gaze_clear,0.4,response,1,0.010000000000000009,cs,0.58
6,7,gaze_clear,1,0.4009999999999998,gaze_clear,0.4,response,1,0.020000000000000018,cs,0.59
9,62,gaze_clear,1,0.40199999999999925,gaze_clear,0.4,response,1,0.020000000000000018,cs,0.59
6,16,gaze_clear,1,0.4039999999999999,gaze_clear,0.4,response,1,0.020000000000000018,cs,0.59
7,3,gaze_clear,0,0.40700000000000003,gaze_clear,0.41,response,1,0.020000000000000018,cs,0.59
5,14,gaze_clear,0,0.4090000000000007,gaze_clear,0.41,response,1,0.010000000000000009,cs,0.58
10,60,gaze_clear,1,0.4349999999999996,gaze_clear,0.43,response,1,0.020000000000000018,cs,0.59
10,62,gaze_clear,1,0.4399999999999995,gaze_clear,0.44,response,1,0.010000000000000009,cs,0.59
9,54,gaze_clear,1,0.4399999999999995,gaze_clear,0.44,response,1,0.020000000000000018,cs,0.6
4,5,gaze_clear,1,0.44200000000000017,gaze_clear,0.44,response,1,0.020000000000000018,cs,0.6
4,6,gaze_clear,1,0.44200000000000017,gaze_clear,0.44,response,1,0.020000000000000018,cs,0.6
4,10,gaze_clear,1,0.44200000000000017,gaze_clear,0.44,response,1,0.030000000000000027,cs,0.61
6,6,gaze_clear,0,0.44200000000000017,gaze_clear,0.44,response,1,0.020000000000000018,cs,0.6
7,8,gaze_clear,1,0.44200000000000017,gaze_clear,0.44,response,1,0.030000000000000027,cs,0.61
8,2,gaze_clear,1,0.44200000000000017,gaze_clear,0.44,response,1,0.030000000000000027,cs,0.61
8,14,gaze_clear,1,0.44200000000000017,gaze_clear,0.44,response,1,0.030000000000000027,cs,0.61
