Sub.Num,Tr.Num,stimuli,age_code,correct,Months,clean_target_img,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
30069,29,ASL,adult,1,295,kitty,0.033,ASL,0.03,guess,0,0.010000000000000009,cs,0.5
30074,20,ASL,adult,1,324,birdy,0.033,ASL,0.03,guess,0,0,cs,0.51
30074,34,ASL,adult,1,324,car,0.033,ASL,0.03,guess,0,0.010000000000000009,cs,0.51
30075,30,ASL,adult,1,358,teddy,0.033,ASL,0.03,guess,0,0,cs,0.52
30069,36,ASL,adult,1,295,ball,0.067,ASL,0.07,guess,0,0,cs,0.52
30074,15,ASL,adult,1,324,birdy,0.067,ASL,0.07,response,1,0.010000000000000009,cs,0.53
30075,29,ASL,adult,1,358,kitty,0.067,ASL,0.07,guess,0,0,cs,0.53
30075,31,ASL,adult,1,358,birdy,0.067,ASL,0.07,response,1,0.010000000000000009,cs,0.54
30022,24,ASL,adult,1,350,cup,0.1,ASL,0.1,response,1,0.010000000000000009,cs,0.54
30069,21,ASL,adult,1,295,book,0.1,ASL,0.1,response,1,0.020000000000000018,cs,0.55
30069,26,ASL,adult,1,295,shoe,0.1,ASL,0.1,response,1,0.020000000000000018,cs,0.55
30074,35,ASL,adult,1,324,doll,0.1,ASL,0.1,response,1,0.030000000000000027,cs,0.56
30075,15,ASL,adult,1,358,birdy,0.1,ASL,0.1,response,1,0.030000000000000027,cs,0.56
30059,10,ASL,adult,1,575,sock,0.133,ASL,0.13,response,1,0.029999999999999916,cs,0.57
30069,23,ASL,adult,1,295,teddy,0.133,ASL,0.13,response,1,0.029999999999999916,cs,0.57
30074,33,ASL,adult,1,324,shoe,0.133,ASL,0.13,response,1,0.029999999999999916,cs,0.57
30059,34,ASL,adult,1,575,shoe,0.167,ASL,0.17,response,1,0.039999999999999925,cs,0.58
30060,33,ASL,adult,1,246,ball,0.167,ASL,0.17,response,1,0.039999999999999925,cs,0.58
