subid,tr.num,noise_condition,correct,age,age_group,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
46,3,clear,0,1836,5,bunny,0.034999999999999254,clear,0.03,guess,0,0.010000000000000009,cs,0.5
43,31,clear,1,1413,3,juice,0.03599999999999959,clear,0.04,guess,0,0.010000000000000009,cs,0.5
2,28,clear,0,1810,4,juice,0.036000000000000476,clear,0.04,guess,0,0.020000000000000018,cs,0.5
18,16,clear,0,1603,4,bunny,0.03699999999999992,clear,0.04,guess,0,0.030000000000000027,cs,0.49
22,4,clear,1,1866,5,ball,0.03699999999999992,clear,0.04,guess,0,0.020000000000000018,cs,0.5
15,32,clear,0,1325,3,bottle,0.038000000000000256,clear,0.04,guess,0,0.030000000000000027,cs,0.49
21,4,clear,1,1701,4,cookie,0.04300000000000015,clear,0.04,guess,0,0.030000000000000027,cs,0.5
49,18,clear,0,1626,4,cookie,0.04300000000000015,clear,0.04,guess,0,0.040000000000000036,cs,0.49
21,13,clear,0,1701,4,bottle,0.06699999999999928,clear,0.07,guess,0,0.040000000000000036,cs,0.49
21,1,clear,0,1701,4,chicken,0.06799999999999962,clear,0.07,guess,0,0.050000000000000044,cs,0.48
6,10,clear,0,1669,4,juice,0.06899999999999995,clear,0.07,guess,0,0.050000000000000044,cs,0.48
35,23,clear,1,1833,5,bunny,0.07099999999999973,clear,0.07,guess,0,0.050000000000000044,cs,0.48
11,15,clear,0,1695,4,chicken,0.07200000000000006,clear,0.07,guess,0,0.050000000000000044,cs,0.48
1,26,clear,1,1770,4,ball,0.07500000000000018,clear,0.08,guess,0,0.06000000000000005,cs,0.48
18,2,clear,0,1603,4,juice,0.07500000000000018,clear,0.08,guess,0,0.06000000000000005,cs,0.48
20,16,clear,1,2088,5,ball,0.07500000000000018,clear,0.08,guess,0,0.06000000000000005,cs,0.48
37,10,clear,0,1882,5,ball,0.07500000000000018,clear,0.08,guess,0,0.06000000000000005,cs,0.48
20,11,clear,0,2088,5,bottle,0.09999999999999964,clear,0.1,guess,0,0.07000000000000006,cs,0.47
6,13,clear,1,1669,4,bottle,0.09999999999999964,clear,0.1,guess,0,0.06000000000000005,cs,0.48
13,3,clear,0,1282,3,shoe,0.10099999999999998,clear,0.1,guess,0,0.07000000000000006,cs,0.47
33,12,clear,0,1870,5,shoe,0.10099999999999998,clear,0.1,guess,0,0.07000000000000006,cs,0.47
42,30,clear,0,1151,3,shoe,0.10099999999999998,clear,0.1,guess,0,0.08000000000000002,cs,0.46
18,6,clear,1,1603,4,juice,0.10200000000000031,clear,0.1,guess,0,0.07000000000000006,cs,0.47
46,5,clear,1,1836,5,shoe,0.10200000000000031,clear,0.1,guess,0,0.07000000000000006,cs,0.47
34,24,clear,1,1289,3,juice,0.10299999999999976,clear,0.1,guess,0,0.06000000000000005,cs,0.48
18,1,clear,0,1603,4,ball,0.10400000000000009,clear,0.1,guess,0,0.08000000000000007,cs,0.47
35,22,clear,1,1833,5,bunny,0.10400000000000009,clear,0.1,guess,0,0.07000000000000006,cs,0.48
45,10,clear,0,1957,5,chicken,0.10400000000000009,clear,0.1,guess,0,0.07000000000000006,cs,0.48
36,4,clear,0,1160,3,chicken,0.10499999999999954,clear,0.1,guess,0,0.08000000000000007,cs,0.47
48,30,clear,1,1946,5,bottle,0.10499999999999954,clear,0.1,guess,0,0.07000000000000006,cs,0.48
50,20,clear,0,1693,4,bottle,0.10499999999999954,clear,0.1,guess,0,0.08000000000000007,cs,0.47
21,9,clear,1,1701,4,boat,0.1070000000000002,clear,0.11,guess,0,0.07000000000000006,cs,0.48
37,15,clear,0,1882,5,boat,0.1070000000000002,clear,0.11,guess,0,0.08000000000000007,cs,0.47
21,7,clear,0,1701,4,shoe,0.13399999999999945,clear,0.13,guess,0,0.08000000000000007,cs,0.47
21,10,clear,0,1701,4,bottle,0.13399999999999945,clear,0.13,guess,0,0.09000000000000002,cs,0.46
46,4,clear,1,1836,5,ball,0.13399999999999945,clear,0.13,guess,0,0.08000000000000007,cs,0.47
43,18,clear,0,1413,3,shoe,0.1349999999999998,clear,0.13,guess,0,0.09000000000000002,cs,0.46
21,8,clear,0,1701,4,bunny,0.13700000000000045,clear,0.14,guess,0,0.09000000000000002,cs,0.46
2,30,clear,0,1810,4,bottle,0.1379999999999999,clear,0.14,guess,0,0.10000000000000003,cs,0.45
22,13,clear,1,1866,5,cookie,0.1379999999999999,clear,0.14,guess,0,0.09000000000000002,cs,0.46
33,15,clear,1,1870,5,ball,0.14199999999999946,clear,0.14,guess,0,0.09000000000000002,cs,0.46
50,24,clear,0,1693,4,cookie,0.14200000000000035,clear,0.14,guess,0,0.09000000000000002,cs,0.46
22,1,clear,1,1866,5,shoe,0.16699999999999982,clear,0.17,guess,0,0.08000000000000007,cs,0.47
28,15,clear,0,1418,3,shoe,0.16699999999999982,clear,0.17,guess,0,0.09000000000000002,cs,0.46
7,27,clear,0,1742,4,shoe,0.16699999999999982,clear,0.17,guess,0,0.09000000000000002,cs,0.46
8,17,clear,1,1367,3,bottle,0.16699999999999982,clear,0.17,guess,0,0.10000000000000003,cs,0.46
1,19,clear,1,1770,4,shoe,0.16800000000000015,clear,0.17,guess,0,0.09000000000000008,cs,0.47
13,9,clear,1,1282,3,shoe,0.16800000000000015,clear,0.17,guess,0,0.09000000000000008,cs,0.47
11,1,clear,0,1695,4,bunny,0.16999999999999993,clear,0.17,guess,0,0.09000000000000008,cs,0.47
2,22,clear,0,1810,4,bunny,0.16999999999999993,clear,0.17,guess,0,0.10000000000000003,cs,0.46
46,9,clear,0,1836,5,bunny,0.17100000000000026,clear,0.17,guess,0,0.10000000000000003,cs,0.46
18,13,clear,0,1603,4,cookie,0.1719999999999997,clear,0.17,guess,0,0.11000000000000004,cs,0.45
2,26,clear,0,1810,4,cookie,0.1719999999999997,clear,0.17,guess,0,0.11000000000000004,cs,0.45
2,29,clear,0,1810,4,bottle,0.1719999999999997,clear,0.17,guess,0,0.12000000000000005,cs,0.44
