"Sub.Num","Months","Tr.Num","stimuli","experiment","age_code","hearing_status_participant","Prescreen.Notes","language_modality","trial_type","RT","clean_target_img","age_years","RT_sec","correct"
"30004","349","2","V1","ASL","adult","deaf",NA,"ASL","C_T","1633","doll",29.0833333333333,1.633,1
"30004","349","3","V1","ASL","adult","deaf",NA,"ASL","C_T","1167","sock",29.0833333333333,1.167,1
"30004","349","4","V1","ASL","adult","deaf",NA,"ASL","C_T","700","juice",29.0833333333333,0.7,1
"30004","349","5","V1","ASL","adult","deaf",NA,"ASL","C_T","833","cookie",29.0833333333333,0.833,1
"30004","349","6","V1","ASL","adult","deaf",NA,"ASL","C_T","967","cup",29.0833333333333,0.967,1
"30004","349","7","V1","ASL","adult","deaf",NA,"ASL","C_T","700","cookie",29.0833333333333,0.7,1
"30004","349","8","V1","ASL","adult","deaf",NA,"ASL","C_T","233","ball",29.0833333333333,0.233,1
"30004","349","9","V1","ASL","adult","deaf",NA,"ASL","C_T","933","birdy",29.0833333333333,0.933,1
"30004","349","10","V1","ASL","adult","deaf",NA,"ASL","C_T","1800","sock",29.0833333333333,1.8,1
"30004","349","11","V1","ASL","adult","deaf",NA,"ASL","C_T","967","juice",29.0833333333333,0.967,1
"30004","349","12","V1","ASL","adult","deaf",NA,"ASL","C_T","1033","ball",29.0833333333333,1.033,1
"30004","349","13","V1","ASL","adult","deaf",NA,"ASL","C_T","933","cookie",29.0833333333333,0.933,1
"30004","349","14","V1","ASL","adult","deaf",NA,"ASL","C_T","933","juice",29.0833333333333,0.933,1
"30004","349","15","V1","ASL","adult","deaf",NA,"ASL","C_T","1933","cup",29.0833333333333,1.933,1
"30004","349","16","V1","ASL","adult","deaf",NA,"ASL","C_T","2367","juice",29.0833333333333,2.367,1
"30004","349","17","V1","ASL","adult","deaf",NA,"ASL","no_shift",NA,"cookie",29.0833333333333,NA,0
"30004","349","18","V1","ASL","adult","deaf",NA,"ASL","no_shift",NA,"shoe",29.0833333333333,NA,0
"30004","349","19","V1","ASL","adult","deaf",NA,"ASL","C_T","567","kitty",29.0833333333333,0.567,1
"30004","349","21","V1","ASL","adult","deaf",NA,"ASL","C_T","1133","shoe",29.0833333333333,1.133,1
"30004","349","22","V1","ASL","adult","deaf",NA,"ASL","C_T","1833","sock",29.0833333333333,1.833,1
"30004","349","23","V1","ASL","adult","deaf",NA,"ASL","C_T","767","teddy",29.0833333333333,0.767,1
"30004","349","24","V1","ASL","adult","deaf",NA,"ASL","C_T","1200","juice",29.0833333333333,1.2,1
"30004","349","25","V1","ASL","adult","deaf",NA,"ASL","C_T","1000","birdy",29.0833333333333,1,1
"30004","349","26","V1","ASL","adult","deaf",NA,"ASL","C_T","1233","cup",29.0833333333333,1.233,1
"30004","349","27","V1","ASL","adult","deaf",NA,"ASL","C_T","800","cookie",29.0833333333333,0.8,1
"30004","349","28","V1","ASL","adult","deaf",NA,"ASL","C_T","1000","doll",29.0833333333333,1,1
"30004","349","29","V1","ASL","adult","deaf",NA,"ASL","C_T","1867","cup",29.0833333333333,1.867,1
"30004","349","30","V1","ASL","adult","deaf",NA,"ASL","C_T","1267","juice",29.0833333333333,1.267,1
"30004","349","31","V1","ASL","adult","deaf",NA,"ASL","C_T","1000","ball",29.0833333333333,1,1
"30004","349","32","V1","ASL","adult","deaf",NA,"ASL","C_T","1067","cookie",29.0833333333333,1.067,1
