center,left_image,right_image,target_side,target_image,source_name,stimulus,noun_onset_sec,noun_onset_frames,noun_onset_msec,noun_onset_sec,noun_offset_sec,noun_offset_frames,noun_offset_msec,noun_offset_msec
face,ball,cookie,left,ball,ball-faceL1,3249a3d315efda891189ea955d925758_1024x768,3,18,3540,3.54,4,8,4240,4.24
face,cookie,ball,right,ball,ball-faceR1,d4aac1cfd47771585686be43d19387de_1024x768,3,18,3540,3.54,4,8,4240,4.24
face,cookie,ball,right,ball,ball-faceR2,6eacc410ae3622014cc558ec53d7d2cb_1024x768,3,18,3540,3.54,4,8,4240,4.24
face,ball,cookie,left,ball,ball-faceL2,9e76e6b01ba4fa3336df27a7dde2ad20_1024x768,3,18,3540,3.54,4,8,4240,4.24
text,ball,cookie,left,ball,ball-textL1,e13f3704c04fa015c570c1d14fb2278f_1024x768,3,18,3540,3.54,4,8,4240,4.24
text,cookie,ball,right,ball,ball-textR1,27213d36d4cd6dfda9a7203523a23e53_1024x768,3,18,3540,3.54,4,8,4240,4.24
text,cookie,ball,right,ball,ball-textR2,05cfebc6ba8d98c26d5ba62e03d017e9_1024x768,3,18,3540,3.54,4,8,4240,4.24
text,ball,cookie,left,ball,ball-textL2,454b3f58547895fc531cf41eeb50bdba_1024x768,3,18,3540,3.54,4,8,4240,4.24
bullseye,ball,cookie,left,ball,ball-bullL2,82a72660d0e0151330ff59824c01b34d_1024x768,3,18,3540,3.54,4,8,4240,4.24
bullseye,cookie,ball,right,ball,ball-bullR2,39e6376957b960062ce586b17e5f3808_1024x768,3,18,3540,3.54,4,8,4240,4.24
bullseye,cookie,ball,right,ball,ball-bullR1,6f30e45c4ce4165141b7a8223e0e826b_1024x768,3,18,3540,3.54,4,8,4240,4.24
bullseye,ball,cookie,left,ball,ball-bullL1,313e4a51503454cdecbc01a30001fa1a_1024x768,3,18,3540,3.54,4,8,4240,4.24
face,banana,juice,left,banana,banana-faceL1,28d6455f615cdab688c6949aaa47df30_1024x768,3,17,3510,3.51,4,10,4300,4.3
face,juice,banana,right,banana,banana-faceR1,07a48d07c1fcb9503d3c1ad539cd66a1_1024x768,3,17,3510,3.51,4,10,4300,4.3
face,juice,banana,right,banana,banana-faceR2,ac37dc4de566d857eaef01b79ad30c66_1024x768,3,17,3510,3.51,4,10,4300,4.3
face,banana,juice,left,banana,banana-faceL2,c680c6643cf93ce2541c7f6d33934cf8_1024x768,3,17,3510,3.51,4,10,4300,4.3
text,banana,juice,left,banana,banana-textL1,5229cf6378d0deac79c94f02b1b382e8_1024x768,3,17,3510,3.51,4,10,4300,4.3
text,juice,banana,right,banana,banana-textR1,e26ee036126d460106a62195a0d9b712_1024x768,3,17,3510,3.51,4,10,4300,4.3
text,juice,banana,right,banana,banana-textR2,b1d183c451256a8ac4158a5e433beee2_1024x768,3,17,3510,3.51,4,10,4300,4.3
text,banana,juice,left,banana,banana-textL2,8c30bdc48f2c56632c710168adf2209b_1024x768,3,17,3510,3.51,4,10,4300,4.3
bullseye,banana,juice,left,banana,banana-bullL2,0af0b8df0b99ceb24e540a779a94b8c8_1024x768,3,17,3510,3.51,4,10,4300,4.3
bullseye,juice,banana,right,banana,banana-bullR2,83d8aed0d7eeddebf9225e8f55532167_1024x768,3,17,3510,3.51,4,10,4300,4.3
bullseye,juice,banana,right,banana,banana-bullR1,ac4e04d50022400ab72bb8f7eccee915_1024x768,3,17,3510,3.51,4,10,4300,4.3
