subid,dot,gender,age,notes,order,keep,reason_excluded
10_13_01,10/13/16,f,18-21,"good, but did not get the text-no-audio condition since it was added after participant was run",1,exclude,participant didn't see the text-no-audio condition
10_20_01,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA
10_20_02,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,include,NA
10_20_03,10/20/16,m,18-21,great,1,include,NA
10_20_04,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA
10_20_05,10/20/16,f,18-21,great,1,include,NA
10_20_06,10/20/16,f,18-21,great,1,include,NA
11_02_01,11/2/16,f,18-21,great,2,include,NA
11_02_02,11/2/16,m,18-21,looked like the online tracker had trouble following participant's gaze on some tirals. It was bouncing around a lot,2,include,NA
11_02_03,11/2/16,f,18-21,great,2,include,NA
11_02_04,11/2/16,f,18-21,great,1,include,NA
11_02_05,11/2/16,f,>21,great,1,include,NA
11_02_06,11/2/16,f,18-21,great,2,include,NA
11_02_07,11/2/16,f,18-21,great,2,include,NA
11_02_08,11/2/16,f,18-21,great,2,include,NA
11_10_01,11/10/16,m,18-21,"great, was interested in seeing the results :) ",2,include,NA
11_10_02,11/10/16,f,18-21,great,1,include,NA
11_10_03,11/10/16,f,18-21,great,2,include,NA
11_10_04,11/10/16,f,18-21,great,2,include,NA
11_10_05,11/10/16,f,18-21,great,2,include,NA
11_16_01,11/16/16,f,18-21,great,1,include,NA
11_16_02,11/16/16,f,18-21,great,2,include,NA
11_16_03,11/16/16,f,18-21,great,1,include,NA
11_16_04,11/16/16,m,18-21,great,1,include,NA
11_16_05,11/16/16,m,18-21,great,2,include,NA
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
